Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,0.0,0,0.0,4.34,1.0
2,806.0,0,0.0,4.31,1.07
3,4718.0,1,0.0,4.25,1.059
4,3526.0,0,0.0,4.2,1.049
5,3230.0,0,0.0,4.135,1.0345
6,4406.0,0,0.0,4.09,1.026
7,3084.0,0,0.0,4.053333333333334,1.0156666666666665
8,4778.0,0,0.0,4.025,1.008
9,4976.0,0,0.0,4.01,1.004
10,4616.0,0,0.0,4.005,1.004
11,5090.0,0,0.0,4.0,1.0
12,4480.0,0,0.0,4.0,1.0
13,4928.0,0,0.0,4.0,1.0
14,4654.0,0,0.0,4.0,1.0
15,4864.0,0,0.0,4.0,1.0
16,3780.0,0,0.0,4.0,1.0
17,4942.0,0,0.0,4.0,1.0
18,4768.0,0,0.0,4.0,1.0
19,4454.0,0,0.0,4.0,1.0
20,3268.0,1,0.0,4.0,1.0
21,3682.0,0,0.0,4.0,1.0
22,3622.0,0,0.0,4.0,1.0
23,3720.0,0,0.056,4.0,1.0
24,2402.0,0,0.056,4.0,1.0
25,3124.0,0,0.0,4.0,1.0
26,3004.0,0,0.0,4.0,1.0
27,3152.0,0,0.0,4.0,1.0
28,3448.0,0,0.0,4.0,1.0
29,3190.0,0,0.0,4.0,1.0
30,3456.0,0,0.0,4.0,1.0
31,2610.0,0,0.0,4.0,1.0
32,2952.0,0,0.0,4.0,1.0
33,3256.0,0,0.0,4.0,1.0
34,3102.0,0,0.0,4.0,1.0
35,3328.0,0,0.0,4.0,1.0
36,3422.0,0,0.0,4.0,1.0
37,3594.0,0,0.0,4.0,1.0
38,2284.0,0,0.0,4.0,1.0
39,3176.0,0,0.0,4.0,1.0
40,3058.0,0,0.0,4.0,1.0
41,3594.0,0,0.0,4.0,1.0
42,2302.0,0,0.0,4.0,1.0
43,2922.0,0,0.0,4.0,1.0
44,3292.0,0,0.0,4.0,1.0
45,3176.0,0,0.0,4.0,1.0
46,3128.0,0,0.0,4.0,1.0
47,3202.0,0,0.0,4.0,1.0
48,3190.0,0,0.0,4.0,1.0
49,3360.0,0,0.0,4.0,1.0
50,3310.0,0,0.0,4.0,1.0
51,3434.0,0,0.0,4.0,1.0
52,3420.0,0,0.0,4.0,1.0
53,3432.0,0,0.0,4.0,1.0
54,1012.0,0,0.0,4.0,1.0
55,1270.0,0,0.0,4.0,1.0
56,3254.0,0,0.0,4.0,1.0
57,3288.0,0,0.0,4.0,1.0
58,3348.0,0,0.0,4.0,1.0
59,3176.0,0,0.0,4.0,1.0
60,3264.0,0,0.0,4.0,1.0
61,3308.0,0,0.0,4.0,1.0
62,3680.0,0,0.0,4.0,1.0
63,3906.0,0,0.024500000000000008,4.0,1.0
64,2152.0,0,0.01949999999999999,4.0,1.0
65,2762.0,0,0.0,4.0,1.0
66,3234.0,0,0.0,4.0,1.0
67,2370.0,0,0.0,4.0,1.0
68,3012.0,0,0.0,4.0,1.0
69,3142.0,0,0.0,4.0,1.0
70,3058.0,0,0.0,4.0,1.0
71,3090.0,0,0.0,4.0,1.0
72,3096.0,0,0.0,4.0,1.0
73,3138.0,0,0.0,4.0,1.0
74,3128.0,0,0.0,4.0,1.0
75,3150.0,0,0.0,4.0,1.0
76,3136.0,0,0.0,4.0,1.0
77,3692.0,0,0.0,4.0,1.0
78,3388.0,0,0.0,4.0,1.0
79,3540.0,0,0.0,4.0,1.0
80,3268.0,0,0.0,4.0,1.0
81,3682.0,0,0.0,4.0,1.0
82,3622.0,0,0.0,4.0,1.0
83,3720.0,0,0.0,4.0,1.0
84,2402.0,0,0.0,4.0,1.0
85,3124.0,0,0.0,4.0,1.0
86,3004.0,0,0.0,4.0,1.0
87,3152.0,0,0.0,4.0,1.0
88,3448.0,0,0.0,4.0,1.0
89,3190.0,0,0.0,4.0,1.0
90,3456.0,0,0.0,4.0,1.0
91,2610.0,0,0.0,4.0,1.0
