      Time     KB/s_in    KB/s_out
  15:04:43         0.0         0.0
  15:04:44         0.0         0.2
  15:04:45         0.0         0.0
  15:04:46         0.0         0.0
  15:04:47         0.0         0.0
  15:04:48         0.0         0.2
  15:04:49         0.1         0.1
  15:04:50         0.0         0.1
  15:04:51         0.0         0.0
  15:04:52         0.0         0.2
  15:04:53         0.0         0.0
  15:04:54         0.0         0.0
  15:04:55         0.0         0.0
  15:04:56         0.0         0.0
  15:04:57         0.0         0.0
  15:04:58         0.0         0.0
  15:04:59         0.0         0.0
  15:05:00         0.0         0.0
  15:05:01         0.0         0.0
  15:05:02         0.0         0.1
  15:05:03         0.0         0.0
  15:05:04         0.0         0.1
  15:05:05         0.1         0.0
  15:05:06         0.0         0.0
  15:05:07         0.0         0.0
  15:05:08         0.0         0.3
  15:05:09         0.0         0.0
  15:05:10         0.0         0.1
  15:05:11         0.0         0.0
  15:05:12         0.0         0.0
  15:05:13        10.6       380.0
  15:05:14        22.3       589.8
  15:05:15        17.8       622.2
  15:05:16         9.7       626.7
  15:05:17         9.7       613.0
  15:05:18         9.2       619.3
  15:05:19         9.5       630.9
  15:05:20         9.7       636.9
  15:05:21         9.5       625.2
  15:05:22         9.5       633.7
  15:05:23        10.0       643.0
  15:05:24         9.6       632.5
  15:05:25         9.6       616.3
  15:05:26         9.4       625.2
  15:05:27         9.2       617.8
  15:05:28        11.0       795.2
  15:05:29         9.5       638.4
  15:05:30        11.3       841.0
  15:05:31         9.3       626.7
  15:05:32        11.5       748.0
  15:05:33        10.1       642.9
  15:05:34         9.9       641.5
  15:05:35         9.6       647.4
  15:05:36         9.9       660.6
  15:05:37         9.9       662.2
  15:05:38         9.7       635.6
  15:05:39         9.6       637.0
  15:05:40        10.5       746.3
  15:05:41         9.7       670.7
  15:05:42        10.0       667.9
  15:05:43        10.2       682.7
  15:05:44         9.6       638.3
  15:05:45         9.6       632.3
  15:05:46         9.5       610.3
  15:05:47         9.9       690.2
  15:05:48         9.5       619.1
  15:05:49        10.3       682.8
  15:05:50         9.3       632.4
  15:05:51        10.0       659.1
  15:05:52         9.6       631.0
  15:05:53         9.3       667.9
  15:05:54         9.6       622.1
  15:05:55         9.9       647.1
  15:05:56         9.3       631.0
  15:05:57         9.6       642.8
  15:05:58         9.5       641.3
  15:05:59         9.4       636.9
  15:06:00         9.7       630.9
  15:06:01         9.3       628.0
  15:06:02         9.7       638.4
  15:06:03         9.5       636.8
  15:06:04         9.7       638.3
  15:06:05        10.1       703.4
  15:06:06         9.3       630.9
  15:06:07         9.7       651.7
  15:06:08         9.8       635.4
  15:06:09         9.7       639.9
  15:06:10         9.5       635.3
  15:06:11         9.5       635.5
  15:06:12         9.3       631.1
  15:06:13         9.7       656.1
  15:06:14         9.3       626.6
  15:06:15        10.2       659.0
  15:06:16         9.6       614.7
  15:06:17         9.7       647.3
  15:06:18         9.7       622.1
  15:06:19         9.4       617.7
  15:06:20         9.5       636.8
  15:06:21         9.6       638.4
  15:06:22         9.8       632.3
  15:06:23        10.4       737.4
  15:06:24         9.7       599.8
  15:06:25        10.4       721.1
  15:06:26         9.2       619.2
  15:06:27         9.5       662.1
  15:06:28         9.6       636.7
  15:06:29        10.8       750.9
  15:06:30         9.3       625.1
  15:06:31        10.0       625.1
  15:06:32         9.5       635.5
  15:06:33         9.3       637.0
  15:06:34         9.5       633.8
  15:06:35         9.5       639.9
  15:06:36         9.5       642.9
  15:06:37         9.3       637.0
  15:06:38         9.4       639.7
  15:06:39         9.4       633.9
  15:06:40         9.7       638.2
  15:06:41         9.7       634.0
  15:06:42         9.5       642.8
  15:06:43         9.6       639.8
  15:06:44         9.4       644.5
  15:06:45         9.6       636.9
  15:06:46        10.0       661.9
  15:06:47         9.5       619.2
  15:06:48        10.0       629.5
  15:06:49         9.5       622.1
  15:06:50         9.8       629.3
  15:06:51         9.3       627.9
  15:06:52         9.0       638.3
  15:06:53         9.5       638.2
  15:06:54         9.4       636.8
  15:06:55         9.5       635.3
  15:06:56         9.5       639.9
  15:06:57         9.3       636.8
  15:06:58         9.5       638.3
  15:06:59         9.7       639.8
  15:07:00         9.5       642.8
  15:07:01         9.3       635.5
  15:07:02         9.5       639.7
  15:07:03         9.5       636.8
  15:07:04         9.3       638.4
  15:07:05         9.0       631.0
  15:07:06        11.0       679.8
  15:07:07        16.9       636.9
  15:07:08        14.0       684.1
  15:07:09        10.8       629.5
  15:07:10         9.7       654.6
  15:07:11         9.8       636.8
  15:07:12        10.2       641.3
  15:07:13         9.7       635.4
  15:07:14         9.7       642.9
  15:07:15         9.5       632.4
  15:07:16        10.0       638.3
  15:07:17         9.6       635.4
  15:07:18        10.9       725.5
  15:07:19         9.3       635.3
  15:07:20        11.4       759.6
  15:07:21         9.7       632.6
  15:07:22         9.6       658.9
  15:07:23         9.1       633.9
  15:07:24         9.9       657.3
  15:07:25         9.4       632.3
  15:07:26         9.3       641.2
  15:07:27         9.7       633.8
  15:07:28         9.6       628.0
  15:07:29         9.5       629.4
  15:07:30         9.6       610.3
  15:07:31         9.8       619.0
  15:07:32        10.4       713.8
  15:07:33         9.3       625.0
  15:07:34         9.9       660.5
  15:07:35         8.9       627.9
  15:07:36         9.9       682.7
  15:07:37         9.4       636.7
  15:07:38         9.7       636.7
  15:07:39         9.5       644.3
  15:07:40        10.6       775.7
  15:07:41         9.7       658.9
  15:07:42         9.7       669.5
  15:07:43         7.1       344.0
  15:07:44         0.0         0.0
  15:07:45         0.0         0.0
  15:07:46         0.0         0.0
  15:07:47         0.0         0.0
  15:07:48         0.0         0.0
  15:07:49         0.0         0.0
  15:07:50         0.0         0.0
  15:07:51         0.0         0.0
  15:07:52         0.0         0.0
  15:07:53         0.0         0.0
  15:07:54         0.0         0.0
  15:07:55         0.0         0.0
  15:07:56         0.0         0.0
  15:07:57         0.0         0.0
  15:07:58         0.0         0.0
  15:07:59         0.0         0.0
  15:08:00         0.0         0.0
  15:08:01         0.0         0.0
  15:08:02         0.0         0.0
