Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,0.0,0,0.0,4.21,1.049
2,678.0,0,0.0,4.16,1.039
3,4628.0,0,0.0,4.13,1.035
4,3076.0,1,0.0,4.073333333333333,1.0199999999999998
5,3824.0,0,0.0,4.035,1.0125
6,4866.0,0,0.0,4.02,1.006
7,3208.0,0,0.0,4.006666666666667,1.0046666666666668
8,4182.0,0,0.0,4.0,1.002
9,3688.0,0,0.0,4.0,1.002
10,4386.0,0,0.0,4.0,1.002
11,4548.0,0,0.0,3.99,1.002
12,4592.0,0,0.0,3.99,1.002
13,4550.0,0,0.0,3.9850000000000003,1.002
14,4702.0,0,0.0,3.98,1.0
15,4358.0,0,0.0,3.98,0.998
16,1230.0,0,0.0,3.99,0.998
17,1466.0,0,0.0,3.9933333333333336,0.9979999999999999
18,4082.0,0,0.0,4.0,0.998
19,4830.0,0,0.0,4.0,0.998
20,5070.0,0,0.0,4.005,1.002
21,4688.0,0,0.0,4.0,1.002
22,4764.0,0,0.0,4.0,1.002
23,4680.0,0,0.0,3.995,1.002
24,4674.0,0,0.0,3.99,1.002
25,4718.0,0,0.0,3.99,1.002
26,3526.0,0,0.0,3.98,1.002
27,3230.0,0,0.0,3.98,1.0
28,4406.0,0,0.0,3.9850000000000003,0.998
29,3084.0,0,0.0,3.99,0.9979999999999999
30,4778.0,0,0.0,4.0,0.998
31,4976.0,0,0.0,4.0,0.998
32,4616.0,0,0.0,4.01,1.0
33,5090.0,0,0.0,4.0,1.002
34,4480.0,0,0.0,4.0,1.002
35,4928.0,0,0.0,4.0,1.002
36,4654.0,0,0.0,4.0,1.002
37,4864.0,0,0.0,3.99,1.002
38,3780.0,0,0.0,3.99,1.002
39,4942.0,0,0.0,3.98,1.0
40,4768.0,0,0.0,3.99,0.998
41,4454.0,0,0.0,3.99,0.998
42,5050.0,0,0.0,4.0,0.998
43,4206.0,0,0.0,4.0,0.998
44,4126.0,0,0.0,4.0,0.998
45,4818.0,0,0.0,4.01,0.998
46,2546.0,0,0.0,4.003333333333333,1.002
47,3756.0,0,0.0,4.0,1.002
48,4364.0,0,0.0,3.995,1.002
49,4758.0,0,0.0,3.99,1.002
50,4516.0,0,0.0,3.99,1.002
51,5022.0,0,0.0,3.98,1.0
52,4862.0,0,0.0,3.9850000000000003,0.998
53,2754.0,0,0.0,3.99,0.998
54,3572.0,0,0.0,4.0,0.998
55,5018.0,0,0.0,4.0,0.998
56,4772.0,0,0.0,4.005,0.998
57,4870.0,0,0.0,4.005,1.002
58,4338.0,0,0.0,4.0,1.002
59,4248.0,0,0.0,4.0,1.002
60,2314.0,0,0.0,3.995,1.002
61,4496.0,0,0.0,3.99,1.002
62,3624.0,0,0.0,3.9850000000000003,1.002
63,4628.0,0,0.0,3.9850000000000003,0.998
64,3076.0,0,0.0,3.99,0.998
65,3824.0,0,0.0,3.9933333333333336,0.9979999999999999
66,4866.0,0,0.0,4.0,0.998
67,3208.0,0,0.0,4.0,0.998
68,4182.0,0,0.0,4.005,1.0
69,3688.0,0,0.0,4.0,1.002
70,4386.0,0,0.0,4.0,1.002
71,4548.0,0,0.0,3.995,1.002
72,4592.0,0,0.0,3.99,1.002
73,4550.0,0,0.0,3.9850000000000003,1.002
74,4702.0,0,0.0,3.98,1.0
75,4358.0,0,0.0,3.99,0.998
76,1230.0,0,0.0,3.99,0.998
77,1466.0,0,0.0,3.9966666666666666,0.9979999999999999
78,4082.0,0,0.0,4.0,0.998
79,4830.0,0,0.0,4.005,0.998
80,5070.0,0,0.0,4.005,1.002
81,4688.0,0,0.0,4.0,1.002
82,4764.0,0,0.0,4.0,1.002
83,4680.0,0,0.0,3.995,1.002
84,4674.0,0,0.0,3.99,1.002
85,4718.0,0,0.0,3.9850000000000003,1.002
86,3526.0,0,0.0,3.9850000000000003,0.998
87,3230.0,0,0.0,3.99,0.998
88,4406.0,0,0.0,3.995,0.998
89,3084.0,0,0.0,4.0,0.998
90,4778.0,0,0.0,4.0,0.998
91,4976.0,0,0.0,4.01,0.998
