      Time     KB/s_in    KB/s_out
  14:38:59         0.0         0.0
  14:39:00         0.0         0.2
  14:39:01         0.0         0.0
  14:39:02         0.0         0.0
  14:39:03         0.0         0.0
  14:39:04         0.1         0.1
  14:39:05         0.0         0.0
  14:39:06         0.0         0.2
  14:39:07         0.0         0.1
  14:39:08         0.0         0.2
  14:39:09         0.0         0.0
  14:39:10         0.0         0.0
  14:39:11         0.0         0.0
  14:39:12         0.0         0.0
  14:39:13         0.0         0.0
  14:39:14         0.0         0.0
  14:39:15         0.0         0.0
  14:39:16         0.0         0.0
  14:39:17         0.0         0.0
  14:39:18         0.1         0.0
  14:39:19         0.0         0.0
  14:39:20         0.0         0.1
  14:39:21         0.0         0.0
  14:39:22         0.0         0.0
  14:39:23         0.0         0.1
  14:39:24         0.0         0.2
  14:39:25         0.0         0.1
  14:39:26         0.0         0.0
  14:39:27         0.0         0.1
  14:39:28         0.0         0.0
  14:39:29        12.7       326.4
  14:39:30        19.1       542.5
  14:39:31        18.1       452.3
  14:39:32        21.4       712.4
  14:39:33        12.2       585.1
  14:39:34        11.3       495.1
  14:39:35         9.4       421.1
  14:39:36        13.4       675.2
  14:39:37        12.7       558.4
  14:39:38        10.5       475.6
  14:39:39        11.5       595.2
  14:39:40        12.1       571.8
  14:39:41        10.0       586.6
  14:39:42        13.1       803.7
  14:39:43        12.6       666.4
  14:39:44        13.7       520.2
  14:39:45        11.4       494.7
  14:39:46        11.1       506.8
  14:39:47         9.9       495.0
  14:39:48        11.1       793.5
  14:39:49        15.8       635.4
  14:39:50        10.0       549.6
  14:39:51        14.4       638.4
  14:39:52         8.8       480.3
  14:39:53         9.4       462.4
  14:39:54        10.5       521.5
  14:39:55        11.5       560.1
  14:39:56        14.1       573.7
  14:39:57        13.3       573.4
  14:39:58        11.0       551.1
  14:39:59        14.9       697.4
  14:40:00        12.3       617.7
  14:40:01        11.1       595.4
  14:40:02        13.5       769.7
  14:40:03        13.4       795.0
  14:40:04        12.1       733.0
  14:40:05        14.2       792.0
  14:40:06        12.8       712.3
  14:40:07        11.0       817.2
  14:40:08        14.3       672.5
  14:40:09        12.5       562.9
  14:40:10         9.8       515.6
  14:40:11        13.2       781.7
  14:40:12        11.1       718.3
  14:40:13        12.7       685.6
  14:40:14        13.0       653.1
  14:40:15        10.3       732.9
  14:40:16        16.0       546.7
  14:40:17        12.9       710.7
  14:40:18        15.4       586.8
  14:40:19        10.7       604.4
  14:40:20        12.3       651.5
  14:40:21        12.3       685.7
  14:40:22        12.0       514.4
  14:40:23        10.6       761.2
  14:40:24        13.7       557.2
  14:40:25        13.3       746.5
  14:40:26        13.7       623.8
  14:40:27        13.0       656.3
  14:40:28        14.6       668.1
  14:40:29        11.3       672.5
  14:40:30        14.8       659.2
  14:40:31        12.5       563.2
  14:40:32        12.7       690.3
  14:40:33        10.6       705.1
  14:40:34        13.0       475.9
  14:40:35        10.5       527.7
  14:40:36        14.0       647.4
  14:40:37        12.0       573.5
  14:40:38        10.5       481.9
  14:40:39        10.6       492.2
  14:40:40        13.7       695.8
  14:40:41         8.8       511.2
  14:40:42        13.7       740.3
  14:40:43        11.5       707.8
  14:40:44        14.4       676.7
  14:40:45        13.1       645.5
  14:40:46        14.2       799.5
  14:40:47        14.3       679.8
  14:40:48        12.6       626.4
  14:40:49        11.6       496.5
  14:40:50        13.1       616.3
  14:40:51        13.0       543.8
  14:40:52        12.7       673.8
  14:40:53        13.2       565.9
