Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,832.0,0,0.0,4.34,1.072
2,4358.0,1,0.0,4.28,1.062
3,1466.0,0,0.0,4.173333333333333,1.0423333333333333
4,4082.0,0,0.0,4.09,1.0255
5,4830.0,0,0.0,4.05,1.015
6,5070.0,0,0.0,4.025,1.008
7,4688.0,0,0.0,4.015,1.006
8,4764.0,0,0.0,4.005,1.002
9,4680.0,0,0.0,4.0,1.002
10,4674.0,0,0.0,4.0,1.002
11,4718.0,0,0.0,3.995,1.002
12,3526.0,0,0.0,3.99,1.002
13,3230.0,0,0.0,3.99,1.002
14,4406.0,0,0.0,3.98,1.002
15,3084.0,0,0.0,3.983333333333333,0.9993333333333334
16,4778.0,0,0.0,3.99,0.998
17,4976.0,0,0.0,3.995,0.998
18,4616.0,0,0.0,4.0,0.9979999999999999
19,5090.0,0,0.0,4.005,1.0
20,4480.0,0,0.0,4.0,1.002
21,4928.0,0,0.0,4.0,1.002
22,4654.0,0,0.0,4.0,1.002
23,4864.0,0,0.0,3.99,1.002
24,3780.0,0,0.0,3.99,1.002
25,3692.0,1,0.0,3.99,1.002
26,4768.0,1,0.0,3.98,1.002
27,4454.0,0,0.07266666666666667,3.983333333333333,0.9986666666666667
28,5050.0,0,0.2843333333333333,4.03,1.007
29,3682.0,1,0.0,4.015,1.007
30,4126.0,0,0.0050000000000000044,4.01,1.003
31,3720.0,2,0.0050000000000000044,4.0,1.003
32,2546.0,1,0.0,4.0,1.0015
33,3756.0,0,0.0,4.010000000000001,1.0033333333333332
34,4364.0,0,0.0,4.02,1.01
35,3152.0,1,0.0,4.015,1.006
36,4516.0,1,0.0,4.003333333333333,1.001
37,5022.0,0,0.0,4.0,1.001
38,4862.0,0,0.0,4.0,1.0
39,2754.0,0,0.0,4.0,1.0
40,3572.0,0,0.0,4.0,1.0
41,5018.0,0,0.0,4.0,1.0
42,4772.0,0,0.0,4.0,1.0
43,4870.0,0,0.0,4.0,1.0
44,3422.0,1,0.0,4.0,1.0
45,4248.0,1,0.0,4.0,1.0
46,2314.0,0,0.0,4.0,1.0
47,4496.0,0,0.0,4.0,1.0
48,3624.0,0,0.0,4.0,1.0
49,4628.0,0,0.0,4.0,1.0
50,3076.0,0,0.0,4.0,1.0
51,2922.0,1,0.0,4.0,1.0
52,4866.0,1,0.0,4.0,1.0
53,3208.0,0,0.0,4.0,1.0
54,3128.0,0,0.0,4.0,1.0
55,3688.0,1,0.0,4.0,1.0
56,4386.0,0,0.0,4.0,1.0
57,4548.0,0,0.0,4.0,1.0
58,4592.0,0,0.0,4.0,1.0
59,4550.0,0,0.0,4.0,1.0
60,4702.0,0,0.0,4.0,1.0
61,4358.0,0,0.0,4.0,1.0
62,1230.0,0,0.0,4.0,1.0
63,1466.0,0,0.0,4.0,1.0
64,4082.0,0,0.0,4.0,1.0
65,4830.0,0,0.0,4.0,1.0
66,5070.0,0,0.0,4.0,1.0
67,4688.0,0,0.0,4.0,1.0
68,4764.0,0,0.0,4.0,1.0
69,3308.0,1,0.0,4.0,1.0
70,4674.0,1,0.0,4.0,1.0
71,4718.0,0,0.0,4.0,1.0
72,3526.0,0,0.0,4.0,1.0
73,3230.0,0,0.0,4.0,1.0
74,4406.0,0,0.0,4.0,1.0
75,3084.0,0,0.0,4.0,1.0
76,4778.0,0,0.0,4.0,1.0
77,4976.0,0,0.0,4.0,1.0
78,4616.0,0,0.0,4.0,1.0
79,5090.0,0,0.0,4.0,1.0
80,3096.0,1,0.0,4.0,1.0
81,4928.0,1,0.0,4.0,1.0
82,3128.0,1,0.0,4.0,1.0
83,4864.0,0,0.0,4.0,1.0
84,3780.0,0,0.0,4.0,1.0
85,4942.0,0,0.0,4.0,1.0
86,4768.0,0,0.0,4.0,1.0
87,4454.0,0,0.0,4.0,1.0
88,5050.0,0,0.0,4.0,1.0
89,3682.0,1,0.0,4.0,1.0
