      Time     KB/s_in    KB/s_out
  16:48:30         0.0         0.0
  16:48:31         0.0         0.4
  16:48:32         0.0         0.0
  16:48:33         0.0         0.0
  16:48:34         0.0         0.0
  16:48:35         0.0         0.0
  16:48:36         0.1         0.1
  16:48:37         0.0         0.3
  16:48:38         0.0         0.0
  16:48:39         0.0         0.4
  16:48:40         0.0         0.0
  16:48:41         0.0         0.0
  16:48:42         0.0         0.0
  16:48:43         0.0         0.0
  16:48:44         0.0         0.0
  16:48:45         0.0         0.0
  16:48:46         0.0         0.0
  16:48:47         0.0         0.0
  16:48:48         0.0         0.0
  16:48:49         0.0         0.0
  16:48:50         0.0         0.1
  16:48:51         0.1         0.0
  16:48:52         0.0         0.0
  16:48:53         0.0         0.1
  16:48:54         0.0         0.0
  16:48:55         0.0         0.6
  16:48:56         0.0         0.0
  16:48:57         0.0         0.0
  16:48:58         0.0         0.0
  16:48:59         0.0         0.0
  16:49:00         9.2       325.1
  16:49:01        18.7       648.5
  16:49:02        12.7       625.2
  16:49:03        10.1       668.1
  16:49:04        10.6       683.9
  16:49:05        10.2       583.6
  16:49:06         9.3       592.3
  16:49:07        10.7       636.8
  16:49:08        10.6       641.2
  16:49:09         9.4       499.5
  16:49:10        10.1       679.2
  16:49:11        10.7       648.8
  16:49:12         9.8       589.3
  16:49:13         9.3       598.5
  16:49:14         9.3       562.8
  16:49:15        10.2       607.2
  16:49:16         9.4       614.7
  16:49:17        11.9       766.9
  16:49:18         9.1       644.1
  16:49:19        10.7       743.4
  16:49:20         9.7       650.2
  16:49:21        10.2       650.3
  16:49:22        10.7       656.1
  16:49:23         9.9       600.1
  16:49:24        10.6       715.1
  16:49:25         9.7       644.4
  16:49:26         9.0       588.0
  16:49:27         9.4       573.7
  16:49:28        10.0       617.5
  16:49:29        11.1       660.5
  16:49:30        10.5       636.8
  16:49:31         9.6       601.4
  16:49:32        10.6       734.3
  16:49:33         9.9       591.0
  16:49:34        11.1       662.1
  16:49:35         9.1       577.8
  16:49:36        11.1       752.4
  16:49:37         8.7       589.8
  16:49:38        11.6       714.0
  16:49:39        10.5       629.7
  16:49:40        12.0       768.7
  16:49:41         9.0       583.9
  16:49:42        12.2       728.7
  16:49:43         9.2       597.2
  16:49:44        10.9       709.5
  16:49:45        11.0       648.9
  16:49:46        10.2       616.4
  16:49:47        10.3       580.9
  16:49:48        11.8       755.3
  16:49:49         9.9       642.9
  16:49:50        10.0       660.7
  16:49:51        11.5       705.0
  16:49:52        10.1       677.0
  16:49:53        10.3       576.2
  16:49:54        13.1       801.0
  16:49:55         8.2       583.8
  16:49:56        11.3       693.1
  16:49:57         9.3       629.5
  16:49:58         9.8       607.2
  16:49:59        10.9       685.7
  16:50:00        10.4       665.0
  16:50:01         8.4       602.7
  16:50:02        12.1       801.0
  16:50:03        10.7       704.8
  16:50:04        11.9       854.2
  16:50:05        10.4       675.3
  16:50:06        12.2       853.9
  16:50:07        10.4       664.9
  16:50:08         9.3       599.9
  16:50:09        10.2       690.2
  16:50:10        10.2       631.0
  16:50:11         9.7       582.3
  16:50:12         9.9       614.8
  16:50:13        12.1       738.9
  16:50:14         9.0       617.7
  16:50:15         9.7       595.5
  16:50:16        12.0       699.0
  16:50:17         9.5       614.8
  16:50:18        12.8       787.7
  16:50:19        10.1       687.1
  16:50:20         9.5       586.6
  16:50:21        10.2       632.3
  16:50:22         9.8       585.1
  16:50:23        11.0       692.9
  16:50:24        11.1       687.2
  16:50:25        11.2       737.5
  16:50:26        12.0       809.8
  16:50:27        10.8       731.5
  16:50:28        11.3       784.7
  16:50:29        11.0       741.7
  16:50:30         9.7       645.7
  16:50:31        10.6       731.9
  16:50:32         9.3       582.3
  16:50:33        11.2       698.9
  16:50:34         8.8       642.5
  16:50:35         8.9       576.3
  16:50:36         9.9       591.2
  16:50:37        11.1       669.5
  16:50:38        10.8       622.1
  16:50:39         9.7       623.6
  16:50:40         9.1       635.3
  16:50:41        10.4       701.8
  16:50:42         9.9       691.4
  16:50:43         8.8       592.6
  16:50:44        10.2       594.0
  16:50:45        11.5       669.4
  16:50:46         9.0       586.4
  16:50:47        10.8       700.2
  16:50:48        10.0       573.3
  16:50:49        11.2       709.2
  16:50:50        10.0       651.7
  16:50:51         9.9       561.5
  16:50:52        10.1       579.2
  16:50:53         9.2       591.1
  16:50:54        10.8       684.1
  16:50:55        10.5       666.5
  16:50:56        10.2       650.2
  16:50:57         9.8       608.9
  16:50:58        11.1       704.8
  16:50:59        11.3       710.7
  16:51:00         9.3       585.0
  16:51:01        10.2       580.7
  16:51:02         8.8       580.6
  16:51:03        10.8       703.4
  16:51:04        10.0       681.2
  16:51:05         9.1       636.9
  16:51:06         9.9       623.6
  16:51:07        10.8       647.2
  16:51:08        11.2       684.1
  16:51:09         9.9       592.6
  16:51:10        11.6       716.7
  16:51:11         8.9       607.2
  16:51:12        10.3       672.2
  16:51:13        10.7       672.2
  16:51:14         9.1       579.2
  16:51:15         7.0       576.2
  16:51:16         9.7       716.5
  16:51:17        10.3       655.9
  16:51:18        10.7       707.6
  16:51:19        11.8       648.4
  16:51:20        12.0       752.1
  16:51:21         9.5       586.7
  16:51:22        11.0       707.9
  16:51:23         8.6       582.1
  16:51:24        10.1       691.6
  16:51:25         9.5       585.1
  16:51:26        11.9       688.5
  16:51:27        10.4       681.2
  16:51:28         9.5       594.0
  16:51:29         9.8       601.2
  16:51:30         4.2       159.1
  16:51:31         0.0         0.0
  16:51:32         0.0         0.0
  16:51:33         0.0         0.0
  16:51:34         0.0         0.0
  16:51:35         0.0         0.0
  16:51:36         0.0         0.0
  16:51:37         0.0         0.0
  16:51:38         0.0         0.0
  16:51:39         0.0         0.0
  16:51:40         0.0         0.0
  16:51:41         0.0         0.0
  16:51:42         0.0         0.0
  16:51:43         0.0         0.0
  16:51:44         0.0         0.0
  16:51:45         0.0         0.0
  16:51:46         0.0         0.0
  16:51:47         0.0         0.0
  16:51:48         0.0         0.0
  16:51:49         0.0         0.0
