      Time     KB/s_in    KB/s_out
  20:45:36         1.0         3.3
  20:45:37        15.2       493.6
  20:45:38        19.3       753.7
  20:45:39        18.9       622.2
  20:45:40         7.8       293.7
  20:45:41        14.1       473.2
  20:45:42        13.8       514.4
  20:45:43        13.1       455.4
  20:45:44        21.2       800.4
  20:45:45        12.5       427.7
  20:45:46        10.9       401.8
  20:45:47        12.3       403.4
  20:45:48        18.0       675.6
  20:45:49        11.8       382.8
  20:45:50        15.2       569.6
  20:45:51        10.9       354.7
  20:45:52        21.2       777.1
  20:45:53        10.8       335.5
  20:45:54        22.2       838.0
  20:45:55        10.0       312.0
  20:45:56        23.1       852.8
  20:45:57         9.9       311.8
  20:45:58        22.7       854.1
  20:45:59         9.5       294.7
  20:46:00        22.8       854.5
  20:46:01        10.4       331.3
  20:46:02        22.6       854.2
  20:46:03         8.0       242.3
  20:46:04         3.4       110.1
  20:46:05         6.6       187.8
  20:46:06         5.2       193.1
  20:46:07         5.1       119.8
  20:46:08        11.9       366.4
  20:46:09        13.2       389.0
  20:46:10        13.4       372.3
  20:46:11        14.7       418.1
  20:46:12        14.3       419.2
  20:46:13        10.9       285.3
  20:46:14        13.3       399.0
  20:46:15        14.1       399.5
  20:46:16        12.9       384.3
  20:46:17        13.1       363.7
  20:46:18        11.7       324.0
  20:46:19        12.8       350.8
  20:46:20        16.4       490.7
  20:46:21        16.1       487.5
  20:46:22        13.7       380.5
  20:46:23        14.6       459.7
  20:46:24        15.8       446.2
  20:46:25        11.3       344.5
  20:46:26        14.3       431.5
  20:46:27        12.8       404.2
  20:46:28        14.0       406.4
  20:46:29         7.0       207.1
  20:46:30        12.3       369.5
  20:46:31        13.4       403.4
  20:46:32        11.8       330.8
  20:46:33        14.0       394.9
  20:46:34        14.7       421.8
  20:46:35        12.5       369.7
  20:46:36        11.1       292.1
  20:46:37        11.6       356.2
  20:46:38        16.3       474.9
  20:46:39        12.3       357.6
  20:46:40        13.8       364.0
  20:46:41         8.8       261.1
  20:46:42         8.0       217.3
  20:46:43         7.2       205.3
  20:46:44         9.3       267.5
  20:46:45        15.7       472.9
  20:46:46        11.2       298.3
  20:46:47        13.3       403.4
  20:46:48        15.6       442.6
  20:46:49        15.9       493.7
  20:46:50        12.8       350.7
  20:46:51        14.3       431.4
  20:46:52        16.2       477.5
  20:46:53        16.1       506.9
  20:46:54        14.2       411.6
  20:46:55        17.4       523.2
  20:46:56        12.2       324.3
  20:46:57        16.6       521.6
  20:46:58        13.5       349.3
  20:46:59        15.3       449.0
  20:47:00        17.6       509.9
  20:47:01        14.6       462.6
  20:47:02        15.7       458.1
  20:47:03        15.7       472.9
  20:47:04         6.1       157.5
  20:47:05        15.4       474.4
  20:47:06        11.8       324.2
  20:47:07        12.9       393.0
  20:47:08        13.3       357.8
  20:47:09        11.3       336.9
  20:47:10         3.4        85.2
  20:47:11        13.0       395.8
  20:47:12         2.9        54.8
  20:47:13        13.5       398.9
  20:47:14        13.8       374.7
  20:47:15        15.8       463.4
  20:47:16         1.9        22.3
  20:47:17        13.8       419.6
  20:47:18         8.7       240.5
  20:47:19        15.4       440.2
  20:47:20        10.3       318.2
  20:47:21        16.3       487.5
  20:47:22        11.2       350.4
  20:47:23        11.5       316.2
  20:47:24        13.3       409.3
  20:47:25        17.6       507.3
  20:47:26         1.9        44.2
  20:47:27        13.6       372.4
  20:47:28        13.6       422.6
  20:47:29        15.7       417.2
  20:47:30        14.8       455.2
  20:47:31        15.4       431.9
  20:47:32        15.8       468.4
  20:47:33        17.3       491.7
  20:47:34        12.6       381.1
  20:47:35        12.1       343.3
  20:47:36        15.5       466.5
  20:47:37        10.4       285.6
  20:47:38        12.2       370.8
  20:47:39        15.3       421.4
  20:47:40        13.2       402.0
  20:47:41         9.9       267.6
  20:47:42        13.4       410.7
  20:47:43        14.6       398.9
  20:47:44         6.3       177.9
  20:47:45         9.9       266.1
  20:47:46        13.6       427.1
  20:47:47        13.9       408.3
  20:47:48        16.1       496.5
  20:47:49        10.6       292.3
  20:47:50        13.6       403.4
  20:47:51        14.2       415.0
  20:47:52        12.3       357.7
  20:47:53        14.7       423.9
  20:47:54        13.1       384.3
  20:47:55        12.6       348.9
  20:47:56        12.6       375.7
  20:47:57         7.8       208.4
  20:47:58        13.6       428.5
  20:47:59        13.4       380.1
  20:48:00        11.9       378.2
  20:48:01        16.2       451.9
  20:48:02        14.5       456.5
  20:48:03        14.2       396.0
  20:48:04         7.7       222.0
  20:48:05         4.8       127.2
  20:48:06         2.3        54.2
  20:48:07         4.6       109.4
  20:48:08        13.4       391.6
  20:48:09        13.5       378.3
  20:48:10        12.1       342.8
  20:48:11        14.4       421.2
  20:48:12        15.6       483.0
  20:48:13        13.9       408.0
  20:48:14        15.3       464.6
  20:48:15        16.1       493.8
  20:48:16        14.4       412.7
  20:48:17        15.4       452.4
  20:48:18        14.0       419.1
  20:48:19        18.5       520.8
  20:48:20        15.7       470.0
  20:48:21        13.8       410.8
  20:48:22        15.9       472.9
  20:48:23        17.6       564.6
  20:48:24        18.6       532.7
  20:48:25        14.6       440.0
  20:48:26        15.6       454.2
  20:48:27        15.8       462.5
  20:48:28        12.1       348.8
  20:48:29        17.5       534.2
  20:48:30        17.4       484.6
  20:48:31        15.0       472.9
  20:48:32        15.1       428.4
  20:48:33        13.8       436.0
  20:48:34        15.5       438.1
  20:48:35        14.4       440.2
  20:48:36        22.0       719.2
  20:48:37         8.9       316.3
  20:48:38        16.3       552.8
  20:48:39        16.1       603.4
  20:48:40        15.3       526.2
  20:48:41        19.8       745.1
  20:48:42        14.4       507.0
  20:48:43        18.3       693.9
  20:48:44        14.4       483.4
  20:48:45        21.0       771.9
  20:48:46        13.6       459.7
  20:48:47        13.8       516.4
  20:48:48        13.0       433.2
  20:48:49        22.4       841.6
  20:48:50        12.5       409.5
  20:48:51        22.5       820.4
  20:48:52        11.8       385.8
  20:48:53        20.3       763.7
  20:48:54        11.0       357.7
  20:48:55        22.6       854.2
