time_hms,kb_per_sec_in,kb_per_sec_out
15:41:47,0.0,0.0
15:41:48,0.0,0.2
15:41:49,0.0,0.2
15:41:50,0.0,0.0
15:41:51,0.0,0.0
15:41:52,0.0,0.0
15:41:53,0.0,0.2
15:41:54,0.1,0.1
15:41:55,0.0,0.0
15:41:56,0.0,0.2
15:41:57,0.0,0.2
15:41:58,0.0,0.0
15:41:59,0.0,0.0
15:42:00,0.0,0.0
15:42:01,0.0,0.0
15:42:02,0.0,0.0
15:42:03,0.0,0.0
15:42:04,0.0,0.0
15:42:05,0.0,0.0
15:42:06,0.0,0.0
15:42:07,0.0,0.0
15:42:08,0.0,0.2
15:42:09,0.0,0.0
15:42:10,0.0,0.0
15:42:11,0.1,0.1
15:42:12,0.0,0.2
15:42:13,0.0,0.3
15:42:14,0.0,0.0
15:42:15,0.0,0.0
15:42:16,0.0,0.0
15:42:17,6.5,196.1
15:42:18,9.5,309.2
15:42:19,14.8,456.7
15:42:20,14.4,400.5
15:42:21,9.7,385.6
15:42:22,8.3,381.3
15:42:23,8.9,488.9
15:42:24,10.4,428.5
15:42:25,6.8,437.3
15:42:26,16.9,480.2
15:42:27,15.5,453.6
15:42:28,21.1,787.5
15:42:29,8.8,444.6
15:42:30,8.3,542.2
15:42:31,7.0,422.6
15:42:32,6.6,497.9
15:42:33,7.3,336.9
15:42:34,9.5,521.5
15:42:35,7.4,381.1
15:42:36,9.0,492.1
15:42:37,7.4,400.5
15:42:38,8.1,484.7
15:42:39,8.3,478.8
15:42:40,8.0,461.3
15:42:41,6.3,466.8
15:42:42,6.4,371.0
15:42:43,7.7,404.9
15:42:44,9.0,402.3
15:42:45,8.1,407.9
15:42:46,6.8,412.3
15:42:47,8.0,450.8
15:42:48,6.8,378.3
15:42:49,8.5,455.0
15:42:50,7.1,373.8
15:42:51,7.3,412.4
15:42:52,8.1,458.1
15:42:53,5.2,325.0
15:42:54,6.4,286.6
15:42:55,7.9,456.6
15:42:56,8.8,490.5
15:42:57,9.1,473.0
15:42:58,6.4,333.9
15:42:59,7.1,372.3
15:43:00,7.3,416.7
15:43:01,6.2,332.2
15:43:02,7.9,372.5
15:43:03,7.7,382.8
15:43:04,7.7,387.2
15:43:05,10.6,617.7
15:43:06,8.8,521.7
15:43:07,6.4,359.1
15:43:08,10.7,602.9
15:43:09,9.3,614.7
15:43:10,7.6,444.8
15:43:11,7.8,384.2
15:43:12,6.6,335.5
15:43:13,9.1,512.8
15:43:14,7.3,378.3
15:43:15,7.8,391.6
15:43:16,7.0,373.8
15:43:17,8.3,419.7
15:43:18,6.8,339.9
15:43:19,8.8,496.5
15:43:20,8.2,444.8
15:43:21,7.9,403.2
15:43:22,6.1,316.2
15:43:23,7.2,458.1
15:43:24,6.9,338.4
15:43:25,5.9,365.1
15:43:26,7.6,464.2
15:43:27,9.3,459.6
15:43:28,7.9,464.0
15:43:29,8.6,431.5
15:43:30,7.9,425.5
15:43:31,7.7,456.5
15:43:32,6.3,332.5
15:43:33,10.0,567.5
15:43:34,5.8,367.9
15:43:35,8.8,431.6
15:43:36,6.6,345.8
15:43:37,4.4,221.7
15:43:38,7.1,353.2
15:43:39,6.4,328.2
15:43:40,6.2,311.5
15:43:41,7.3,370.9
15:43:42,8.1,461.0
15:43:43,7.3,382.8
15:43:44,7.5,415.2
15:43:45,7.8,409.4
15:43:46,8.2,437.4
15:43:47,9.1,483.2
15:43:48,7.8,440.7
15:43:49,8.0,357.7
15:43:50,7.7,453.7
15:43:51,8.2,427.1
15:43:52,7.7,461.2
15:43:53,7.2,391.6
15:43:54,8.8,477.3
15:43:55,8.2,438.9
15:43:56,7.7,410.8
15:43:57,6.2,299.9
15:43:58,8.2,447.7
15:43:59,5.0,407.8
15:44:00,7.1,447.5
15:44:01,7.1,378.3
