time_hms,kb_per_sec_in,kb_per_sec_out
15:45:27,1.0,3.3
15:45:28,18.8,649.1
15:45:29,17.6,682.1
15:45:30,17.9,669.7
15:45:31,22.0,836.5
15:45:32,22.0,807.6
15:45:33,13.9,539.5
15:45:34,16.4,594.3
15:45:35,8.9,341.8
15:45:36,15.6,569.5
15:45:37,16.1,625.1
15:45:38,15.2,552.8
15:45:39,6.2,242.0
15:45:40,14.7,533.6
15:45:41,11.8,453.9
15:45:42,14.2,510.0
15:45:43,19.3,745.8
15:45:44,13.4,484.9
15:45:45,8.9,344.2
15:45:46,13.0,462.5
15:45:47,16.1,616.8
15:45:48,12.2,431.7
15:45:49,13.5,521.0
15:45:50,11.8,415.1
15:45:51,18.5,716.4
15:45:52,10.8,384.7
15:45:53,20.5,789.3
15:45:54,10.5,363.7
15:45:55,21.2,821.6
15:45:56,9.7,341.5
15:45:57,18.4,592.7
15:45:58,14.7,415.9
15:45:59,13.6,396.1
15:46:00,17.1,502.7
15:46:01,16.5,469.4
15:46:02,12.0,332.6
15:46:03,13.9,378.5
15:46:04,4.7,106.1
15:46:05,7.8,225.3
15:46:06,5.1,128.6
15:46:07,15.1,443.3
15:46:08,13.3,363.3
15:46:09,15.6,481.7
15:46:10,12.9,348.7
15:46:11,11.3,353.2
15:46:12,17.2,491.1
15:46:13,15.7,464.0
15:46:14,12.7,347.7
15:46:15,15.2,465.5
15:46:16,13.0,368.8
15:46:17,15.9,496.6
15:46:18,12.3,343.2
15:46:19,14.5,446.3
15:46:20,13.7,399.0
15:46:21,13.4,385.8
15:46:22,15.8,478.9
15:46:23,15.2,458.2
15:46:24,15.6,454.7
15:46:25,14.4,408.0
15:46:26,14.9,437.3
15:46:27,13.5,385.8
15:46:28,12.9,403.4
15:46:29,17.0,468.7
15:46:30,15.9,493.8
15:46:31,12.1,329.7
15:46:32,14.4,448.9
15:46:33,12.0,331.1
15:46:34,12.5,390.0
15:46:35,16.1,464.7
15:46:36,13.6,416.2
15:46:37,10.9,320.8
15:46:38,15.5,477.8
15:46:39,11.7,338.5
15:46:40,15.1,461.8
15:46:41,10.2,286.8
15:46:42,14.9,465.5
15:46:43,12.3,351.2
15:46:44,14.9,464.1
15:46:45,12.0,325.1
15:46:46,11.3,328.0
15:46:47,13.5,370.4
15:46:48,16.0,465.1
15:46:49,19.7,580.8
15:46:50,15.5,452.1
15:46:51,14.4,421.2
15:46:52,12.6,369.5
15:46:53,13.8,374.4
15:46:54,12.0,362.1
15:46:55,15.7,426.1
15:46:56,13.7,375.8
15:46:57,13.0,382.8
15:46:58,12.0,354.7
15:46:59,17.9,501.6
15:47:00,14.8,453.6
15:47:01,14.7,419.7
15:47:02,15.2,471.3
15:47:03,13.9,396.0
15:47:04,12.2,369.5
15:47:05,13.6,362.5
15:47:06,13.8,404.7
15:47:07,17.2,508.9
15:47:08,14.6,447.8
15:47:09,14.9,429.0
15:47:10,16.4,514.3
15:47:11,13.4,367.3
15:47:12,12.3,379.8
15:47:13,14.6,415.1
15:47:14,13.8,422.7
15:47:15,16.3,473.0
15:47:16,13.6,419.7
15:47:17,8.6,244.9
15:47:18,15.4,465.6
15:47:19,10.2,281.4
15:47:20,12.8,378.3
15:47:21,13.4,397.5
15:47:22,15.0,407.8
15:47:23,3.3,81.7
15:47:24,13.8,405.1
15:47:25,15.2,454.7
15:47:26,13.1,368.0
15:47:27,16.7,515.9
15:47:28,12.8,366.9
15:47:29,17.0,526.1
15:47:30,16.1,465.9
15:47:31,5.7,161.0
15:47:32,12.1,334.0
15:47:33,13.9,438.9
15:47:34,14.3,412.8
15:47:35,11.6,356.1
15:47:36,13.7,380.8
15:47:37,15.9,490.6
15:47:38,14.5,418.5
15:47:39,10.7,302.9
15:47:40,11.2,301.6
15:47:41,15.1,453.9
15:47:42,10.2,289.6
15:47:43,13.9,427.1
15:47:44,14.4,405.8
15:47:45,12.3,363.5
15:47:46,14.4,393.1
15:47:47,6.9,193.9
15:47:48,9.2,243.9
15:47:49,13.6,391.4
15:47:50,15.1,453.1
15:47:51,16.1,502.4
15:47:52,11.6,324.9
15:47:53,16.0,498.0
15:47:54,10.8,290.1
15:47:55,13.8,424.1
15:47:56,15.6,452.0
15:47:57,13.6,421.2
15:47:58,14.4,414.0
15:47:59,16.5,521.7
15:48:00,13.5,373.6
15:48:01,17.6,568.7
15:48:02,11.3,305.5
15:48:03,6.6,168.8
15:48:04,5.5,136.0
15:48:05,7.2,195.4
15:48:06,4.5,110.9
15:48:07,15.2,468.4
15:48:08,17.6,478.7
15:48:09,14.5,424.1
15:48:10,16.2,472.8
15:48:11,16.9,540.9
15:48:12,11.8,337.5
15:48:13,12.3,387.2
15:48:14,14.7,395.0
15:48:15,13.4,419.7
15:48:16,15.4,432.4
15:48:17,14.3,432.8
15:48:18,13.9,392.1
15:48:19,13.6,424.0
15:48:20,13.2,384.3
15:48:21,12.7,367.9
15:48:22,14.9,449.3
15:48:23,15.2,432.1
15:48:24,13.9,421.1
15:48:25,14.1,385.7
15:48:26,11.3,360.9
15:48:27,17.7,586.9
15:48:28,7.0,250.1
15:48:29,20.5,753.8
15:48:30,1.1,43.2
15:48:31,19.7,728.7
15:48:32,13.1,504.1
15:48:33,19.2,705.1
15:48:34,15.0,579.0
15:48:35,18.6,681.4
15:48:36,13.2,509.7
15:48:37,17.8,654.5
15:48:38,17.1,658.3
15:48:39,17.5,635.5
15:48:40,13.6,520.8
15:48:41,16.8,610.5
15:48:42,17.1,660.9
15:48:43,16.0,579.3
15:48:44,16.1,621.4
15:48:45,15.5,558.7
15:48:46,22.0,833.9
