timestamp,dst_port,state,cc_algo,rto_ms,rtt_ms,rtt_var_ms,min_rtt_ms,mss_bytes,cwnd_pkts,cwnd_bytes,ssthresh_bytes,bytes_sent,bytes_acked,bytes_received,bytes_retrans,segs_out,segs_in,data_segs_out,data_segs_in,retrans_outstanding,retrans_total,pacing_rate_bps,delivery_rate_bps,delivered_pkts,snd_wnd_bytes,rcv_wnd_bytes,unacked_pkts,notsent_bytes
2026-04-30 15:23:24.211,39844,ESTAB,prague,224,20.782,4.859,20.175,1448,10,14480,NaN,2883,2883,408,NaN,4,6,3,1,NaN,NaN,11547920,1592664,4,48640,43520,NaN,NaN
2026-04-30 15:23:24.497,39844,ESTAB,prague,224,20.782,4.859,20.175,1448,10,14480,NaN,2883,2883,408,NaN,4,6,3,1,NaN,NaN,11547920,1592664,4,48640,43520,NaN,NaN
2026-04-30 15:23:24.782,39844,ESTAB,prague,224,20.782,4.859,20.175,1448,10,14480,NaN,2883,2883,408,NaN,4,6,3,1,NaN,NaN,11547920,1592664,4,48640,43520,NaN,NaN
2026-04-30 15:23:25.473,54580,ESTAB,prague,228,25.207,0.067,20.041,1448,30,43440,NaN,131520,109980,822,NaN,93,43,92,2,NaN,NaN,28563120,6694016,78,111616,43520,15,68253
2026-04-30 15:23:25.697,54580,ESTAB,prague,228,25.281,0.109,20.041,1448,30,43440,NaN,268321,246781,1644,NaN,189,92,188,4,NaN,NaN,28479120,6698160,174,111616,43520,15,206784
2026-04-30 15:23:25.919,54580,ESTAB,prague,228,25.269,0.052,20.041,1448,30,43440,NaN,452129,430589,1644,NaN,317,156,316,4,NaN,NaN,28493040,6695120,302,111616,43520,15,241248
2026-04-30 15:23:26.140,54580,ESTAB,prague,228,25.253,0.067,20.041,1448,30,43440,NaN,635937,614397,1644,NaN,445,220,444,4,NaN,NaN,28510560,6671432,430,111616,43520,15,166576
2026-04-30 15:23:26.359,54580,ESTAB,prague,228,25.269,0.056,20.041,1448,30,43440,NaN,816873,798205,1644,NaN,571,284,570,4,NaN,NaN,28492800,6679680,558,111616,43520,13,203912
2026-04-30 15:23:26.579,54580,ESTAB,prague,228,25.29,0.057,20.041,1448,30,43440,NaN,1000681,979141,1644,NaN,699,347,698,4,NaN,NaN,28469280,6683528,684,111616,43520,15,238376
2026-04-30 15:23:26.804,54580,ESTAB,prague,228,25.294,0.039,20.041,1448,30,43440,NaN,1185925,1165821,1644,NaN,828,412,827,4,NaN,NaN,28464480,6692912,814,111616,43520,14,162268
2026-04-30 15:23:27.031,54580,ESTAB,prague,228,25.28,0.029,20.041,1448,30,43440,NaN,1374041,1355373,1644,NaN,959,478,958,4,NaN,NaN,28479840,6684360,946,111616,43520,13,44877
2026-04-30 15:23:27.264,54580,ESTAB,prague,232,30.819,11.092,20.041,1448,30,43440,NaN,1418918,1418918,1644,NaN,991,501,990,4,NaN,NaN,23361600,2415512,991,112128,43520,NaN,NaN
2026-04-30 15:23:27.490,54580,ESTAB,prague,228,26.051,0.983,20.019,1448,44,63712,63712,1546733,1525193,2468,NaN,1081,539,1080,6,NaN,NaN,20267104,6716912,1066,135168,43520,15,324536
2026-04-30 15:23:27.716,54580,ESTAB,prague,228,25.567,1.862,20.019,1448,25,36200,34752,1733413,1711873,2468,NaN,1211,599,1210,6,NaN,NaN,11733600,6717024,1196,183296,43520,15,275712
2026-04-30 15:23:27.946,54580,ESTAB,prague,228,25.288,0.049,20.019,1448,25,36200,34752,1924401,1904297,2468,NaN,1344,666,1343,6,NaN,NaN,11863200,6694848,1330,183296,43520,14,278584
2026-04-30 15:23:28.177,54580,ESTAB,prague,228,25.256,0.033,20.019,1448,25,36200,34752,2115389,2093849,2468,NaN,1477,732,1476,6,NaN,NaN,11878000,6692632,1462,183296,43520,15,281456
2026-04-30 15:23:28.410,54580,ESTAB,prague,228,25.263,0.073,20.019,1448,25,36200,34752,2307813,2289145,2468,NaN,1611,800,1610,6,NaN,NaN,11874800,6685184,1598,183296,43520,13,198782
2026-04-30 15:23:28.645,54580,ESTAB,prague,228,25.293,0.034,20.019,1448,25,36200,34752,2503109,2481569,2468,NaN,1747,867,1746,6,NaN,NaN,11860600,6684360,1732,183296,43520,15,3486
2026-04-30 15:23:28.883,54580,ESTAB,prague,228,25.332,0.032,20.019,1448,25,36200,34752,2680351,2658811,2884,NaN,1871,930,1870,7,NaN,NaN,11842600,6704808,1856,183808,43520,15,280020
2026-04-30 15:23:29.127,54580,ESTAB,prague,228,25.273,0.083,20.019,1448,25,36200,34752,2881391,2859851,2884,NaN,2011,1000,2010,7,NaN,NaN,11870200,6694568,1996,183808,43520,15,272840
2026-04-30 15:23:29.371,54580,ESTAB,prague,228,25.346,0.057,20.019,1448,25,36200,34752,3086739,3066635,2884,NaN,2154,1072,2153,7,NaN,NaN,11836000,6665400,2140,183808,43520,14,261352
2026-04-30 15:23:29.600,54580,ESTAB,prague,228,25.291,0.05,20.019,1448,25,36200,34752,3273419,3253315,2884,NaN,2284,1137,2283,7,NaN,NaN,11861600,6684360,2270,183296,43520,14,268532
2026-04-30 15:23:29.829,54580,ESTAB,prague,228,25.287,0.028,20.019,1448,25,36200,34752,3462971,3442867,2884,NaN,2416,1203,2415,7,NaN,NaN,11863600,6689872,2402,183296,43520,14,106260
2026-04-30 15:23:30.055,54580,ESTAB,prague,228,25.097,0.387,20.019,1448,25,36200,34752,3630979,3609439,3300,NaN,2533,1262,2532,8,NaN,NaN,11953400,6702872,2518,183808,43520,15,392028
2026-04-30 15:23:30.284,54580,ESTAB,prague,228,25.34,0.019,20.019,1448,25,36200,34752,3817659,3796119,3300,NaN,2663,1327,2662,8,NaN,NaN,11838600,6682984,2648,183808,43520,15,330666
2026-04-30 15:23:30.524,54580,ESTAB,prague,228,25.335,0.039,20.019,1448,25,36200,34752,4018699,4000031,3300,NaN,2803,1398,2802,8,NaN,NaN,11841000,6677200,2790,183808,43520,13,129626
2026-04-30 15:23:30.752,54580,ESTAB,prague,228,25.3,0.029,20.019,1448,25,36200,34752,4148325,4148325,3300,NaN,2894,1450,2893,8,NaN,NaN,11857400,6688216,2894,183808,43520,NaN,NaN
2026-04-30 15:23:30.981,54580,ESTAB,prague,228,25.3,0.029,20.019,1448,25,36200,34752,4148325,4148325,3300,NaN,2894,1450,2893,8,NaN,NaN,11857400,6688216,2894,183808,43520,NaN,NaN
2026-04-30 15:23:31.228,54580,ESTAB,prague,228,25.3,0.029,20.019,1448,25,36200,34752,4148325,4148325,3300,NaN,2894,1450,2893,8,NaN,NaN,11857400,6688216,2894,183808,43520,NaN,NaN
2026-04-30 15:23:31.460,54580,ESTAB,prague,224,23.87,0.364,20.019,1448,25,36200,34752,4178492,4156952,4124,NaN,2916,1455,2915,10,NaN,NaN,12567600,6688216,2901,183808,43520,15,426492
2026-04-30 15:23:31.691,54580,ESTAB,prague,228,25.332,0.034,20.019,1448,25,36200,34752,4369480,4349376,4124,NaN,3049,1522,3048,10,NaN,NaN,11842400,6681880,3035,183808,43520,14,429364
2026-04-30 15:23:31.927,54580,ESTAB,prague,228,25.278,0.073,20.019,1448,25,36200,34752,4564776,4544672,4124,NaN,3185,1590,3184,10,NaN,NaN,11868000,6683256,3171,183808,43520,14,427928
2026-04-30 15:23:32.174,54580,ESTAB,prague,228,25.283,0.113,20.019,1448,25,36200,34752,4764380,4745712,4124,NaN,3324,1660,3323,10,NaN,NaN,11865200,6678304,3311,183808,43520,13,422184
2026-04-30 15:23:32.421,54580,ESTAB,prague,228,25.291,0.075,20.019,1448,25,36200,34752,4972600,4952496,4124,NaN,3469,1732,3468,10,NaN,NaN,11861800,6692632,3455,183808,43520,14,302937
2026-04-30 15:23:32.671,54580,ESTAB,prague,228,25.32,0.03,20.019,1448,25,36200,34752,5180820,5159280,4124,NaN,3614,1804,3613,10,NaN,NaN,11848200,6695120,3599,183808,43520,15,94717
2026-04-30 15:23:32.917,54580,ESTAB,prague,232,30.327,10.091,20.019,1448,25,36200,34752,5275537,5275537,4124,NaN,3680,1845,3679,10,NaN,NaN,9892000,2556264,3680,183808,43520,NaN,NaN
2026-04-30 15:23:33.159,54580,ESTAB,prague,232,30.327,10.091,20.019,1448,25,36200,34752,5275537,5275537,4124,NaN,3680,1845,3679,10,NaN,NaN,9892000,2556264,3680,183808,43520,NaN,NaN
2026-04-30 15:23:33.421,54580,ESTAB,prague,232,30.327,10.091,20.019,1448,25,36200,34752,5275537,5275537,4124,NaN,3680,1845,3679,10,NaN,NaN,9892000,2556264,3680,183808,43520,NaN,NaN
2026-04-30 15:23:33.672,54580,ESTAB,prague,228,25.153,0.132,20.019,1448,25,36200,34752,5452176,5430636,4948,NaN,3804,1903,3803,12,NaN,NaN,11926400,6678304,3789,183808,43520,15,280020
2026-04-30 15:23:33.904,54580,ESTAB,prague,228,25.27,0.076,20.019,1448,25,36200,34752,5644600,5623060,4948,NaN,3938,1970,3937,12,NaN,NaN,11871600,6683256,3923,183808,43520,15,281456
2026-04-30 15:23:34.145,54580,ESTAB,prague,228,25.275,0.087,20.019,1448,25,36200,34752,5842768,5824100,4948,NaN,4076,2040,4075,12,NaN,NaN,11869400,6695400,4063,183808,43520,13,277148
2026-04-30 15:23:34.392,54580,ESTAB,prague,228,25.348,0.027,20.019,1448,25,36200,34752,6048116,6028012,4948,NaN,4219,2111,4218,12,NaN,NaN,11835200,6676656,4205,183808,43520,14,136779
2026-04-30 15:23:34.640,54580,ESTAB,prague,228,25.313,0.029,20.019,1448,25,36200,34752,6184895,6184895,4948,NaN,4315,2166,4314,12,NaN,NaN,11851200,6698992,4315,183808,43520,NaN,NaN
2026-04-30 15:23:34.887,54580,ESTAB,prague,228,25.313,0.029,20.019,1448,25,36200,34752,6184895,6184895,4948,NaN,4315,2166,4314,12,NaN,NaN,11851200,6698992,4315,183808,43520,NaN,NaN
2026-04-30 15:23:35.134,54580,ESTAB,prague,228,25.313,0.029,20.019,1448,25,36200,34752,6184895,6184895,4948,NaN,4315,2166,4314,12,NaN,NaN,11851200,6698992,4315,183808,43520,NaN,NaN
2026-04-30 15:23:35.410,54580,ESTAB,prague,228,25.313,0.029,20.019,1448,25,36200,34752,6184895,6184895,4948,NaN,4315,2166,4314,12,NaN,NaN,11851200,6698992,4315,183808,43520,NaN,NaN
2026-04-30 15:23:35.664,54580,ESTAB,prague,228,25.362,0.035,20.019,1448,25,36200,34752,6329942,6308402,5772,NaN,4417,2211,4416,14,NaN,NaN,11828600,6694848,4402,183808,43520,15,311612
2026-04-30 15:23:35.909,54580,ESTAB,prague,228,25.301,0.042,20.019,1448,25,36200,34752,6535290,6515186,5772,NaN,4560,2283,4559,14,NaN,NaN,11857000,6710360,4546,183808,43520,14,300124
2026-04-30 15:23:36.140,54580,ESTAB,prague,228,25.335,0.031,20.019,1448,25,36200,34752,6727714,6707610,5772,NaN,4694,2350,4693,14,NaN,NaN,11841000,6685184,4680,183808,43520,14,301560
2026-04-30 15:23:36.372,54580,ESTAB,prague,228,25.326,0.05,20.019,1448,25,36200,34752,6920138,6900034,5772,NaN,4828,2417,4827,14,NaN,NaN,11845200,6675280,4814,183808,43520,14,302996
2026-04-30 15:23:36.610,54580,ESTAB,prague,228,25.332,0.05,20.019,1448,25,36200,34752,7116870,7095330,5772,NaN,4965,2485,4964,14,NaN,NaN,11842200,6675280,4950,183808,43520,15,228254
2026-04-30 15:23:36.848,54580,ESTAB,prague,228,25.276,0.066,20.019,1448,25,36200,34752,7315038,7296370,5772,NaN,5103,2555,5102,14,NaN,NaN,11868800,6691528,5090,183808,43520,13,30086
2026-04-30 15:23:37.084,54580,ESTAB,prague,228,25.411,0.256,20.019,1448,25,36200,34752,7345124,7345124,5772,NaN,5124,2572,5123,14,NaN,NaN,11805600,6489632,5124,183808,43520,NaN,NaN
2026-04-30 15:23:37.335,54580,ESTAB,prague,228,25.411,0.256,20.019,1448,25,36200,34752,7345124,7345124,5772,NaN,5124,2572,5123,14,NaN,NaN,11805600,6489632,5124,183808,43520,NaN,NaN
2026-04-30 15:23:37.580,54580,ESTAB,prague,228,24.918,0.829,20.019,1448,25,36200,34752,7392523,7370983,6596,NaN,5158,2583,5157,16,NaN,NaN,12039200,6852408,5143,183808,43520,15,409260
2026-04-30 15:23:37.815,54580,ESTAB,prague,228,25.336,0.027,20.019,1448,25,36200,34752,7587819,7566279,6596,NaN,5294,2651,5293,16,NaN,NaN,11840600,6692632,5279,183808,43520,15,407824
2026-04-30 15:23:38.055,54580,ESTAB,prague,228,25.309,0.033,20.019,1448,25,36200,34752,7785987,7764447,6596,NaN,5432,2720,5431,16,NaN,NaN,11853000,6694848,5417,183808,43520,15,331296
2026-04-30 15:23:38.300,54580,ESTAB,prague,228,25.326,0.01,20.019,1448,25,36200,34752,7988463,7968359,6596,NaN,5573,2791,5572,16,NaN,NaN,11845200,6683256,5559,183808,43520,14,128820
