Timestamp,Buffer_Level,Live_Latency,Playback_Rate,Quality_Switches,Stall_Count,Stall_Duration_Sec,Actual_Bitrate_Kbps,Last_Chunk_DL_Time_Sec
2026-04-29T11:59:11.836Z,1.38,4.18,1.043,0,0,0.000,738,0.246
2026-04-29T11:59:12.836Z,1.31,4.14,1.034,1,0,0.000,4517,1.376
2026-04-29T11:59:13.839Z,2.27,4.11,1.030,1,0,0.000,3191,0.978
2026-04-29T11:59:14.842Z,1.27,4.08,1.021,2,0,0.000,3191,0.978
2026-04-29T11:59:15.837Z,2.06,4.06,1.016,2,0,0.000,3191,0.978
2026-04-29T11:59:16.837Z,1.21,4.05,1.011,2,0,0.000,3456,1.059
2026-04-29T11:59:17.845Z,2.20,4.03,1.011,2,0,0.000,2610,0.802
2026-04-29T11:59:18.836Z,1.19,4.03,1.007,2,0,0.000,2610,0.802
2026-04-29T11:59:19.836Z,1.72,4.02,1.007,2,0,0.000,2610,0.802
2026-04-29T11:59:20.838Z,1.20,4.01,1.003,3,0,0.000,3572,1.093
2026-04-29T11:59:21.836Z,1.94,4.01,1.003,3,0,0.000,3572,1.093
2026-04-29T11:59:22.836Z,1.18,4.00,1.003,4,0,0.000,3255,0.996
2026-04-29T11:59:23.837Z,1.28,4.00,1.003,4,0,0.000,3255,0.996
2026-04-29T11:59:24.836Z,1.17,4.00,1.003,5,0,0.000,4771,1.459
2026-04-29T11:59:25.839Z,2.18,4.00,1.003,5,0,0.000,1825,0.569
2026-04-29T11:59:26.837Z,1.18,4.00,1.003,6,0,0.000,1825,0.569
2026-04-29T11:59:27.843Z,2.33,3.99,1.003,6,0,0.000,1807,0.568
2026-04-29T11:59:28.837Z,1.17,3.99,1.003,6,0,0.000,1807,0.568
2026-04-29T11:59:29.836Z,1.20,3.99,0.999,6,0,0.000,1807,0.568
2026-04-29T11:59:30.838Z,2.24,3.99,0.999,7,0,0.000,4249,1.299
2026-04-29T11:59:31.836Z,3.19,3.99,0.999,7,0,0.000,2284,0.710
2026-04-29T11:59:32.844Z,3.28,3.99,0.999,8,0,0.000,4495,1.374
2026-04-29T11:59:33.837Z,3.48,4.00,0.999,8,0,0.000,4495,1.374
2026-04-29T11:59:34.839Z,3.19,4.00,0.999,9,0,0.000,3624,1.109
2026-04-29T11:59:35.837Z,3.06,4.00,0.999,9,0,0.000,3624,1.109
2026-04-29T11:59:36.837Z,3.17,4.00,0.999,9,0,0.000,4627,1.407
2026-04-29T11:59:37.837Z,3.50,4.00,0.999,9,0,0.000,4627,1.407
2026-04-29T11:59:38.837Z,3.18,4.00,0.999,9,0,0.000,3075,0.944
2026-04-29T11:59:39.836Z,3.44,4.00,0.999,9,0,0.000,3075,0.944
2026-04-29T11:59:40.840Z,3.21,4.00,0.999,9,0,0.000,2922,0.904
2026-04-29T11:59:41.836Z,3.23,4.01,0.999,9,0,0.000,2922,0.904
2026-04-29T11:59:42.846Z,3.20,4.01,0.999,10,0,0.000,3292,1.008
2026-04-29T11:59:43.836Z,3.19,4.01,0.999,10,0,0.000,3292,1.008
2026-04-29T11:59:44.842Z,3.34,4.01,1.003,10,0,0.000,3176,0.973
2026-04-29T11:59:45.837Z,3.21,4.01,1.003,10,0,0.000,3176,0.973
2026-04-29T11:59:46.843Z,3.21,4.00,1.003,10,0,0.000,3127,0.959
2026-04-29T11:59:47.837Z,2.97,4.00,1.003,10,0,0.000,3127,0.959
2026-04-29T11:59:48.840Z,3.35,4.00,1.003,10,0,0.000,3202,0.983
2026-04-29T11:59:49.837Z,3.03,4.00,1.003,10,0,0.000,3202,0.983
2026-04-29T11:59:50.839Z,3.20,3.99,1.003,10,0,0.000,3191,0.979
2026-04-29T11:59:51.837Z,2.67,3.99,1.003,10,0,0.000,3191,0.979
2026-04-29T11:59:52.840Z,3.35,3.99,0.999,10,0,0.000,3360,1.029
2026-04-29T11:59:53.837Z,2.95,3.99,0.999,10,0,0.000,3360,1.029
2026-04-29T11:59:54.840Z,3.23,3.99,0.999,10,0,0.000,3311,1.013
2026-04-29T11:59:55.837Z,2.73,3.99,0.999,10,0,0.000,3311,1.013
2026-04-29T11:59:56.841Z,3.27,4.00,0.999,10,0,0.000,3433,1.051
2026-04-29T11:59:57.837Z,2.71,4.00,0.999,10,0,0.000,3433,1.051
2026-04-29T11:59:58.839Z,3.25,4.00,0.999,10,0,0.000,3420,1.049
2026-04-29T11:59:59.837Z,2.50,4.00,0.999,10,0,0.000,3420,1.049
2026-04-29T12:00:00.843Z,3.21,4.00,0.999,10,0,0.000,3433,1.048
2026-04-29T12:00:01.837Z,3.73,4.00,0.999,10,0,0.000,3433,1.048
2026-04-29T12:00:02.841Z,3.28,4.00,0.999,10,0,0.000,1012,0.490
2026-04-29T12:00:03.837Z,3.77,4.00,0.999,10,0,0.000,1012,0.490
