      Time     KB/s_in    KB/s_out
  18:03:17         0.0         0.0
  18:03:18         0.0         0.4
  18:03:19         0.0         0.0
  18:03:20         0.0         0.0
  18:03:21         0.0         0.0
  18:03:22         0.0         0.0
  18:03:23         0.1         0.2
  18:03:24         0.0         0.1
  18:03:25         0.0         0.0
  18:03:26         0.0         0.4
  18:03:27         0.0         0.0
  18:03:28         0.0         0.0
  18:03:29         0.0         0.0
  18:03:30         0.0         0.0
  18:03:31         0.0         0.0
  18:03:32         0.0         0.0
  18:03:33         0.0         0.0
  18:03:34         0.0         0.0
  18:03:35         0.0         0.0
  18:03:36         0.0         0.0
  18:03:37         0.0         0.1
  18:03:38         0.0         0.0
  18:03:39         0.1         0.1
  18:03:40         0.0         0.0
  18:03:41         0.0         0.0
  18:03:42         0.0         0.5
  18:03:43         0.0         0.0
  18:03:44         0.0         0.1
  18:03:45         0.0         0.0
  18:03:46         0.0         0.0
  18:03:47         8.7       282.1
  18:03:48        19.7       555.8
  18:03:49         9.0       409.2
  18:03:50         7.5       428.4
  18:03:51         7.5       401.9
  18:03:52         8.9       438.7
  18:03:53        10.8       477.3
  18:03:54        11.2       673.7
  18:03:55         7.9       407.6
  18:03:56         7.3       430.0
  18:03:57         8.2       429.9
  18:03:58        11.8       691.6
  18:03:59         8.2       450.7
  18:04:00        12.3       704.9
  18:04:01         9.1       461.0
  18:04:02        12.0       719.5
  18:04:03        11.9       722.6
  18:04:04        11.7       747.4
  18:04:05        11.1       628.0
  18:04:06        13.0       768.5
  18:04:07         7.0       430.0
  18:04:08        12.8       749.4
  18:04:09         8.7       432.9
  18:04:10        12.3       737.4
  18:04:11         9.9       551.2
  18:04:12        12.5       806.8
  18:04:13         8.0       428.5
  18:04:14        12.5       774.9
  18:04:15         8.8       415.3
  18:04:16        12.5       764.4
  18:04:17         7.9       403.4
  18:04:18        12.8       773.0
  18:04:19         7.4       400.5
  18:04:20        11.7       719.8
  18:04:21         9.3       467.1
  18:04:22        13.3       852.5
  18:04:23        11.3       673.8
  18:04:24        12.8       852.8
  18:04:25        10.1       563.1
  18:04:26        14.2       850.9
  18:04:27        11.2       622.2
  18:04:28        13.1       843.7
  18:04:29        11.0       588.1
  18:04:30        13.4       854.2
  18:04:31        10.1       545.3
  18:04:32        13.1       846.7
  18:04:33         8.9       483.2
  18:04:34        11.3       713.9
  18:04:35         9.4       573.3
  18:04:36        13.3       815.6
  18:04:37        10.6       614.8
  18:04:38        12.8       833.5
  18:04:39        10.8       627.9
  18:04:40        12.9       834.9
  18:04:41        11.3       604.3
  18:04:42        12.6       799.5
  18:04:43        10.2       608.8
  18:04:44        12.9       768.4
  18:04:45        10.8       614.8
  18:04:46        12.5       809.7
  18:04:47        10.4       620.6
  18:04:48        12.8       820.1
  18:04:49        10.3       594.1
  18:04:50        11.9       734.6
  18:04:51        10.4       613.2
  18:04:52        12.3       778.8
  18:04:53        10.6       641.4
  18:04:54        11.9       731.5
  18:04:55        10.8       660.6
  18:04:56        12.8       774.5
  18:04:57        10.2       647.4
  18:04:58        12.6       762.4
  18:04:59        11.4       681.3
  18:05:00        11.7       725.5
  18:05:01        11.8       688.3
  18:05:02        12.0       685.5
  18:05:03        12.6       707.7
  18:05:04        11.6       691.5
  18:05:05        11.8       728.3
  18:05:06        12.1       725.6
  18:05:07        12.2       740.3
  18:05:08        11.0       616.2
  18:05:09        11.9       755.0
  18:05:10        11.2       617.6
  18:05:11        12.2       768.3
  18:05:12        10.9       638.3
  18:05:13        12.4       778.4
  18:05:14        10.6       577.7
  18:05:15        13.3       793.4
  18:05:16        11.9       704.9
  18:05:17        12.6       801.1
  18:05:18        10.4       569.1
  18:05:19        12.4       820.1
  18:05:20        10.9       592.6
  18:05:21        12.6       833.6
  18:05:22        11.5       645.8
  18:05:23        12.2       842.3
  18:05:24         9.3       535.0
  18:05:25        12.8       852.5
  18:05:26        10.0       589.7
  18:05:27        12.6       852.7
  18:05:28         9.8       503.9
  18:05:29        13.2       834.9
  18:05:30         9.6       505.5
  18:05:31        13.5       854.0
  18:05:32         9.8       518.7
  18:05:33        13.1       823.2
  18:05:34        10.9       604.4
  18:05:35        12.9       842.3
  18:05:36        10.2       554.2
  18:05:37        12.8       852.6
  18:05:38        10.0       539.4
  18:05:39        13.3       836.4
  18:05:40        11.0       607.4
  18:05:41        13.1       847.7
  18:05:42        10.6       589.6
  18:05:43        13.0       843.7
  18:05:44        10.7       580.6
  18:05:45        12.6       824.6
  18:05:46        10.4       588.1
  18:05:47        13.2       815.8
  18:05:48         9.5       601.4
  18:05:49        12.2       817.2
  18:05:50        10.7       600.1
  18:05:51        13.0       820.3
  18:05:52        10.6       629.5
  18:05:53        13.3       821.7
  18:05:54        10.2       632.4
  18:05:55        12.0       734.5
  18:05:56        10.7       650.3
  18:05:57        11.0       739.0
  18:05:58        11.0       636.9
  18:05:59        12.7       749.2
  18:06:00        10.6       656.1
  18:06:01        12.0       749.2
  18:06:02        11.5       718.2
  18:06:03        13.0       829.1
  18:06:04        11.7       715.3
  18:06:05        13.1       808.2
  18:06:06        12.4       691.6
  18:06:07        12.1       713.7
  18:06:08        12.0       724.2
  18:06:09        10.0       537.9
  18:06:10        11.8       738.6
  18:06:11        11.5       690.2
  18:06:12        12.4       752.3
  18:06:13        11.9       663.4
  18:06:14        12.8       761.2
  18:06:15        10.8       632.3
  18:06:16        12.4       780.0
  18:06:17         8.1       354.2
  18:06:18         0.0         0.0
  18:06:19         0.0         0.0
  18:06:20         0.0         0.0
  18:06:21         0.0         0.0
  18:06:22         0.0         0.0
  18:06:23         0.0         0.0
  18:06:24         0.0         0.0
  18:06:25         0.0         0.0
  18:06:26         0.0         0.0
  18:06:27         0.0         0.0
  18:06:28         0.0         0.0
  18:06:29         0.0         0.0
  18:06:30         0.0         0.0
  18:06:31         0.0         0.0
  18:06:32         0.0         0.0
  18:06:33         0.0         0.0
  18:06:34         0.0         0.0
  18:06:35         0.0         0.0
  18:06:36         0.0         0.0
