time_hms,kb_per_sec_in,kb_per_sec_out
18:14:19,0.9,3.2
18:14:20,10.6,396.5
18:14:21,18.6,854.3
18:14:22,13.1,583.0
18:14:23,10.6,482.2
18:14:24,9.7,397.6
18:14:25,9.4,430.0
18:14:26,11.7,364.1
18:14:27,16.8,770.3
18:14:28,9.1,314.1
18:14:29,7.0,299.1
18:14:30,12.0,321.5
18:14:31,10.6,461.4
18:14:32,9.7,295.0
18:14:33,11.7,516.3
18:14:34,12.3,277.6
18:14:35,18.6,854.1
18:14:36,11.5,319.4
18:14:37,18.6,854.3
18:14:38,17.2,442.3
18:14:39,13.0,568.8
18:14:40,10.7,203.8
18:14:41,18.7,855.3
18:14:42,12.8,399.5
18:14:43,14.1,625.6
18:14:44,10.5,171.3
18:14:45,14.7,651.8
18:14:46,8.2,130.6
18:14:47,15.5,685.2
18:14:48,10.6,118.0
18:14:49,13.5,601.6
18:14:50,9.3,288.7
18:14:51,12.0,456.6
18:14:52,12.7,401.4
18:14:53,11.3,449.3
18:14:54,13.1,429.1
18:14:55,11.9,409.0
18:14:56,2.1,22.1
18:14:57,5.4,201.2
18:14:58,0.5,2.9
18:14:59,11.4,450.6
18:15:00,1.8,16.4
18:15:01,12.3,438.4
18:15:02,1.5,49.1
18:15:03,4.8,125.6
18:15:04,1.9,3.3
18:15:05,6.1,149.5
18:15:06,0.0,0.0
18:15:07,12.2,385.6
18:15:08,2.2,13.1
18:15:09,12.1,360.8
18:15:10,2.1,75.8
18:15:11,9.7,204.2
18:15:12,2.4,4.4
18:15:13,12.6,320.8
18:15:14,9.0,355.1
18:15:15,7.1,264.8
18:15:16,2.1,47.3
18:15:17,9.5,270.4
18:15:18,3.3,58.0
18:15:19,11.8,308.1
18:15:20,4.0,121.6
18:15:21,5.5,184.3
18:15:22,0.5,21.5
18:15:23,5.4,181.9
18:15:24,0.7,31.7
18:15:25,5.4,177.4
18:15:26,0.4,16.7
18:15:27,5.7,205.8
18:15:28,0.5,20.1
18:15:29,4.0,110.6
18:15:30,0.5,13.9
18:15:31,5.2,168.4
18:15:32,0.7,30.4
18:15:33,5.2,168.2
18:15:34,0.3,8.3
18:15:35,4.7,152.4
18:15:36,0.5,18.3
18:15:37,4.0,127.5
18:15:38,0.2,6.7
18:15:39,4.8,155.6
18:15:40,0.5,16.8
18:15:41,4.7,152.1
18:15:42,1.9,70.0
18:15:43,4.3,140.4
18:15:44,1.2,39.7
18:15:45,4.0,122.6
18:15:46,1.7,64.7
18:15:47,3.6,107.9
18:15:48,2.5,87.9
18:15:49,3.3,94.6
18:15:50,2.8,110.1
18:15:51,2.9,81.3
18:15:52,3.2,122.9
18:15:53,2.5,68.0
18:15:54,3.2,136.0
18:15:55,2.2,54.7
18:15:56,3.7,148.7
18:15:57,1.8,39.9
18:15:58,4.3,175.8
18:15:59,1.5,25.1
18:16:00,4.6,183.6
18:16:01,1.3,16.2
18:16:02,1.4,57.8
18:16:03,1.1,2.9
18:16:04,2.4,97.1
18:16:05,0.5,0.0
18:16:06,5.8,203.9
18:16:07,0.0,0.0
18:16:08,6.3,229.9
18:16:09,0.0,0.1
18:16:10,6.4,209.8
18:16:11,0.0,0.0
18:16:12,6.0,214.2
18:16:13,0.0,0.0
18:16:14,6.2,211.4
18:16:15,0.1,0.1
18:16:16,6.2,206.4
18:16:17,0.0,0.0
18:16:18,6.0,209.2
18:16:19,0.1,0.1
18:16:20,6.9,226.4
18:16:21,0.0,0.0
18:16:22,4.0,123.7
18:16:23,0.0,0.1
18:16:24,4.3,137.7
18:16:25,0.0,0.0
18:16:26,5.6,190.0
18:16:27,0.0,0.0
18:16:28,4.2,127.4
18:16:29,0.0,0.0
18:16:30,6.6,214.9
18:16:31,0.0,0.0
18:16:32,6.5,230.6
18:16:33,0.0,0.0
18:16:34,6.5,224.2
18:16:35,0.0,0.0
18:16:36,6.4,204.0
18:16:37,0.8,32.0
18:16:38,5.9,196.5
18:16:39,0.3,6.2
18:16:40,5.8,190.4
18:16:41,0.0,0.0
18:16:42,5.2,171.4
18:16:43,0.6,19.4
18:16:44,4.8,162.5
18:16:45,1.7,73.0
18:16:46,4.3,138.9
18:16:47,2.3,85.2
18:16:48,4.1,130.0
18:16:49,2.4,104.4
18:16:50,3.6,115.3
18:16:51,2.7,104.8
18:16:52,3.7,94.2
18:16:53,0.4,14.1
18:16:54,2.8,79.8
18:16:55,1.0,37.5
18:16:56,2.4,66.5
18:16:57,1.0,34.4
18:16:58,2.2,53.2
18:16:59,1.0,38.6
18:17:00,1.8,38.4
18:17:01,1.9,74.9
18:17:02,1.5,25.1
18:17:03,0.9,39.6
18:17:04,1.2,13.3
18:17:05,1.5,60.0
18:17:06,1.1,2.9
18:17:07,2.0,86.5
18:17:08,0.5,0.0
18:17:09,2.8,93.7
18:17:10,0.0,0.0
18:17:11,3.7,111.5
18:17:12,0.0,0.0
18:17:13,3.8,115.1
18:17:14,0.0,0.0
18:17:15,4.0,125.3
18:17:16,0.0,0.0
18:17:17,4.6,133.7
18:17:18,0.5,10.9
18:17:19,3.3,103.8
18:17:20,0.7,14.0
18:17:21,3.9,100.8
18:17:22,0.5,11.3
18:17:23,3.3,99.0
18:17:24,0.4,17.6
18:17:25,2.9,89.2
18:17:26,0.2,8.3
18:17:27,3.6,104.0
18:17:28,0.5,9.1
18:17:29,2.5,54.6
18:17:30,0.3,5.8
18:17:31,3.3,89.3
18:17:32,0.5,11.0
18:17:33,2.7,71.1
18:17:34,0.4,7.5
18:17:35,3.2,84.4
18:17:36,0.7,15.2
18:17:37,2.7,64.1
18:17:38,0.5,9.0
