      Time     KB/s_in    KB/s_out
  18:18:00         0.9         3.2
  18:18:01        15.1       602.7
  18:18:02        15.5       725.3
  18:18:03         7.8       263.9
  18:18:04         0.0         0.0
  18:18:05        12.0       336.4
  18:18:06         1.0         2.3
  18:18:07        18.8       595.7
  18:18:08         6.0       251.0
  18:18:09        16.4       481.7
  18:18:10         1.4         2.2
  18:18:11        18.1       523.5
  18:18:12         8.1       350.6
  18:18:13        16.9       439.3
  18:18:14         1.4         3.3
  18:18:15        18.9       499.0
  18:18:16         8.3       355.4
  18:18:17        18.5       459.2
  18:18:18         2.0         4.4
  18:18:19        18.1       445.2
  18:18:20        18.7       773.8
  18:18:21        19.2       436.8
  18:18:22        18.6       795.4
  18:18:23        19.1       411.3
  18:18:24        14.0       521.7
  18:18:25        18.5       385.2
  18:18:26        11.0       354.2
  18:18:27        18.3       377.4
  18:18:28        11.4       476.8
  18:18:29        18.6       345.4
  18:18:30         9.8       295.7
  18:18:31        15.4       187.3
  18:18:32        11.8       446.3
  18:18:33        11.5       402.0
  18:18:34        12.2       410.7
  18:18:35        12.5       427.0
  18:18:36        12.9       427.9
  18:18:37        10.2       341.1
  18:18:38        11.8       412.9
  18:18:39         7.1       225.7
  18:18:40         8.8       309.3
  18:18:41         3.6        88.6
  18:18:42         8.9       329.2
  18:18:43         2.7        75.3
  18:18:44         8.9       346.5
  18:18:45         2.3        60.6
  18:18:46        10.0       383.5
  18:18:47         2.0        45.8
  18:18:48        11.9       440.4
  18:18:49         2.8        72.3
  18:18:50        11.4       420.3
  18:18:51         1.3        13.3
  18:18:52        10.6       409.3
  18:18:53         1.9        30.1
  18:18:54        10.8       421.5
  18:18:55         0.5         0.1
  18:18:56        11.7       456.7
  18:18:57         0.7        23.1
  18:18:58        11.8       412.3
  18:18:59         1.5        54.5
  18:19:00        11.0       394.7
  18:19:01         2.7        92.0
  18:19:02         8.7       298.7
  18:19:03         0.0         0.0
  18:19:04        10.7       376.8
  18:19:05         0.1         2.8
  18:19:06        10.1       351.6
  18:19:07         1.2        39.4
  18:19:08         9.8       338.3
  18:19:09         2.6        90.5
  18:19:10         9.6       328.0
  18:19:11         3.3       122.1
  18:19:12         9.2       329.6
  18:19:13         2.8       106.9
  18:19:14        12.4       325.0
  18:19:15        13.3       166.0
  18:19:16        13.5       143.8
  18:19:17        15.2        36.1
  18:19:18        13.1       287.9
  18:19:19        12.7        68.9
  18:19:20         9.0       212.7
  18:19:21         2.6         5.5
  18:19:22         5.8       205.7
  18:19:23         0.0         0.0
  18:19:24         6.0       213.5
  18:19:25         0.0         0.0
  18:19:26         4.9       177.4
  18:19:27         0.4        16.7
  18:19:28         5.8       212.7
  18:19:29         0.3        13.0
  18:19:30         3.9       124.4
  18:19:31         0.0         0.0
  18:19:32         5.3       189.2
  18:19:33         0.3         9.7
  18:19:34         4.9       167.0
  18:19:35         0.3         9.4
  18:19:36         4.0       130.0
  18:19:37         1.2        40.6
  18:19:38         4.1       134.1
  18:19:39         0.0         0.0
  18:19:40         3.8       124.1
  18:19:41         1.1        48.3
  18:19:42         3.3       106.4
  18:19:43         2.9       115.8
  18:19:44         3.0        93.0
  18:19:45         2.2        87.1
  18:19:46         2.7        78.3
  18:19:47         2.4       109.0
  18:19:48         2.5        63.6
  18:19:49         3.4       132.2
  18:19:50         2.2        53.2
  18:19:51         3.8       151.4
  18:19:52         1.8        38.4
  18:19:53         4.0       165.7
  18:19:54         1.6        28.1
  18:19:55         4.5       175.8
  18:19:56         1.2        10.3
  18:19:57         4.3       193.1
  18:19:58         0.6         2.9
  18:19:59         5.6       212.9
  18:20:00         0.0         0.0
  18:20:01         5.8       209.1
  18:20:02         0.0         0.0
  18:20:03         2.8        74.1
  18:20:04         0.0         0.0
  18:20:05         3.3        99.9
  18:20:06         0.0         0.0
  18:20:07         5.8       203.9
  18:20:08         0.0         0.0
  18:20:09         6.5       229.8
  18:20:10         0.0         0.0
  18:20:11         5.6       209.8
  18:20:12         0.0         0.0
  18:20:13         6.1       214.1
  18:20:14         0.0         0.0
  18:20:15         6.0       211.5
  18:20:16         0.0         0.0
  18:20:17         5.9       206.4
  18:20:18         0.1         0.1
  18:20:19         6.1       209.2
  18:20:20         0.0         0.0
  18:20:21         6.2       226.0
  18:20:22         0.0         0.0
  18:20:23         3.8       123.7
  18:20:24         0.0         0.0
  18:20:25         4.2       137.6
  18:20:26         0.0         0.0
  18:20:27         5.4       190.0
  18:20:28         0.0         0.0
  18:20:29         4.0       127.3
  18:20:30         0.0         0.0
  18:20:31         5.9       215.0
  18:20:32         0.0         0.0
  18:20:33         5.6       193.6
  18:20:34         1.0        37.0
  18:20:35         5.2       190.6
  18:20:36         0.8        33.5
  18:20:37         4.7       162.5
  18:20:38         7.6       273.2
  18:20:39         4.2       137.0
  18:20:40         1.3        53.4
  18:20:41         3.9       126.8
  18:20:42         1.5        64.1
  18:20:43         3.5       113.8
  18:20:44         3.0       121.8
  18:20:45         3.2        99.0
  18:20:46         3.0       125.1
  18:20:47         2.9        81.2
  18:20:48         3.8       153.2
  18:20:49         2.5        70.9
  18:20:50         3.6       149.2
  18:20:51         2.2        56.1
  18:20:52         3.5       145.1
  18:20:53         1.9        42.8
  18:20:54         4.0       165.1
  18:20:55         1.6        28.1
  18:20:56         4.4       179.4
  18:20:57         1.3        14.8
  18:20:58         4.2       175.6
  18:20:59         1.1         2.9
  18:21:00         5.1       224.4
  18:21:01         0.5         0.0
  18:21:02         3.5       123.4
  18:21:03         0.1         0.1
  18:21:04         4.5       144.2
  18:21:05         0.0         0.0
  18:21:06         4.9       177.2
  18:21:07         0.0         0.0
  18:21:08         5.2       191.7
  18:21:09         0.0         0.0
  18:21:10         5.4       195.6
  18:21:11         0.0         0.0
  18:21:12         5.6       206.5
  18:21:13         0.0         0.0
  18:21:14         5.9       220.5
  18:21:15         0.0         0.0
  18:21:16         3.6       119.6
  18:21:17         0.0         0.0
  18:21:18         4.5       156.6
  18:21:19         0.0         0.0
