      Time     KB/s_in    KB/s_out
  02:06:32         0.0         0.0
  02:06:33         0.0         0.4
  02:06:34         0.0         0.0
  02:06:35         0.0         0.0
  02:06:36         0.0         0.0
  02:06:37         0.0         0.2
  02:06:38         0.0         0.1
  02:06:39         0.1         0.1
  02:06:40         0.0         0.0
  02:06:41         0.0         0.4
  02:06:42         0.0         0.0
  02:06:43         0.0         0.0
  02:06:44         0.0         0.0
  02:06:45         0.0         0.0
  02:06:46         0.0         0.0
  02:06:47         0.0         0.0
  02:06:48         0.0         0.0
  02:06:49         0.0         0.0
  02:06:50         0.0         0.0
  02:06:51         0.0         0.1
  02:06:52         0.0         0.1
  02:06:53         0.0         0.0
  02:06:54         0.0         0.1
  02:06:55         0.0         0.0
  02:06:56         0.0         0.1
  02:06:57         0.0         0.4
  02:06:58         0.1         0.0
  02:06:59         0.0         0.0
  02:07:00         0.0         0.0
  02:07:01         0.0         0.0
  02:07:02        15.8       618.6
  02:07:03        15.5       666.4
  02:07:04        17.8       701.8
  02:07:05        15.8       687.3
  02:07:06        11.3       427.0
  02:07:07        11.7       468.4
  02:07:08        14.5       571.7
  02:07:09        17.1       727.0
  02:07:10        12.8       522.9
  02:07:11        17.6       734.3
  02:07:12        12.7       490.4
  02:07:13        17.6       749.0
  02:07:14        12.8       496.5
  02:07:15        17.9       752.0
  02:07:16        11.9       475.8
  02:07:17        18.2       771.2
  02:07:18        18.0       730.0
  02:07:19        17.5       774.2
  02:07:20        17.6       721.1
  02:07:21        17.8       787.5
  02:07:22        11.3       440.3
  02:07:23        15.5       610.2
  02:07:24        11.1       431.4
  02:07:25        19.2       809.9
  02:07:26        10.6       425.6
  02:07:27        19.5       830.5
  02:07:28        15.5       635.5
  02:07:29        19.0       845.8
  02:07:30        17.4       716.7
  02:07:31        18.7       833.5
  02:07:32        11.1       433.0
  02:07:33        19.3       805.5
  02:07:34        16.0       639.9
  02:07:35        20.0       853.9
  02:07:36        15.4       627.9
  02:07:37        20.2       853.9
  02:07:38        16.5       702.0
  02:07:39        19.2       855.6
  02:07:40        15.1       631.0
  02:07:41        19.6       855.5
  02:07:42        15.2       617.8
  02:07:43        19.6       854.1
  02:07:44        15.5       639.7
  02:07:45        19.6       853.9
  02:07:46        15.5       631.0
  02:07:47        19.8       855.5
  02:07:48        15.6       641.3
  02:07:49        19.5       854.0
  02:07:50        14.9       629.5
  02:07:51        20.2       855.6
  02:07:52        15.5       635.4
  02:07:53        19.9       854.0
  02:07:54        15.5       636.8
  02:07:55        20.0       854.1
  02:07:56        15.2       636.8
  02:07:57        19.8       854.2
  02:07:58        14.9       630.9
  02:07:59        19.9       855.7
  02:08:00        15.0       634.0
  02:08:01        19.6       852.5
  02:08:02        18.3       780.0
  02:08:03        19.2       854.1
  02:08:04        17.7       755.1
  02:08:05        19.5       855.3
  02:08:06        15.4       657.4
  02:08:07        19.9       833.3
  02:08:08        15.5       667.8
  02:08:09        19.1       805.3
  02:08:10        16.1       691.5
  02:08:11        19.6       833.4
  02:08:12        16.3       705.0
  02:08:13        19.5       820.3
  02:08:14        16.6       715.3
  02:08:15        19.1       803.6
  02:08:16        16.7       722.7
  02:08:17        18.7       798.0
  02:08:18        17.0       737.4
  02:08:19        18.4       786.1
  02:08:20        17.2       753.7
  02:08:21        18.4       762.6
  02:08:22        17.8       781.7
  02:08:23        19.5       853.9
  02:08:24        17.7       781.9
  02:08:25        20.0       852.6
  02:08:26        18.0       793.5
  02:08:27        19.2       792.0
  02:08:28        18.1       802.4
  02:08:29        19.9       836.5
  02:08:30        18.4       817.0
  02:08:31        17.5       700.4
  02:08:32        18.7       833.5
  02:08:33        16.9       671.4
  02:08:34        18.9       845.2
  02:08:35        17.0       669.2
  02:08:36        19.1       852.6
  02:08:37        16.4       661.8
  02:08:38        19.1       853.8
  02:08:39        16.6       667.8
  02:08:40        19.2       854.0
  02:08:41        16.0       669.2
  02:08:42        19.1       854.1
  02:08:43        16.4       662.0
  02:08:44        19.5       853.9
  02:08:45        16.2       663.4
  02:08:46        19.3       855.5
  02:08:47        16.8       673.6
  02:08:48        19.3       855.3
  02:08:49        16.1       669.4
  02:08:50        19.5       854.1
  02:08:51        15.9       660.3
  02:08:52        19.8       855.5
  02:08:53        18.0       728.3
  02:08:54        19.3       854.2
  02:08:55        15.7       663.6
  02:08:56        19.6       854.0
  02:08:57        15.8       672.4
  02:08:58        19.8       854.2
  02:08:59        17.6       740.3
  02:09:00        19.4       854.0
  02:09:01        16.1       673.8
  02:09:02        20.0       854.1
  02:09:03        18.6       789.1
  02:09:04        19.1       854.2
  02:09:05        18.5       781.8
  02:09:06        19.2       854.2
  02:09:07        17.7       755.2
  02:09:08        19.8       854.0
  02:09:09        17.4       741.7
  02:09:10        19.6       854.1
  02:09:11        15.9       670.7
  02:09:12        20.0       845.2
  02:09:13        15.9       676.7
  02:09:14        19.6       836.2
  02:09:15        16.0       690.0
  02:09:16        19.0       821.7
  02:09:17        18.5       794.9
  02:09:18        19.4       853.8
  02:09:19        17.4       749.3
  02:09:20        19.9       851.0
  02:09:21        16.7       726.9
  02:09:22        18.5       790.4
  02:09:23        16.9       735.9
  02:09:24        18.6       783.2
  02:09:25        17.1       750.7
  02:09:26        19.0       769.8
  02:09:27        17.7       765.1
  02:09:28        17.1       689.9
  02:09:29        18.4       809.7
  02:09:30        19.3       839.3
  02:09:31        18.0       793.4
  02:09:32         7.7       259.4
  02:09:33         0.0         0.0
  02:09:34         0.0         0.0
  02:09:35         0.0         0.0
  02:09:36         0.0         0.0
  02:09:37         0.0         0.0
  02:09:38         0.0         0.0
  02:09:39         0.0         0.0
  02:09:40         0.0         0.0
  02:09:41         0.0         0.0
  02:09:42         0.0         0.0
  02:09:43         0.0         0.0
  02:09:44         0.0         0.0
  02:09:45         0.0         0.0
  02:09:46         0.0         0.0
  02:09:47         0.0         0.0
  02:09:48         0.0         0.0
  02:09:49         0.0         0.0
  02:09:50         0.0         0.0
  02:09:51         0.0         0.0
