Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,808.0,0,0.0,4.31,1.068
2,4688.0,1,0.0,4.225,1.0525
3,4764.0,0,0.0,4.15,1.037
4,3308.0,1,0.0,4.12,1.033
5,4674.0,0,0.0,4.08,1.02
6,4718.0,0,0.0,4.045,1.013
7,3526.0,0,0.0,4.025,1.009
8,3230.0,0,0.0,4.01,1.004
9,4406.0,0,0.0,4.0,1.004
10,3084.0,0,0.0,4.0,1.0
11,4778.0,0,0.0,4.0,1.0
12,4976.0,0,0.0,4.0,1.0
13,4616.0,0,0.0,4.0,1.0
14,5090.0,0,0.0,4.0,1.0
15,4480.0,0,0.0,4.0,1.0
16,4928.0,0,0.0,4.0,1.0
17,4654.0,0,0.0,4.0,1.0
18,3150.0,1,0.0,4.0,1.0
19,3136.0,0,0.0,4.0,1.0
20,3692.0,0,0.0,4.0,1.0
21,1756.0,0,0.0,4.0,1.0
22,1750.0,0,0.0,4.0,1.0
23,1650.0,0,0.0,4.0,1.0
24,1866.0,0,0.0,4.0,1.0
25,1816.0,0,0.0,4.0,1.0
26,1894.0,0,0.0,4.0,1.0
27,1156.0,0,0.0,4.0,1.0
28,1474.0,0,0.0,4.0,1.0
29,682.0,0,0.0,4.0,1.0
30,738.0,0,0.0,4.0,1.0
31,752.0,0,0.0,4.0,1.0
32,796.0,0,0.0,4.0,1.0
33,850.0,0,0.0,4.005,1.0
34,456.0,0,0.0,4.005,1.0
35,600.0,0,0.0,4.01,1.0
36,790.0,0,0.0,4.01,1.0
37,792.0,0,0.0,4.01,1.0
38,824.0,0,0.0,4.01,1.0
39,746.0,0,0.0,4.01,1.0
40,872.0,0,0.0,4.01,1.0
41,474.0,0,0.0,4.01,1.0
42,766.0,0,0.0,4.01,1.0
43,678.0,0,0.0,4.01,1.0
44,656.0,0,0.0,4.01,1.0
45,512.0,0,0.0,4.01,1.0
46,662.0,0,0.0,4.01,1.0
47,858.0,0,0.0,4.01,1.0
48,692.0,0,0.0,4.01,1.0
49,720.0,0,0.0,4.01,1.0
50,754.0,0,0.0,4.01,1.0
51,788.0,0,0.0,4.01,1.0
52,786.0,0,0.0,4.01,1.0
53,786.0,0,0.0,4.01,1.0
54,784.0,0,0.0,4.01,1.0
55,832.0,0,0.0,4.01,1.0
56,804.0,0,0.0,4.01,1.0
57,276.0,0,0.0,4.01,1.0
58,378.0,0,0.0,4.01,1.0
59,786.0,0,0.0,4.01,1.0
60,888.0,0,0.0,4.01,1.0
61,808.0,0,0.0,4.01,1.0
62,826.0,0,0.0,4.01,1.0
63,816.0,0,0.0,4.01,1.0
64,796.0,0,0.0,4.01,1.0
65,806.0,0,0.0,4.01,1.0
66,872.0,0,0.0,4.01,1.0
67,472.0,0,0.0,4.01,1.0
68,526.0,0,0.0,4.01,1.0
69,732.0,0,0.0,4.01,1.0
70,486.0,0,0.0,4.01,1.002
71,828.0,0,0.0,4.005,1.004
72,890.0,0,0.0,4.0,1.002
73,864.0,0,0.0,4.0,1.0
74,912.0,0,0.0,4.0,1.0
75,782.0,0,0.0,4.0,1.0
76,732.0,0,0.0,4.0,1.0
77,734.0,0,0.0,4.0,1.0
78,910.0,0,0.0,4.0,1.0
79,864.0,0,0.0,4.0,1.0
80,906.0,0,0.0,4.0,1.0
81,850.0,0,0.0,4.0,1.0
82,774.0,0,0.0,4.0,1.0
83,802.0,0,0.0,4.0,1.0
84,800.0,0,0.0,4.0,1.0
85,732.0,0,0.0,4.0,1.0
86,878.0,0,0.0,4.0,1.0
87,470.0,0,0.0,4.0,1.0
88,550.0,0,0.0,4.0,1.0
89,682.0,0,0.0,4.0,1.0
90,738.0,0,0.0,4.0,1.0
91,752.0,0,0.0,4.0,1.0
