      Time     KB/s_in    KB/s_out
  13:03:26         0.9         3.2
  13:03:27        15.8       635.4
  13:03:28        18.1       693.4
  13:03:29        19.4       587.2
  13:03:30        10.8       514.2
  13:03:31        14.8       637.0
  13:03:32        11.3       513.5
  13:03:33        14.1       604.6
  13:03:34         7.1       323.7
  13:03:35        13.8       588.4
  13:03:36        13.0       596.1
  13:03:37        13.3       567.5
  13:03:38         4.8       220.7
  13:03:39        12.7       542.3
  13:03:40         9.6       436.9
  13:03:41        12.4       524.5
  13:03:42        15.8       720.8
  13:03:43        11.9       499.3
  13:03:44         7.2       322.7
  13:03:45        11.3       472.8
  13:03:46        13.0       597.7
  13:03:47        10.9       453.7
  13:03:48        10.8       490.9
  13:03:49        10.1       422.7
  13:03:50        15.3       699.8
  13:03:51         9.8       406.8
  13:03:52        16.6       757.5
  13:03:53         9.1       375.4
  13:03:54        17.5       800.1
  13:03:55         8.6       353.2
  13:03:56        13.0       527.7
  13:03:57        10.9       385.3
  13:03:58        12.2       427.2
  13:03:59        12.4       428.6
  13:04:00        12.0       406.1
  13:04:01        12.6       428.6
  13:04:02        12.1       408.7
  13:04:03         5.4       166.3
  13:04:04         1.6        48.3
  13:04:05         3.8       118.2
  13:04:06        11.2       428.5
  13:04:07        11.1       370.7
  13:04:08        10.8       386.6
  13:04:09         3.3        93.1
  13:04:10         9.1       329.4
  13:04:11         2.8        78.3
  13:04:12         9.5       345.6
  13:04:13         2.4        63.5
  13:04:14         9.8       356.4
  13:04:15         2.2        51.8
  13:04:16        10.4       390.1
  13:04:17         1.8        35.6
  13:04:18        11.3       430.0
  13:04:19         1.9        33.6
  13:04:20        11.1       428.6
  13:04:21         2.5        59.1
  13:04:22         7.3       274.9
  13:04:23         1.6         4.2
  13:04:24         3.5       134.8
  13:04:25         0.5         0.2
  13:04:26         5.1       190.0
  13:04:27         0.0         0.0
  13:04:28         4.1       127.3
  13:04:29         0.1         0.1
  13:04:30         6.5       215.0
  13:04:31         0.1         0.1
  13:04:32         6.7       230.6
  13:04:33         0.0         0.0
  13:04:34         6.8       224.1
  13:04:35         0.0         0.0
  13:04:36         7.0       236.0
  13:04:37         0.0         0.0
  13:04:38         6.2       202.7
  13:04:39         0.0         0.0
  13:04:40         5.8       190.3
  13:04:41         0.0         0.0
  13:04:42         5.9       190.8
  13:04:43         0.0         0.0
  13:04:44         7.2       235.5
  13:04:45         0.0         0.0
  13:04:46         6.5       224.2
  13:04:47         0.0         0.0
  13:04:48         7.0       234.4
  13:04:49         0.0         0.0
  13:04:50         6.6       220.1
  13:04:51         0.0         0.0
  13:04:52         6.2       201.2
  13:04:53         0.0         0.0
  13:04:54         6.3       207.9
  13:04:55         0.0         0.0
  13:04:56         6.3       207.5
  13:04:57         0.0         0.0
  13:04:58         5.8       190.3
  13:04:59         0.0         0.0
  13:05:00         5.4       181.8
  13:05:01         1.4        45.7
  13:05:02         4.0       123.4
  13:05:03         0.0         0.0
  13:05:04         4.7       144.0
  13:05:05         0.0         0.0
  13:05:06         4.5       143.3
  13:05:07         1.0        33.9
  13:05:08         4.2       132.9
  13:05:09         1.5        58.7
  13:05:10         3.6       115.2
  13:05:11         2.3        80.2
  13:05:12         3.4       102.0
  13:05:13         2.9       104.4
  13:05:14         3.1        88.7
  13:05:15         3.5       131.9
  13:05:16         2.7        75.4
  13:05:17         1.2        44.4
  13:05:18         2.3        60.6
  13:05:19         2.6        95.9
  13:05:20         2.0        45.8
  13:05:21         4.2       159.3
  13:05:22         1.8        36.9
  13:05:23         4.6       168.9
  13:05:25         1.5        25.1
  13:05:26         4.8       188.4
  13:05:27         1.3        13.3
  13:05:28         4.6       181.0
  13:05:29         1.1         2.9
  13:05:30         5.7       222.9
  13:05:31         0.5         0.0
  13:05:32         3.6       124.4
  13:05:33         0.1         0.1
  13:05:34        10.6       364.1
  13:05:35         0.2         8.2
  13:05:36         4.9       152.7
  13:05:37         0.5        18.3
  13:05:38         4.0       127.7
  13:05:39         0.2         6.7
  13:05:40         4.7       155.8
  13:05:41         0.4        16.8
  13:05:42         6.0       204.6
  13:05:43         0.4        17.5
  13:05:44         5.1       169.8
  13:05:45         0.3        10.3
  13:05:46         5.1       169.6
  13:05:47         0.4        17.7
  13:05:48         5.8       187.1
  13:05:49         0.2         8.7
  13:05:50         5.4       176.5
  13:05:51         0.6        28.2
  13:05:52         5.7       184.6
  13:05:53         0.5        19.6
  13:05:54         5.5       186.1
  13:05:55         0.5        18.0
  13:05:56         5.6       185.0
  13:05:57         0.5        18.5
  13:05:58         6.1       200.5
  13:05:59         0.4        15.2
  13:06:00         5.7       186.5
  13:06:01         0.5        22.3
  13:06:02         2.7        72.7
  13:06:03         0.1         1.3
  13:06:04         2.9        83.1
  13:06:05         0.5        16.8
  13:06:06         5.6       187.4
  13:06:07         0.5        16.6
  13:06:08         5.4       178.8
  13:06:09         1.5        51.1
  13:06:10         5.1       165.5
  13:06:11         1.3        44.3
  13:06:12         4.8       153.7
  13:06:13         1.7        60.6
  13:06:14         4.3       138.9
  13:06:15         2.1        72.6
  13:06:16         4.0       127.1
  13:06:17         1.9        79.4
  13:06:18         3.7       113.8
  13:06:19         2.6        95.5
  13:06:20         3.3        97.5
  13:06:21         3.3       128.4
  13:06:22         3.0        85.7
  13:06:23         1.0        38.0
  13:06:24         2.6        70.9
  13:06:25         1.8        66.8
  13:06:26         2.2        56.1
  13:06:27         3.5       133.8
  13:06:28         2.3        62.0
  13:06:29         1.4        65.3
  13:06:30         2.2        60.6
  13:06:31         3.4       154.3
  13:06:32         1.7        36.9
  13:06:33         4.4       193.7
  13:06:34         1.3        11.8
  13:06:35         4.6       212.3
  13:06:36         0.5         2.9
  13:06:37         5.6       232.9
  13:06:38         0.0         0.0
  13:06:39         5.4       202.7
  13:06:40         0.0         0.0
  13:06:41         5.1       190.3
  13:06:42         0.0         0.0
  13:06:43         5.2       190.7
  13:06:44         0.0         0.0
  13:06:45         6.1       235.5
  13:06:46         0.0         0.0
