time_hms,kb_per_sec_in,kb_per_sec_out
12:04:38,0.0,0.0
12:04:39,0.0,0.2
12:04:40,0.0,0.0
12:04:41,0.0,0.0
12:04:42,0.0,0.0
12:04:43,0.1,0.1
12:04:44,0.0,0.2
12:04:45,0.0,0.1
12:04:46,0.0,0.0
12:04:47,0.0,0.2
12:04:48,0.0,0.0
12:04:49,0.0,0.0
12:04:50,0.0,0.0
12:04:51,0.0,0.0
12:04:52,0.0,0.0
12:04:53,0.0,0.0
12:04:54,0.0,0.0
12:04:55,0.0,0.0
12:04:56,0.0,0.0
12:04:57,0.0,0.0
12:04:58,0.0,0.1
12:04:59,0.1,0.0
12:05:00,0.0,0.1
12:05:01,0.0,0.1
12:05:02,0.0,0.1
12:05:03,0.0,0.2
12:05:04,0.0,0.0
12:05:05,0.0,0.0
12:05:06,0.0,0.0
12:05:07,0.0,0.0
12:05:08,8.4,306.6
12:05:09,9.8,433.0
12:05:10,10.7,456.7
12:05:11,9.6,431.5
12:05:12,10.5,466.9
12:05:13,11.7,521.4
12:05:14,10.6,475.8
12:05:15,17.2,771.1
12:05:16,12.2,545.2
12:05:17,19.1,854.2
12:05:18,12.0,535.0
12:05:19,19.1,855.7
12:05:20,11.6,518.8
12:05:21,17.1,767.0
12:05:22,12.0,536.4
12:05:23,16.8,752.3
12:05:24,12.3,549.8
12:05:25,15.4,688.7
12:05:26,12.7,569.0
12:05:27,15.1,675.4
12:05:28,14.2,634.1
12:05:29,12.9,575.1
12:05:30,13.3,592.7
12:05:31,18.2,811.5
12:05:32,13.6,607.5
12:05:33,15.0,671.0
12:05:34,15.2,678.4
12:05:35,19.1,854.6
12:05:36,15.3,684.3
12:05:37,19.1,854.4
12:05:38,16.1,719.8
12:05:39,19.1,854.4
12:05:40,15.2,682.7
12:05:41,19.1,854.1
12:05:42,15.3,684.1
12:05:43,18.0,803.8
12:05:44,15.6,698.6
12:05:45,18.6,830.5
12:05:46,16.0,716.4
12:05:47,18.0,803.7
12:05:48,16.4,733.0
12:05:49,17.5,781.6
12:05:50,16.7,746.1
12:05:51,16.9,757.9
12:05:52,17.2,767.0
12:05:53,16.4,737.3
12:05:54,17.5,781.6
12:05:55,16.2,724.0
