Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,410.0,0,0.0,4.4,1.0765
2,4680.0,0,0.0,4.29,1.063
3,4674.0,1,0.0,4.183333333333334,1.0466666666666666
4,4718.0,0,0.0,4.11,1.027
5,3526.0,0,0.0,4.07,1.02
6,3230.0,0,0.0,4.036666666666666,1.0096666666666667
7,4406.0,0,0.0,4.02,1.008
8,3084.0,0,0.0,4.006666666666667,1.004
9,4778.0,0,0.0,4.0,1.002
10,4976.0,0,0.0,4.0,1.0
11,4616.0,0,0.0,4.0,1.0
12,3090.0,1,0.0,4.0,1.0
13,4480.0,1,0.0,4.0,1.0
14,3138.0,1,0.0,4.0,1.0
15,4654.0,1,0.0,4.0,1.0
16,3150.0,1,0.0,4.0,1.0
17,3780.0,1,0.0,4.0,1.0
18,3692.0,0,0.0,4.0,1.0
19,1756.0,2,0.0,4.0,1.0
20,1750.0,0,0.0,4.0,1.0
21,1650.0,0,0.0,4.0,1.0
22,1866.0,0,0.0,4.0,1.0
23,732.0,0,0.0,4.0,1.0
24,878.0,0,0.0,4.0,1.0
25,1156.0,1,0.0,4.0,1.0
26,550.0,1,0.0,4.0,1.0
27,682.0,0,0.0,4.0,1.0
28,738.0,0,0.0,4.0,1.0
29,752.0,0,0.0,4.0,1.0
30,796.0,0,0.0,4.0,1.0
31,850.0,0,0.0,4.0,1.0
32,1202.0,0,0.0,4.0,1.0
33,1234.0,1,0.0,4.0,1.0
34,1640.0,0,0.0,4.0,1.0
35,1638.0,0,0.0,4.003333333333333,1.0
36,1824.0,0,0.0,4.01,1.0
37,1806.0,0,0.0,4.005,1.0
38,1948.0,0,0.0,4.01,1.0
39,1182.0,0,0.0,4.01,1.0
40,766.0,0,0.0,4.01,1.0
41,678.0,1,0.0,4.01,1.0
42,656.0,0,0.0,4.01,1.0
43,512.0,0,0.0,4.01,1.0
44,662.0,0,0.0,4.01,1.0
45,858.0,0,0.0,4.01,1.0
46,692.0,0,0.0,4.01,1.0
47,720.0,0,0.0,4.01,1.0
48,754.0,0,0.0,4.01,1.0
49,788.0,0,0.0,4.01,1.0
50,786.0,0,0.0,4.01,1.0
51,786.0,0,0.0,4.01,1.0
52,784.0,0,0.0,4.01,1.0
53,832.0,0,0.0,4.01,1.0
54,804.0,0,0.0,4.01,1.0
55,276.0,0,0.0,4.01,1.0
56,378.0,0,0.0,4.01,1.0
57,786.0,0,0.0,4.01,1.0
58,888.0,0,0.0,4.01,1.0
59,808.0,0,0.0,4.01,1.0
60,826.0,0,0.0,4.01,1.0
61,816.0,0,0.0,4.01,1.0
62,796.0,0,0.0,4.01,1.0
63,806.0,0,0.0,4.01,1.0
64,872.0,0,0.0,4.01,1.0
65,472.0,0,0.0,4.01,1.0
66,526.0,0,0.0,4.01,1.0
67,732.0,0,0.0,4.01,1.0
68,486.0,0,0.0,4.01,1.0
69,828.0,0,0.0,4.01,1.0
70,890.0,0,0.0,4.01,1.0
71,864.0,0,0.0,4.01,1.0
72,912.0,0,0.0,4.01,1.0
73,782.0,0,0.0,4.01,1.0
74,732.0,0,0.0,4.01,1.004
75,910.0,0,0.0,4.005,1.004
76,864.0,0,0.0,4.0,1.002
77,906.0,0,0.0,4.0,1.0
78,850.0,0,0.0,4.0,1.0
79,774.0,0,0.0,4.0,1.0
80,802.0,0,0.0,4.0,1.0
81,1866.0,0,0.0,4.0,1.0
82,1816.0,0,0.0,4.0,1.0
83,1894.0,0,0.0,4.0,1.0
84,1156.0,0,0.0,4.0,1.0
85,1474.0,0,0.0,4.0,1.0
86,682.0,0,0.0,4.0,1.0
87,738.0,1,0.0,4.0,1.0
88,752.0,0,0.0,4.0,1.0
89,796.0,0,0.0,4.0,1.0
90,850.0,0,0.0,4.0,1.0
