      Time     KB/s_in    KB/s_out
  16:57:04         0.0         0.0
  16:57:05         0.0         0.4
  16:57:06         0.0         0.0
  16:57:07         0.0         0.0
  16:57:08         0.0         0.0
  16:57:09         0.0         0.1
  16:57:10         0.0         0.1
  16:57:11         0.1         0.2
  16:57:12         0.0         0.0
  16:57:13         0.0         0.4
  16:57:14         0.0         0.0
  16:57:15         0.0         0.0
  16:57:16         0.0         0.0
  16:57:17         0.0         0.0
  16:57:18         0.0         0.0
  16:57:19         0.0         0.0
  16:57:20         0.0         0.0
  16:57:21         0.0         0.0
  16:57:22         0.0         0.0
  16:57:23         0.0         0.0
  16:57:24         0.0         0.0
  16:57:25         0.0         0.1
  16:57:26         0.0         0.1
  16:57:27         0.0         0.0
  16:57:28         0.1         0.1
  16:57:29         0.0         0.4
  16:57:30         0.0         0.1
  16:57:31         0.0         0.0
  16:57:32         0.0         0.0
  16:57:33         0.0         0.0
  16:57:34         8.6       279.4
  16:57:35        20.4       600.2
  16:57:36        18.0       429.8
  16:57:37        10.9       430.1
  16:57:38         7.9       433.1
  16:57:39         8.0       415.3
  16:57:40         7.4       431.5
  16:57:41        10.9       718.3
  16:57:42         8.4       430.0
  16:57:43        11.5       771.5
  16:57:44         8.2       424.0
  16:57:45        13.7       777.2
  16:57:46         9.3       453.5
  16:57:47        12.1       828.8
  16:57:48         7.8       403.4
  16:57:49        11.1       731.4
  16:57:50         8.2       431.5
  16:57:51        11.7       803.9
  16:57:52         7.8       428.5
  16:57:53        10.8       718.2
  16:57:54         8.5       435.9
  16:57:55        10.8       679.7
  16:57:57         8.1       458.1
  16:57:58        10.8       719.8
  16:57:59         8.6       471.4
  16:58:00        10.1       722.6
  16:58:01         8.8       487.6
  16:58:02         9.8       583.9
  16:58:03         9.7       583.7
  16:58:04        11.5       845.1
  16:58:05         9.8       566.0
  16:58:06        11.8       846.7
  16:58:07         9.3       542.3
  16:58:08        12.4       829.2
  16:58:09         9.0       557.1
  16:58:10        12.1       837.9
  16:58:11         9.3       567.5
  16:58:12        12.3       823.1
  16:58:13         9.9       573.3
  16:58:14        11.1       824.5
  16:58:15        10.0       592.4
  16:58:16        11.9       806.7
  16:58:17         9.6       617.4
  16:58:18        11.9       831.5
  16:58:19         9.0       588.2
  16:58:20        11.3       799.6
  16:58:21         9.7       611.8
  16:58:22        12.2       824.0
  16:58:23        10.4       644.1
  16:58:24        11.4       809.8
  16:58:25        10.0       657.7
  16:58:26        11.8       817.4
  16:58:27        10.8       663.6
  16:58:28        10.2       660.6
  16:58:29        10.4       669.5
  16:58:30        11.5       787.8
  16:58:31        10.1       693.1
  16:58:32        10.9       753.5
  16:58:33        11.8       704.8
  16:58:34        10.7       716.6
  16:58:35        11.0       725.6
  16:58:36        11.1       693.0
  16:58:37        10.8       728.5
  16:58:38        10.1       647.4
  16:58:39        10.9       753.8
  16:58:40         9.6       606.9
  16:58:41        11.2       755.3
  16:58:42        10.1       642.9
  16:58:43        11.1       775.9
  16:58:44         9.7       567.5
  16:58:45        10.8       789.2
  16:58:46         9.8       606.0
  16:58:47        11.2       809.9
  16:58:48         9.3       592.4
  16:58:49        12.9       818.6
  16:58:50         9.3       555.5
  16:58:51        12.0       823.0
  16:58:52         9.6       520.2
  16:58:53        11.6       839.4
  16:58:54         9.7       574.6
  16:58:55        11.8       855.3
  16:58:56         9.1       438.9
  16:58:57        11.0       755.2
  16:58:58         9.1       522.9
  16:58:59        11.7       843.6
  16:59:00         9.5       554.2
  16:59:01        11.8       843.8
  16:59:02        10.0       644.1
  16:59:03        11.9       846.6
  16:59:04        10.0       651.5
  16:59:05        11.8       790.3
  16:59:06         9.4       544.2
