      Time     KB/s_in    KB/s_out
  11:05:49         0.9         3.2
  11:05:50        17.6       656.0
  11:05:51        16.0       658.6
  11:05:52        15.2       652.8
  11:05:53        12.8       510.7
  11:05:54        16.5       661.9
  11:05:55        12.6       513.6
  11:05:56        16.1       639.8
  11:05:57        12.6       524.4
  11:05:58        16.0       605.4
  11:05:59        13.6       600.4
  11:06:00        13.7       583.6
  11:06:01        11.7       531.9
  11:06:02         8.0       317.3
  11:06:03         0.0         0.0
  11:06:04         9.5       329.7
  11:06:05         0.0         0.0
  11:06:06        12.7       494.7
  11:06:07        13.3       550.4
  11:06:08        13.5       466.4
  11:06:09         8.9       382.7
  11:06:10        14.6       460.8
  11:06:11        18.4       845.1
  11:06:12        13.7       443.4
  11:06:13         8.8       379.3
  11:06:14        11.2       405.2
  11:06:15        10.0       435.5
  11:06:16        13.8       407.0
  11:06:17        10.4       451.4
  11:06:18        11.9       358.0
  11:06:19        12.9       524.5
  11:06:20        11.8       412.5
  11:06:21        10.9       427.0
  11:06:22        11.7       428.6
  11:06:23        10.4       342.1
  11:06:24        15.2       176.7
  11:06:25        11.1       427.1
  11:06:26        13.7       285.0
  11:06:27         7.7       289.6
  11:06:28         4.3       132.8
  11:06:29         4.8       186.2
  11:06:30         3.6       119.4
  11:06:31         8.7       346.5
  11:06:32         3.7        95.4
  11:06:33         4.1       137.4
  11:06:34         3.3        94.3
  11:06:35         9.7       376.9
  11:06:36         4.1        81.4
  11:06:37         4.6       158.9
  11:06:38         2.7        70.7
  11:06:39         9.1       345.6
  11:06:40         5.0        59.6
  11:06:41         9.1       358.5
  11:06:42         3.3        41.5
  11:06:43         4.6       153.8
  11:06:44        13.2        53.9
  11:06:45        10.6       220.0
  11:06:46        14.3        51.0
  11:06:47        11.6       425.2
  11:06:48         1.3        12.7
  11:06:49         5.9       222.8
  11:06:50         1.1         2.9
  11:06:51         5.5       217.2
  11:06:52         0.0         0.1
  11:06:53        11.3       387.4
  11:06:54         0.5        18.9
  11:06:55         6.2       200.8
  11:06:56         0.2         6.7
  11:06:57         5.3       169.4
  11:06:58         0.6        21.0
  11:06:59         6.5       207.1
  11:07:01         0.6        20.6
  11:07:02         4.0       114.7
  11:07:03         0.5         8.8
  11:07:04         4.7       133.6
  11:07:05         0.5        10.6
  11:07:06         5.1       161.3
  11:07:07         0.4        16.0
  11:07:08         5.5       176.2
  11:07:09         0.4        15.5
  11:07:10         5.1       170.9
  11:07:11         0.6        24.6
  11:07:12         5.8       186.6
  11:07:13         0.5        19.9
  11:07:14         5.8       189.8
  11:07:15         0.8        30.8
  11:07:16         3.8       114.2
  11:07:17         0.2         5.4
  11:07:18         4.5       137.8
  11:07:19         0.5        18.8
  11:07:20         5.6       180.8
  11:07:21         0.7        24.2
  11:07:22         5.7       187.3
  11:07:23         0.5        18.5
  11:07:24         5.7       184.8
  11:07:25         0.8        28.7
  11:07:26         5.6       180.3
  11:07:27         0.4        13.7
  11:07:28         5.8       190.4
  11:07:29         1.0        35.4
  11:07:30         3.5       113.5
  11:07:31         0.3        10.9
  11:07:32         5.3       165.3
  11:07:33         0.9        33.6
  11:07:34         4.9       153.4
  11:07:35         0.5        22.9
  11:07:36         4.2       137.2
  11:07:37         0.9        33.4
  11:07:38         3.9       123.9
  11:07:39         0.3        10.3
  11:07:40         3.6       106.1
  11:07:41         1.7        66.3
  11:07:42         3.3        94.4
  11:07:43         3.5       127.8
  11:07:44         3.0        82.5
  11:07:45         2.6        97.6
  11:07:46         2.6        69.2
  11:07:47         3.0       118.1
  11:07:48         2.4        57.4
  11:07:49         3.7       138.4
  11:07:50         1.9        42.6
  11:07:51         3.9       162.2
  11:07:52         1.6        29.4
  11:07:53         4.5       174.8
  11:07:54         1.3        13.0
  11:07:55         4.6       190.9
  11:07:56         1.1         2.9
  11:07:57         4.9       200.4
  11:07:58         0.5         0.0
  11:07:59         6.1       215.8
  11:08:00         0.0         0.0
  11:08:01         6.0       208.7
