      Time     KB/s_in    KB/s_out
  22:32:56         0.0         0.0
  22:32:57         0.0         0.4
  22:32:58         0.0         0.0
  22:32:59         0.0         0.0
  22:33:00         0.0         0.0
  22:33:01         0.0         0.1
  22:33:02         0.1         0.1
  22:33:03         0.0         0.1
  22:33:04         0.0         0.1
  22:33:05         0.0         0.4
  22:33:06         0.0         0.0
  22:33:07         0.0         0.0
  22:33:08         0.0         0.0
  22:33:09         0.0         0.0
  22:33:10         0.0         0.0
  22:33:11         0.0         0.0
  22:33:12         0.0         0.0
  22:33:13         0.0         0.0
  22:33:14         0.0         0.0
  22:33:15         0.0         0.0
  22:33:16         0.0         0.1
  22:33:17         0.1         0.0
  22:33:18         0.0         0.0
  22:33:19         0.0         0.1
  22:33:20         0.0         0.0
  22:33:21         0.0         0.6
  22:33:22         0.0         0.0
  22:33:23         0.0         0.1
  22:33:24         0.0         0.0
  22:33:25         0.0         0.0
  22:33:26        10.3       370.8
  22:33:27        21.8       582.7
  22:33:28        23.1       617.8
  22:33:29        18.0       617.8
  22:33:30        17.5       629.6
  22:33:31        12.9       607.0
  22:33:32         9.9       645.9
  22:33:33         9.3       639.6
  22:33:34         9.8       641.3
  22:33:35         9.6       641.1
  22:33:36         9.5       638.0
  22:33:37         9.3       642.9
  22:33:39         9.9       675.3
  22:33:40        12.0       855.4
  22:33:41        10.3       664.9
  22:33:42        11.8       851.1
  22:33:43         9.9       657.6
  22:33:44        10.1       638.2
  22:33:45        10.6       732.8
  22:33:46        11.7       854.1
  22:33:47        10.9       743.3
  22:33:48        12.1       851.3
  22:33:49        11.2       719.5
  22:33:50        12.0       854.2
  22:33:51        10.4       741.7
  22:33:52        11.4       854.0
  22:33:53         9.9       694.6
  22:33:54        11.9       796.8
  22:33:55        10.6       702.1
  22:33:56        11.1       799.4
  22:33:57        10.4       710.7
  22:33:58        10.6       793.7
  22:33:59        10.4       716.8
  22:34:00        10.8       767.1
  22:34:01        10.6       725.5
  22:34:02        10.6       765.5
  22:34:03        10.9       760.9
  22:34:04        11.9       852.5
  22:34:05        10.6       793.5
  22:34:06        12.0       855.5
  22:34:07        10.6       749.1
  22:34:08        11.5       820.3
  22:34:09        11.2       749.3
  22:34:10        12.0       840.7
  22:34:11        10.8       759.5
  22:34:12        11.5       825.9
  22:34:13        11.5       769.8
  22:34:14        11.1       796.6
  22:34:15        11.5       780.2
  22:34:16        10.9       801.0
  22:34:17        11.1       786.1
  22:34:18        10.7       801.1
  22:34:19        11.7       799.2
  22:34:20        11.1       789.1
  22:34:21        11.5       805.3
  22:34:22        10.8       783.0
  22:34:23        11.8       803.6
  22:34:24        11.1       820.1
  22:34:25        11.5       806.2
  22:34:26        10.7       801.0
  22:34:27        11.2       829.1
  22:34:28        10.4       778.5
  22:34:29        11.1       832.0
  22:34:30        10.6       778.8
  22:34:31        11.8       836.1
  22:34:32        10.8       749.1
  22:34:33        11.9       848.1
  22:34:34        10.7       731.4
  22:34:35        11.9       843.7
  22:34:36         9.6       635.5
  22:34:37        11.4       831.8
  22:34:38        11.1       743.4
  22:34:39        11.8       851.1
  22:34:40        10.9       734.4
  22:34:41        11.8       855.3
  22:34:42        10.8       734.4
  22:34:43        11.7       820.1
  22:34:44        10.2       728.6
  22:34:45        11.5       843.6
  22:34:46        10.0       741.5
  22:34:47        11.5       840.7
  22:34:48        10.9       728.7
  22:34:49        11.4       821.5
  22:34:50        10.6       725.4
  22:34:51        11.4       844.0
  22:34:52        10.1       729.9
  22:34:53        11.8       851.2
  22:34:54        10.6       735.8
  22:34:55        11.8       852.5
  22:34:56        10.8       715.0
  22:34:57        11.8       854.1
  22:34:58        10.7       764.4
  22:34:59        12.3       852.7
  22:35:00        11.0       737.4
  22:35:01        11.8       851.1
  22:35:02        11.1       780.2
  22:35:03        12.0       849.6
  22:35:04        11.6       780.3
  22:35:05        11.7       854.1
  22:35:06        10.7       755.4
  22:35:07        11.9       849.7
  22:35:08        10.8       759.5
  22:35:09        11.7       846.6
  22:35:10        10.8       759.2
  22:35:11        11.7       830.3
  22:35:12        10.9       766.7
  22:35:13        11.7       812.8
  22:35:14        11.4       781.6
  22:35:15        10.4       794.7
  22:35:16        11.2       780.4
  22:35:17        12.2       848.0
  22:35:18        11.3       794.9
  22:35:19        10.8       814.2
  22:35:20        11.1       800.9
  22:35:21        10.8       789.2
  22:35:22        11.4       811.3
  22:35:23        10.9       780.1
  22:35:24        11.9       818.6
  22:35:25        10.8       750.5
  22:35:26        11.5       827.4
  22:35:27        11.0       783.1
  22:35:28        11.2       835.0
  22:35:29        10.6       761.0
  22:35:30        11.3       842.4
  22:35:31        11.5       800.6
  22:35:32        11.7       851.0
  22:35:33        11.2       756.6
  22:35:34        11.7       851.3
  22:35:35        11.0       762.7
  22:35:36        11.9       853.8
  22:35:37        11.2       736.0
  22:35:38        11.8       845.0
  22:35:39        11.1       780.5
  22:35:40        11.6       852.9
  22:35:41        11.4       765.7
