      Time     KB/s_in    KB/s_out
  18:48:57         0.0         0.0
  18:48:58         0.0         0.2
  18:48:59         0.0         0.0
  18:49:00         0.0         0.0
  18:49:01         0.0         0.0
  18:49:02         0.0         0.1
  18:49:03         0.1         0.1
  18:49:04         0.0         0.2
  18:49:05         0.0         0.0
  18:49:06         0.0         0.2
  18:49:07         0.0         0.0
  18:49:08         0.0         0.0
  18:49:09         0.0         0.0
  18:49:10         0.0         0.0
  18:49:11         0.0         0.0
  18:49:12         0.0         0.0
  18:49:13         0.0         0.0
  18:49:14         0.0         0.0
  18:49:15         0.0         0.0
  18:49:16         0.0         0.1
  18:49:17         0.0         0.0
  18:49:18         0.0         0.0
  18:49:19         0.0         0.0
  18:49:20         0.0         0.1
  18:49:21         0.1         0.1
  18:49:22         0.0         0.2
  18:49:23         0.0         0.1
  18:49:24         0.0         0.0
  18:49:25         0.0         0.0
  18:49:26         0.0         0.0
  18:49:27         0.0         0.0
  18:49:28         0.0         0.0
  18:49:29         0.0         0.0
  18:49:30         0.0         0.0
  18:49:31         0.0         0.0
  18:49:32         0.0         0.0
  18:49:33         0.0         0.0
  18:49:34         0.0         0.0
  18:49:35         0.0         0.0
  18:49:36         0.0         0.0
  18:49:37         0.0         0.0
  18:49:38         0.0         0.0
  18:49:39         0.0         0.0
  18:49:40         0.0         0.0
  18:49:41         0.0         0.0
  18:49:42         0.0         0.0
  18:49:43         0.0         0.1
  18:49:44         0.0         0.0
  18:49:45         0.0         0.0
  18:49:46         0.0         0.0
  18:49:47         0.0         0.0
  18:49:48         0.0         0.0
  18:49:49         0.0         0.0
  18:49:50         0.0         0.0
  18:49:51         0.0         0.0
  18:49:52         0.0         0.0
  18:49:53         0.0         0.1
  18:49:54         0.0         0.2
  18:49:55         0.1         0.1
  18:49:56         0.0         0.0
  18:49:57         0.0         0.0
  18:49:58         0.0         0.0
  18:49:59         0.0         0.0
  18:50:00         0.0         0.1
  18:50:01         0.0         0.0
  18:50:02         0.0         0.1
  18:50:03         0.0         0.0
  18:50:04         0.0         0.0
  18:50:05         0.0         0.0
  18:50:06         0.0         0.0
  18:50:07         0.0         0.0
  18:50:08         0.0         0.0
  18:50:09         0.0         0.0
  18:50:10         0.0         0.0
  18:50:11         0.0         0.0
  18:50:12         0.0         0.0
  18:50:13         0.0         0.0
  18:50:14         0.0         0.0
  18:50:15         0.0         0.0
  18:50:16         0.0         0.0
  18:50:17         0.0         0.0
  18:50:18         0.0         0.0
  18:50:19         0.0         0.0
  18:50:20         0.0         0.0
  18:50:21         0.0         0.0
  18:50:22         0.0         0.0
  18:50:23         0.0         0.0
  18:50:24         0.0         0.0
  18:50:25         0.0         0.0
  18:50:26         0.0         0.0
  18:50:27         0.0         0.0
  18:50:28         0.0         0.0
  18:50:29         0.0         0.0
  18:50:30         0.0         0.0
  18:50:31         0.0         0.0
  18:50:32         0.0         0.0
  18:50:33         0.0         0.0
  18:50:34         0.0         0.0
  18:50:35         0.0         0.0
  18:50:36         0.0         0.0
  18:50:37         0.0         0.0
  18:50:38         0.0         0.1
  18:50:39         0.0         0.0
  18:50:40         0.0         0.0
  18:50:41         0.0         0.0
  18:50:42         0.0         0.0
  18:50:43         0.0         0.0
  18:50:44         0.0         0.0
  18:50:45         0.0         0.0
  18:50:46         0.0         0.0
  18:50:47         0.0         0.0
  18:50:48         0.0         0.0
  18:50:49         0.0         0.0
  18:50:50         0.0         0.0
  18:50:51         0.0         0.0
  18:50:52         0.0         0.0
  18:50:53         0.0         0.0
  18:50:54         0.0         0.0
  18:50:55         0.0         0.0
  18:50:56         0.0         0.0
  18:50:57         0.0         0.1
  18:50:58         0.0         0.2
  18:50:59         0.0         0.0
  18:51:00         0.0         0.0
  18:51:01         0.1         0.0
  18:51:02         0.0         0.0
  18:51:03         0.0         0.0
  18:51:04         0.0         0.0
  18:51:05         0.0         0.0
  18:51:06         0.0         0.0
  18:51:07         0.0         0.1
  18:51:08         0.0         0.0
  18:51:09         0.0         0.0
  18:51:10         0.0         0.0
  18:51:11         0.0         0.0
  18:51:12         0.0         0.0
  18:51:13         0.0         0.0
  18:51:14         0.0         0.0
  18:51:15         0.0         0.1
  18:51:16         0.0         0.0
  18:51:17         0.0         0.0
  18:51:18         0.0         0.0
  18:51:19         0.0         0.0
  18:51:20         0.0         0.0
  18:51:21         0.0         0.1
  18:51:22         0.0         0.0
  18:51:23         0.0         0.0
  18:51:24         0.0         0.0
  18:51:25         0.0         0.0
  18:51:26         0.0         0.0
  18:51:27         0.0         0.0
  18:51:28         0.0         0.0
  18:51:29         0.0         0.0
  18:51:30         0.0         0.0
  18:51:31         0.0         0.0
  18:51:32         0.0         0.0
  18:51:33         0.0         0.0
  18:51:34         0.0         0.0
  18:51:35         0.0         0.0
  18:51:36         0.0         0.0
  18:51:37         0.0         0.0
  18:51:38         0.0         0.0
  18:51:39         0.0         0.0
  18:51:40         0.0         0.0
  18:51:41         0.0         0.0
  18:51:42         0.0         0.0
  18:51:43         0.0         0.0
  18:51:44         0.0         0.0
  18:51:45         0.0         0.0
  18:51:46         0.0         0.0
  18:51:47         0.0         0.0
  18:51:48         0.0         0.0
  18:51:49         0.0         0.0
  18:51:50         0.0         0.0
  18:51:51         0.0         0.0
  18:51:52         0.0         0.0
  18:51:53         0.0         0.0
  18:51:54         0.0         0.0
  18:51:55         0.0         0.0
  18:51:56         0.0         0.0
  18:51:57         0.0         0.0
  18:51:58         0.0         0.0
  18:51:59         0.0         0.0
  18:52:00         0.0         0.0
  18:52:01         0.0         0.0
  18:52:02         0.0         0.0
  18:52:03         0.0         0.0
  18:52:04         0.0         0.0
  18:52:05         0.0         0.0
  18:52:06         0.0         0.0
  18:52:07         0.0         0.0
  18:52:08         0.0         0.0
  18:52:09         0.0         0.0
  18:52:10         0.0         0.0
  18:52:11         0.0         0.0
  18:52:12         0.0         0.0
  18:52:13         0.0         0.0
  18:52:14         0.0         0.0
  18:52:15         0.0         0.0
  18:52:16         0.0         0.0
