timestamp,qdisc_type,sent_bytes,sent_pkts,dropped,overlimits,requeues,backlog_bytes,backlog_pkts,prob,delay_c_us,delay_l_us,pkts_in_c,pkts_in_l,maxq,ecn_mark,step_mark,memory_used_bytes
2026-03-31 22:18:12,pfifo,3465,27,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:13,pfifo,6949,34,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:14,pfifo,545087,393,0,0,0,6056,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:15,pfifo,1424721,974,0,0,0,6056,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:16,pfifo,1967483,1340,0,0,0,7570,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:17,pfifo,2851659,1924,0,0,0,6056,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:18,pfifo,3460763,2327,0,0,0,6056,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:19,pfifo,4127902,2770,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:20,pfifo,4665181,3126,0,0,0,7570,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:21,pfifo,5364765,3589,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:22,pfifo,5894404,3939,0,0,0,6056,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:23,pfifo,6290259,4201,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:24,pfifo,6803244,4540,0,0,0,7570,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:25,pfifo,7137907,4762,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:26,pfifo,7638780,5093,0,0,0,7570,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:27,pfifo,8293114,5526,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:28,pfifo,8781875,5849,0,0,0,3028,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:29,pfifo,9102692,6061,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31 22:18:30,pfifo,9570257,6370,0,0,0,6056,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
