      Time     KB/s_in    KB/s_out
  22:18:13         0.9         3.4
  22:18:14        12.9       498.5
  22:18:15        18.3       853.8
  22:18:16        18.5       526.8
  22:18:17        18.6       854.1
  22:18:18        13.9       591.4
  22:18:19        15.3       697.0
  22:18:20        11.1       468.2
  22:18:21        16.2       739.2
  22:18:22        10.8       450.7
  22:18:23         9.9       452.9
  22:18:24        10.2       426.7
  22:18:25         8.8       400.6
  22:18:26         9.7       400.2
  22:18:27        15.9       727.4
  22:18:28         9.2       379.6
  22:18:29         9.0       410.7
  22:18:30         8.5       345.6
  22:18:31        18.7       855.7
  22:18:32         8.4       341.6
  22:18:33        18.6       854.2
  22:18:34         9.7       401.4
  22:18:35        18.7       854.3
  22:18:36         7.6       306.3
  22:18:37        18.6       854.4
  22:18:38        10.2       424.6
  22:18:39        18.6       854.2
  22:18:40         7.1       273.2
  22:18:41        18.6       855.3
  22:18:42         9.3       382.9
  22:18:43        12.5       572.0
  22:18:44        10.4       416.1
  22:18:45         9.3       428.4
  22:18:46        10.0       409.8
  22:18:47         9.1       421.2
  22:18:48        10.1       399.9
  22:18:49         9.3       424.1
  22:18:50         2.9        90.1
  22:18:51         8.8       404.4
  22:18:52         1.6        29.3
  22:18:53         9.1       420.4
  22:18:54         1.3        10.1
  22:18:55         9.1       414.3
  22:18:56         1.0         2.9
  22:18:57         9.1       420.9
  22:18:58         1.8        55.5
  22:18:59         9.4       404.7
  22:19:00         1.4        62.2
  22:19:01         9.4       381.0
  22:19:02         2.4       105.7
  22:19:03         7.5       298.6
  22:19:04         0.6         1.3
  22:19:05         4.2       144.0
  22:19:06         0.0         0.1
  22:19:07         4.9       177.3
  22:19:08         0.0         0.0
  22:19:09         5.2       191.9
  22:19:10         0.1         0.2
  22:19:11         5.2       195.4
  22:19:12         0.0         0.1
  22:19:13         5.5       206.4
  22:19:14         0.0         0.0
  22:19:15         5.8       220.5
  22:19:16         0.1         0.1
  22:19:17         3.7       119.7
  22:19:18         0.0         0.0
  22:19:19         4.5       156.7
  22:19:20         0.0         0.0
  22:19:21         5.5       205.0
  22:19:22         0.0         0.0
  22:19:23         5.4       205.2
  22:19:24         0.1         0.6
  22:19:25         5.1       188.9
  22:19:26         0.6        24.6
  22:19:27         4.7       172.6
  22:19:28         0.5        21.4
  22:19:29         4.3       157.8
  22:19:30         1.5        67.9
  22:19:31         3.7       124.4
  22:19:32         0.1         0.0
  22:19:33         3.8       128.3
  22:19:34         1.7        70.5
  22:19:35         3.5       112.1
  22:19:36         1.4        64.3
  22:19:37         3.1        97.3
  22:19:38         1.6        73.3
  22:19:39         2.7        81.0
  22:19:40         1.2        53.1
  22:19:41         2.4        63.3
  22:19:42         2.4       109.1
  22:19:43         2.0        45.5
  22:19:44         3.9       176.6
  22:19:45         1.6        26.3
  22:19:46         7.9       338.3
  22:19:47         1.2         8.6
  22:19:48         4.2       187.2
  22:19:49         0.7         3.0
  22:19:50         5.2       201.8
  22:19:51         0.0         0.0
  22:19:52         5.6       204.2
  22:19:53         0.0         0.0
  22:19:54         5.5       204.1
  22:19:55         0.0         0.0
  22:19:56         5.4       203.4
  22:19:57         0.0         0.0
  22:19:58         5.8       215.8
  22:19:59         0.0         0.0
  22:20:00         5.8       208.8
  22:20:01         0.0         0.1
  22:20:02         2.8        74.1
  22:20:03         0.0         0.1
  22:20:04         3.4       100.1
  22:20:05         0.0         0.1
  22:20:06         5.5       204.0
  22:20:07         0.0         0.0
  22:20:08         6.1       229.9
  22:20:09         0.0         0.1
  22:20:10         5.6       209.9
  22:20:11         0.0         0.0
  22:20:12         5.7       214.3
  22:20:13         0.0         0.2
  22:20:14         5.6       211.7
  22:20:15         0.1         0.0
  22:20:16         5.4       205.2
  22:20:17         0.1         1.3
  22:20:18         5.0       187.4
  22:20:19         0.6        21.8
  22:20:20         4.8       174.2
  22:20:21         1.2        51.9
  22:20:22         3.6       123.7
  22:20:23         0.0         0.0
  22:20:24         4.0       137.8
  22:20:25         0.0         0.0
  22:20:26         3.6       125.3
  22:20:27         1.5        64.6
  22:20:28         3.3       107.6
  22:20:29         0.5        19.7
  22:20:30         3.1        94.3
  22:20:31         2.6       120.6
  22:20:32         2.6        76.6
  22:20:33         3.4       154.0
  22:20:34         2.4        63.4
  22:20:35         3.5       160.8
  22:20:36         2.0        47.0
  22:20:37         4.1       188.9
  22:20:38         1.6        30.8
  22:20:39         3.8       172.0
  22:20:40         1.3        14.5
  22:20:41         3.9       175.9
  22:20:42         1.1         2.9
  22:20:43         4.1       187.9
  22:20:44         0.5         0.0
  22:20:45         5.6       235.6
  22:20:46         0.0         0.0
  22:20:47         5.8       224.1
  22:20:48         0.0         0.0
  22:20:49         6.2       234.5
  22:20:50         0.0         0.0
  22:20:51         5.8       220.2
  22:20:52         0.0         0.0
  22:20:53         5.4       201.2
  22:20:54         0.0         0.0
  22:20:55         5.6       207.9
  22:20:56         0.0         0.0
  22:20:57         5.6       207.4
  22:20:58         0.0         0.0
  22:20:59         5.2       190.2
  22:21:00         0.0         0.0
  22:21:01         6.0       227.4
  22:21:02         0.0         0.0
  22:21:03         3.7       123.4
  22:21:04         0.1         0.1
  22:21:05         4.2       144.1
  22:21:06         0.0         0.0
  22:21:07         4.9       177.3
  22:21:08         0.0         0.0
  22:21:09         5.2       191.6
  22:21:10         0.0         0.0
  22:21:11         5.2       195.4
  22:21:12         0.1         0.0
  22:21:13         5.5       206.4
  22:21:14         0.0         0.0
  22:21:15         5.8       220.5
  22:21:16         0.0         0.0
  22:21:17         3.6       119.6
  22:21:18         0.0         0.0
  22:21:19         4.5       156.6
  22:21:20         0.0         0.0
  22:21:21         5.5       205.0
  22:21:22         0.0         0.0
  22:21:23         5.5       205.8
  22:21:24         0.0         0.0
  22:21:25         5.6       213.5
  22:21:26         0.1         0.0
  22:21:27         5.2       194.0
  22:21:28         0.0         0.0
  22:21:29         4.9       183.0
  22:21:30         0.9        42.8
  22:21:31         3.6       124.4
  22:21:32         0.1         0.0
