Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,426.0,0,0.0,4.38,1.074
2,4718.0,0,0.0,4.31,1.069
3,3526.0,1,0.0,4.215,1.0535
4,3230.0,0,0.0,4.12,1.0306666666666666
5,4406.0,0,0.0,4.07,1.02
6,3084.0,0,0.0,4.04,1.0123333333333333
7,4778.0,0,0.0,4.015,1.006
8,4976.0,0,0.0,4.01,1.002
9,4616.0,0,0.0,4.0,1.002
10,5090.0,0,0.0,4.0,1.002
11,4480.0,0,0.0,4.0,1.002
12,4928.0,0,0.0,3.99,1.002
13,4654.0,0,0.0,3.99,1.002
14,4864.0,0,0.0,3.9850000000000003,1.002
15,3136.0,1,0.0,3.98,1.0006666666666666
16,4942.0,1,0.0,3.986666666666667,0.9979999999999999
17,3388.0,0,0.8165,4.48,1.0474999999999999
18,1750.0,0,0.3965000000000001,4.61,1.095
19,802.0,2,0.0,4.47,1.0855000000000001
20,1866.0,1,0.0,4.35,1.071
21,732.0,0,0.0,4.25,1.0605
22,878.0,0,0.0,4.16,1.04
23,470.0,0,0.0,4.11,1.026
24,1474.0,0,0.0,4.07,1.02
25,682.0,1,0.0,4.04,1.011
26,354.0,1,0.0,4.02,1.007
27,424.0,1,0.0,4.01,1.005
28,438.0,0,0.0,4.0,1.0025
29,478.0,0,0.0,4.0,1.0
30,224.0,0,0.0,4.0,1.0
31,328.0,0,0.0,4.0,1.0
32,448.0,0,0.0,4.0,1.0
33,426.0,0,0.0,4.0,1.0
34,442.0,0,0.0,4.0,1.0
35,368.0,0,0.0,4.0,1.0
36,430.0,0,0.0,4.0,1.0
37,222.0,0,0.0,4.0,1.0
38,380.0,0,0.0,4.0,1.0
39,294.0,0,0.0,4.0,1.0
40,376.0,0,0.0,4.0,1.0
41,272.0,0,0.0,4.0,1.0
42,322.0,0,0.0,4.0,1.0
43,434.0,0,0.0,4.0,1.0
44,318.0,0,0.0,4.0,1.0
45,378.0,0,0.0,4.0,1.0
46,364.0,0,0.0,4.0,1.0
47,422.0,0,0.0,4.0,1.0
48,404.0,0,0.0,4.0,1.0
49,418.0,0,0.0,4.0,1.0
50,436.0,0,0.0,4.0,1.0
51,440.0,0,0.0,4.0,1.0
52,428.0,0,0.0,4.0,1.0
53,164.0,0,0.0,4.0,1.0
54,212.0,0,0.0,4.0,1.0
55,450.0,0,0.0,4.0,1.0
56,428.0,0,0.0,4.0,1.0
57,422.0,0,0.0,4.0,1.0
58,418.0,0,0.0,4.0,1.0
59,410.0,0,0.0,4.0,1.0
60,440.0,0,0.0,4.0,1.0
61,426.0,0,0.0,4.0,1.0
62,448.0,0,0.0,4.0,1.0
63,270.0,0,0.0,4.0,1.0
64,278.0,0,0.0,4.0,1.0
65,386.0,0,0.0,4.0,1.0
66,262.0,0,0.0,4.0,1.0
67,440.0,0,0.0,4.0,1.0
68,464.0,0,0.0,4.0,1.0
69,864.0,0,0.0,4.0,1.0
70,912.0,1,0.0,4.0,1.0
71,782.0,0,0.0,4.0,1.0
72,732.0,0,0.0,4.0,1.0
73,734.0,0,0.0,4.0,1.0
74,448.0,0,0.0,4.0,1.0
75,440.0,1,0.0,4.0,1.0
76,440.0,0,0.0,4.0,1.0
77,442.0,0,0.0,4.0,1.0
78,406.0,0,0.0,4.0,1.0
79,446.0,0,0.0,4.0,1.0
80,382.0,0,0.0,4.0,1.0
81,346.0,0,0.0,4.0,1.0
82,430.0,0,0.0,4.0,1.0
83,240.0,0,0.0,4.0,1.0
84,274.0,0,0.0,4.0,1.0
85,338.0,0,0.0,4.0,1.0
86,354.0,0,0.0,4.0,1.0
87,424.0,0,0.0,4.0,1.0
88,438.0,0,0.0,4.0,1.0
89,478.0,0,0.0,4.0,1.0
90,224.0,0,0.0,4.0,1.0
