Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,809.0,0,0.0,4.26,1.06
2,4687.0,0,0.0,4.1850000000000005,1.045
3,4765.0,0,0.0,4.105,1.0285
4,3309.0,1,0.0,4.0600000000000005,1.018
5,3680.0,0,0.0,4.035,1.011
6,3906.0,0,0.0,4.015,1.0065
7,3527.0,1,0.0,4.01,1.004
8,2762.0,0,0.0,4.005,1.004
9,1671.0,1,0.0,4.0,1.0
10,1237.0,0,0.0,4.0,1.0
11,3013.0,1,0.0,4.0,1.0
12,3142.0,0,0.0,4.0,1.0
13,1834.0,1,0.0,4.0,1.0
14,3090.0,1,0.0,4.0,1.0
15,4480.0,0,0.0,4.0,1.0
16,4927.0,0,0.0,4.0,1.0
17,4653.0,0,0.0,4.0,1.0
18,4864.0,0,0.0,4.0,1.0
19,3780.0,0,0.0,4.0,1.0
20,4941.0,0,0.0,4.0,1.0
21,4769.0,0,0.0,4.0,1.0
22,4454.0,0,0.0,4.0,1.0
23,5050.0,0,0.0,4.0,1.0
24,4205.0,0,0.0,4.0,1.0
25,4126.0,0,0.0,4.0,1.0
26,4817.0,0,0.0,4.0,1.0
27,2402.0,0,0.0,4.0,1.0
28,3125.0,1,0.0,4.0,1.0
29,3004.0,0,0.0,4.0,1.0
30,3153.0,0,0.0,4.0,1.0
31,3447.0,0,0.0,4.0,1.0
32,3191.0,0,0.0,4.0,1.0
33,3456.0,0,0.0,4.0,1.0
34,2610.0,0,0.0,4.0,1.0
35,2952.0,0,0.0,4.01,1.0
36,3255.0,0,0.0,4.01,1.0
37,3102.0,0,0.0,4.01,1.0
38,3328.0,0,0.0,4.01,1.0
39,3422.0,0,0.0,4.01,1.0
40,3595.0,0,0.0,4.01,1.0
41,2284.0,0,0.0,4.01,1.0
42,3176.0,0,0.0,4.01,1.0
43,3057.0,0,0.0,4.01,1.0
44,3595.0,0,0.0,4.01,1.0
45,2302.0,0,0.0,4.01,1.0
46,2922.0,0,0.0,4.01,1.0
47,3292.0,0,0.0,4.01,1.0
48,3176.0,0,0.0,4.01,1.0
49,3127.0,0,0.0,4.01,1.0
50,3202.0,0,0.0,4.01,1.0
51,3191.0,0,0.0,4.01,1.0
52,3360.0,0,0.0,4.01,1.0
53,3311.0,0,0.0,4.01,1.0
54,3433.0,0,0.0,4.01,1.0
55,3420.0,0,0.0,4.01,1.0
56,3433.0,0,0.0,4.01,1.0
57,1012.0,0,0.0,4.01,1.0
58,1270.0,0,0.0,4.01,1.0
59,3253.0,0,0.0,4.01,1.0
60,3289.0,0,0.0,4.01,1.0
61,3348.0,0,0.0,4.01,1.0
62,3176.0,0,0.0,4.01,1.0
63,1632.0,0,0.0,4.01,1.0
64,3309.0,1,0.0,4.01,1.0
65,3680.0,0,0.0,4.01,1.0
66,1944.0,0,0.0,4.01,1.0
67,1111.0,0,0.0,4.01,1.0
68,2762.0,1,0.0,4.01,1.0
69,3235.0,0,0.0,4.01,1.0
70,1237.0,0,0.0,4.01,1.0
71,1813.0,0,0.0,4.01,1.0
72,1902.0,0,0.0,4.01,1.0
73,4616.0,1,0.0,4.01,1.0
74,1629.0,1,0.0,4.01,1.004
75,3097.0,1,0.0,4.0,1.002
76,4927.0,1,0.0,4.0,1.0
77,1624.0,1,0.0,4.0,1.0
78,3150.0,1,0.0,4.0,1.0
79,3780.0,0,0.0,4.0,1.0
80,4941.0,0,0.0,4.0,1.0
81,4769.0,0,0.0,4.0,1.0
82,4454.0,0,0.0,4.0,1.0
83,5050.0,0,0.0,4.0,1.0
84,4205.0,0,0.0,4.0,1.0
85,4126.0,0,0.0,4.0,1.0
86,4817.0,0,0.0,4.0,1.0
87,2546.0,0,0.0,4.0,1.0
88,3756.0,0,0.0,4.0,1.0
89,3004.0,0,0.0,4.0,1.0
90,3153.0,1,0.0,4.0,1.0
91,3447.0,0,0.0,4.0,1.0
