      Time     KB/s_in    KB/s_out
  15:20:34         0.0         0.0
  15:20:35         0.0         0.4
  15:20:36         0.0         0.0
  15:20:37         0.0         0.0
  15:20:38         0.0         0.1
  15:20:39         0.0         0.1
  15:20:40         0.1         0.1
  15:20:41         0.0         0.1
  15:20:42         0.0         0.0
  15:20:43         0.0         0.4
  15:20:44         0.0         0.0
  15:20:45         0.0         0.0
  15:20:46         0.0         0.0
  15:20:47         0.0         0.0
  15:20:48         0.0         0.0
  15:20:49         0.0         0.0
  15:20:50         0.0         0.0
  15:20:51         0.0         0.0
  15:20:52         0.0         0.0
  15:20:53         0.0         0.2
  15:20:54         0.0         0.0
  15:20:55         0.1         0.0
  15:20:56         0.0         0.1
  15:20:57         0.0         0.0
  15:20:58         0.0         0.1
  15:20:59         0.0         0.4
  15:21:00         0.0         0.0
  15:21:01         0.0         0.0
  15:21:02         0.0         0.0
  15:21:03         0.0         0.0
  15:21:04         9.9       383.5
  15:21:05        19.9       624.3
  15:21:06        11.1       631.0
  15:21:07         9.7       608.8
  15:21:08        10.0       676.7
  15:21:09        10.8       638.4
  15:21:10        10.3       673.7
  15:21:11        11.5       660.5
  15:21:12         9.5       594.1
  15:21:13        10.2       667.7
  15:21:14        10.2       632.6
  15:21:15        13.1       848.2
  15:21:16        10.9       793.4
  15:21:17        11.7       848.2
  15:21:18        11.2       762.6
  15:21:19        11.4       855.7
  15:21:20         9.0       625.2
  15:21:21         9.7       657.9
  15:21:22        11.6       727.0
  15:21:23         9.5       601.3
  15:21:24        10.4       690.1
  15:21:25        12.9       854.2
  15:21:26        11.7       753.7
  15:21:27        11.7       854.1
  15:21:28        10.3       740.4
  15:21:29        11.1       855.3
  15:21:30        10.6       793.5
  15:21:31        11.4       854.2
  15:21:32        10.3       753.7
  15:21:33        11.3       853.9
  15:21:34        10.8       775.4
  15:21:35        11.6       855.5
  15:21:36        10.3       753.6
  15:21:37        11.7       854.2
  15:21:38        10.6       781.5
  15:21:39        11.7       853.9
  15:21:40        10.4       768.1
  15:21:41        11.6       854.2
  15:21:42        10.2       753.4
  15:21:43        11.3       840.8
  15:21:44        10.6       768.5
  15:21:45        11.5       855.7
  15:21:46        10.9       797.8
  15:21:47        11.3       809.9
  15:21:48        10.3       775.7
  15:21:49        11.3       836.2
  15:21:50        10.6       792.1
  15:21:51        10.8       803.8
  15:21:52        10.8       796.6
  15:21:53        10.6       805.3
  15:21:54        10.9       809.5
  15:21:55        11.0       789.2
  15:21:56        11.1       815.6
  15:21:57        10.4       777.3
  15:21:58        11.1       835.0
  15:21:59        10.5       756.7
  15:22:00        11.3       839.3
  15:22:01        10.2       756.7
  15:22:02        11.5       848.0
  15:22:03        11.9       814.3
  15:22:04        11.5       851.2
  15:22:05        10.8       799.5
  15:22:06        11.3       855.5
  15:22:07        10.1       734.3
  15:22:08        11.4       855.6
  15:22:09        10.0       740.3
  15:22:10        11.4       854.2
  15:22:11        10.0       743.2
  15:22:12        11.3       853.6
  15:22:13        10.3       743.2
  15:22:14        11.3       854.2
  15:22:15        10.4       746.4
  15:22:16        11.9       854.2
  15:22:17        10.1       737.4
  15:22:18        12.1       854.2
  15:22:19        10.1       741.7
  15:22:20        11.4       854.2
  15:22:21        10.3       736.0
  15:22:22        12.7       854.3
  15:22:23        10.5       781.9
  15:22:24        11.5       854.0
  15:22:25        10.4       780.3
  15:22:26        11.5       854.1
  15:22:27        10.2       751.9
  15:22:28        12.7       854.0
  15:22:29        11.2       783.0
  15:22:30        11.4       855.6
  15:22:31        10.2       737.3
  15:22:32        11.7       854.2
  15:22:33        10.0       741.8
  15:22:34        11.5       843.6
  15:22:35        10.0       752.5
  15:22:36        11.3       840.5
  15:22:37        10.3       747.9
  15:22:38        11.3       842.4
  15:22:39        10.4       756.6
  15:22:40        10.6       727.0
  15:22:41        11.5       803.8
  15:22:42        10.8       786.1
  15:22:43        10.8       783.3
  15:22:44        11.5       806.8
  15:22:45        11.3       792.2
  15:22:46        10.8       800.8
  15:22:47        11.1       796.5
  15:22:48        11.7       796.4
  15:22:49        10.8       805.2
  15:22:50        10.7       786.0
  15:22:51        11.1       827.5
  15:22:52        10.6       772.7
  15:22:53        11.3       834.7
  15:22:54        10.4       756.3
  15:22:55        11.9       842.3
  15:22:56        10.3       763.9
  15:22:57        11.5       852.8
  15:22:58        10.5       763.9
  15:22:59        11.5       854.2
  15:23:00        10.3       740.4
  15:23:01        11.9       854.2
  15:23:02        10.6       789.0
  15:23:03        12.4       855.7
  15:23:04        10.5       780.0
  15:23:05        11.3       855.2
  15:23:06        10.6       763.8
  15:23:07        11.2       854.1
  15:23:08        10.3       759.7
  15:23:09        11.7       855.4
  15:23:10        10.1       741.6
  15:23:11        11.6       854.0
  15:23:12        10.2       738.8
  15:23:13        11.9       854.1
  15:23:14        10.6       728.4
  15:23:15        11.4       854.2
  15:23:16        10.7       793.7
  15:23:17        11.1       853.9
  15:23:18        10.3       766.8
  15:23:19        11.3       855.5
