time_hms,kb_per_sec_in,kb_per_sec_out
14:47:29,1.0,3.3
14:47:30,19.5,613.5
14:47:31,8.3,290.1
14:47:32,21.1,729.9
14:47:33,11.6,430.0
14:47:34,21.3,721.5
14:47:35,5.6,214.7
14:47:36,20.0,685.9
14:47:37,14.3,508.4
14:47:38,19.4,664.1
14:47:39,4.0,131.1
14:47:40,19.2,635.6
14:47:41,10.2,351.9
14:47:42,18.4,612.0
14:47:43,17.9,643.7
14:47:44,18.1,596.9
14:47:45,6.6,231.9
14:47:46,17.0,558.6
14:47:47,14.7,520.7
14:47:48,16.2,541.0
14:47:49,11.3,411.4
14:47:50,15.7,520.3
14:47:51,17.5,611.3
14:47:52,14.6,487.6
14:47:53,19.6,685.7
14:47:54,14.1,460.1
14:47:55,20.6,725.7
14:47:56,13.2,424.0
14:47:57,13.6,465.1
14:47:58,12.5,403.5
14:47:59,13.9,466.4
14:48:00,6.6,161.4
14:48:01,9.0,223.2
14:48:02,6.4,161.3
14:48:03,5.5,139.1
14:48:04,5.6,143.9
14:48:05,6.8,165.1
14:48:06,7.0,142.3
14:48:07,9.2,237.5
14:48:08,6.6,164.5
14:48:09,5.6,146.6
14:48:10,10.5,259.3
14:48:11,10.5,271.2
14:48:12,7.6,199.3
14:48:13,6.4,138.2
14:48:14,5.0,105.0
14:48:15,5.5,132.0
14:48:16,4.0,86.1
14:48:17,5.6,147.3
14:48:18,3.2,53.8
14:48:19,3.7,100.0
14:48:20,1.2,5.7
14:48:21,4.3,113.2
14:48:22,0.6,3.1
14:48:23,3.7,71.3
14:48:24,0.0,0.0
14:48:25,4.6,77.5
14:48:26,2.0,3.7
14:48:27,6.8,102.6
14:48:28,0.9,7.0
14:48:29,5.9,75.8
14:48:30,2.2,3.5
14:48:31,6.3,48.8
14:48:32,8.5,87.7
14:48:33,7.7,83.0
14:48:34,10.4,66.9
14:48:35,7.4,94.4
14:48:36,5.8,117.5
14:48:37,6.8,158.9
14:48:38,6.8,195.5
14:48:39,4.2,85.8
14:48:40,3.7,106.8
14:48:41,4.3,91.7
14:48:42,3.7,101.0
14:48:43,3.0,50.3
14:48:44,4.3,121.2
14:48:45,7.3,175.4
14:48:46,4.0,118.0
14:48:47,2.9,46.4
14:48:48,4.5,94.2
14:48:49,6.4,131.3
14:48:50,5.2,161.7
14:48:51,3.6,74.2
