      Time     KB/s_in    KB/s_out
  13:21:49         1.0         3.4
  13:21:50        11.1       350.4
  13:21:51        21.6       854.3
  13:21:52        13.5       489.0
  13:21:53        20.4       805.5
  13:21:54        10.1       344.4
  13:21:55        21.6       841.0
  13:21:56         9.2       314.8
  13:21:57        22.1       855.8
  13:21:58         9.5       275.0
  13:21:59        22.0       854.3
  13:22:00        10.1       347.4
  13:22:01        22.0       854.1
  13:22:02        10.0       256.7
  13:22:03         1.2        26.9
  13:22:04         7.0       191.4
  13:22:05         4.9       191.5
  13:22:06         9.5       190.6
  13:22:07        22.1       855.6
  13:22:08         8.0       180.3
  13:22:09        18.4       692.6
  13:22:10         9.6       150.0
  13:22:11        22.0       854.2
  13:22:12        15.7       443.8
  13:22:13        18.7       701.1
  13:22:14        10.0       118.0
  13:22:15        19.6       740.7
  13:22:16         7.5        71.7
  13:22:17        22.0       853.9
  13:22:18        18.0       359.0
  13:22:19        18.8       595.7
  13:22:20        16.7       328.9
  13:22:21         9.9       286.7
  13:22:22        10.0       280.9
  13:22:23        11.4       335.5
  13:22:24        12.2       322.5
  13:22:25         9.8       277.4
  13:22:26         4.9       150.1
  13:22:27        15.1       427.1
  13:22:28         0.3         6.4
  13:22:29         6.4       130.6
  13:22:30         0.5         1.1
  13:22:31         8.6       216.8
  13:22:32         0.0         0.0
  13:22:33         8.3       232.6
  13:22:34         0.0         0.0
  13:22:35         8.9       226.0
  13:22:36         0.0         0.0
  13:22:37         9.0       238.0
  13:22:38         0.0         0.0
  13:22:39         8.0       204.5
  13:22:40         0.0         0.0
  13:22:41         7.8       192.0
  13:22:42         0.0         0.0
  13:22:43         7.4       192.6
  13:22:44         0.1         0.1
  13:22:45         8.8       224.8
  13:22:46         0.5        13.0
  13:22:47         7.4       190.7
  13:22:48         9.4       268.7
  13:22:49         7.2       186.1
  13:22:50         1.9        37.2
  13:22:51         6.7       170.0
  13:22:52        10.1       284.6
  13:22:53         4.5        96.3
  13:22:54         1.1        22.0
  13:22:55         3.8        88.8
  13:22:56         1.9        15.3
  13:22:57         3.5        72.1
  13:22:58         0.8        20.7
  13:22:59         4.4        91.9
  13:23:00         1.0        22.8
  13:23:01         3.1        55.3
  13:23:02         0.4        10.2
  13:23:03         3.4        63.0
  13:23:04         0.5        10.9
  13:23:05         3.3        66.5
  13:23:06         0.8        23.8
  13:23:07         3.2        72.5
  13:23:08         0.8        22.1
  13:23:09         2.8        57.7
  13:23:10         2.0        54.8
  13:23:11         2.2        41.5
  13:23:12         2.7        74.8
  13:23:13         2.0        35.6
  13:23:14         3.4        91.1
  13:23:15         1.6        17.8
  13:23:16         1.5        43.3
  13:23:17         1.3         9.0
  13:23:18         2.9        78.9
  13:23:19         1.2         3.0
  13:23:20         4.2       115.6
  13:23:21         0.5         0.0
  13:23:22         4.5       113.1
  13:23:23         0.0         0.0
  13:23:24         5.0       117.5
  13:23:25         0.0         0.0
  13:23:26         4.5        98.3
  13:23:27         0.0         0.0
  13:23:28         5.0       114.1
  13:23:29         0.1         0.1
  13:23:30         3.2        60.9
  13:23:31         0.0         0.0
  13:23:32         4.4       101.2
  13:23:33         0.0         0.0
  13:23:34         3.8        79.2
  13:23:35         0.0         0.0
  13:23:36         4.4       100.2
  13:23:37         0.0         0.0
  13:23:38         3.2        73.7
  13:23:39         0.0         0.0
  13:23:40         3.8        86.4
  13:23:41         0.1         0.0
  13:23:42         5.1       115.4
  13:23:43         0.0         0.0
  13:23:44         4.0        85.6
  13:23:45         0.0         0.0
  13:23:46         4.5       100.9
  13:23:47         0.0         0.0
  13:23:48         4.3        97.3
  13:23:49         0.0         0.1
  13:23:50         4.8       112.4
  13:23:51         0.0         0.1
  13:23:52         4.6       107.3
  13:23:53         0.0         0.0
  13:23:54         4.6       111.0
  13:23:55         0.0         0.1
  13:23:56         4.8       115.9
  13:23:57         0.0         0.1
  13:23:58         4.5       116.6
  13:23:59         0.2         0.2
  13:24:00         5.0       113.7
  13:24:01         0.1         0.0
  13:24:02         2.5        45.6
  13:24:03         0.0         0.0
  13:24:04         2.9        58.0
  13:24:05         0.1         0.0
  13:24:06         3.0        63.6
  13:24:07         2.1        55.7
  13:24:08         2.6        54.8
  13:24:09         1.8        58.9
  13:24:10         2.0        34.1
  13:24:11         2.6        77.9
  13:24:12         2.2        29.6
  13:24:13         2.7        81.7
  13:24:14         1.5        14.9
  13:24:15         3.0        94.3
  13:24:16         1.1         3.0
  13:24:17         4.0       113.8
  13:24:18         0.5         0.0
  13:24:19         4.4       113.3
  13:24:20         0.0         0.0
  13:24:21         4.8       118.6
  13:24:22         0.0         0.0
  13:24:23         3.4        72.9
  13:24:24         0.0         0.0
  13:24:25         3.5        75.2
  13:24:26         0.0         0.0
  13:24:27         4.5       102.8
  13:24:28         0.0         0.0
  13:24:29         3.6        70.9
  13:24:30         0.0         0.0
  13:24:31         5.2       116.8
  13:24:32         0.0         0.0
  13:24:33         5.1       123.0
  13:24:34         0.0         0.0
  13:24:35         4.8       116.1
  13:24:36         0.0         0.0
  13:24:37         8.5       207.4
  13:24:38         0.8        22.6
  13:24:39         4.2        91.5
  13:24:40         0.8        23.7
  13:24:41         4.5        93.7
  13:24:42         0.8        24.5
  13:24:43         4.0        92.3
  13:24:44         1.1        26.6
  13:24:45         4.3        92.7
  13:24:46         0.8        24.1
  13:24:47         3.9        90.6
  13:24:48         1.4        26.1
  13:24:49         4.1        94.2
  13:24:50         0.7        23.4
  13:24:51         3.6        94.7
  13:24:52         0.8        13.6
  13:24:53         3.7        96.3
  13:24:54         1.1        22.0
  13:24:55         3.5        88.8
  13:24:56         0.8        13.1
  13:24:57         3.0        72.1
  13:24:58         0.9        20.7
  13:24:59         3.5        91.5
  13:25:00         1.0        22.9
  13:25:01         2.6        55.3
  13:25:02         0.3        10.2
  13:25:03         2.6        63.0
  13:25:04         0.5        10.9
  13:25:05         3.0        72.9
  13:25:06         0.5        17.5
  13:25:07         3.1        75.9
  13:25:08         0.5        18.7
