time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.5,20.4,20.4,23.3,5.3,2246028,5,1,1,bbr1
0.005,6904,4,0,23.4,30.2,20.4,30.2,6.3,778414,7,1,1,bbr1
0.027,9752,6,4320,23.8,27.2,20.4,30.2,5.7,778414,12,1,1,bbr1
0.006,16354,11,55,23.8,21.9,20.4,30.2,3.3,778414,15,1,1,bbr1
0.069,17134,11,0,24.4,27.4,20.4,30.2,3.0,973017,16,1,1,bbr1
0.092,19982,13,2686,32.8,91.5,20.4,91.5,19.0,973017,20,2,2,bbr1
0.096,22636,15,5760,31.8,25.0,20.4,91.5,16.2,973017,24,2,2,bbr1
0.114,25484,17,20160,30.6,22.0,20.4,91.5,14.6,973017,37,2,2,bbr1
0.118,28332,19,21600,29.6,22.3,20.4,91.5,13.0,973017,40,2,2,bbr1
0.121,31180,21,21600,28.7,22.8,20.4,91.5,11.5,973017,42,2,2,bbr1
0.124,34028,23,21600,28.0,23.2,20.4,91.5,10.0,973017,44,2,2,bbr1
0.127,36876,25,21600,27.5,23.6,20.4,91.5,8.6,973017,46,2,2,bbr1
0.132,39724,27,23040,27.0,24.1,20.4,91.5,7.3,973017,49,2,2,bbr1
0.135,40351,28,23040,26.7,24.5,20.4,91.5,6.1,973017,51,2,2,bbr1
0.137,40351,28,23040,26.5,24.9,20.4,91.5,5.0,973017,53,2,2,bbr1
0.142,42929,29,24480,26.4,25.3,20.4,91.5,4.1,1052125,56,2,2,bbr1
0.145,42929,29,24480,26.3,25.8,20.4,91.5,3.2,1052125,58,2,2,bbr1
0.149,42929,29,25920,26.2,26.0,20.4,91.5,2.5,1052125,61,2,2,bbr1
0.152,42929,29,25920,26.3,26.6,20.4,91.5,1.9,1052125,63,2,2,bbr1
0.155,42929,29,27360,26.4,27.1,20.4,91.5,1.7,1052125,66,2,2,bbr1
