time_hms,kb_per_sec_in,kb_per_sec_out
12:07:46,6.16,162.2
12:07:47,13.49,769.69
12:07:48,14.38,828.13
12:07:49,14.17,822.12
12:07:50,8.58,504.62
12:07:51,6.86,378.97
12:07:52,12.68,752.05
12:07:53,6.39,357.24
12:07:54,13.53,815.23
12:07:55,5.44,307.66
12:07:56,14.4,855.32
12:07:57,4.88,260.02
12:07:58,14.3,855.22
12:07:59,5.44,294.45
12:08:00,14.38,853.26
12:08:01,5.44,290.0
12:08:02,13.81,799.74
12:08:03,11.0,594.89
12:08:04,4.92,282.4
12:08:05,1.09,34.44
12:08:06,14.19,854.48
12:08:07,3.55,182.9
12:08:08,14.74,855.47
12:08:09,6.59,375.45
12:08:10,13.71,803.06
12:08:11,8.42,502.22
12:08:12,13.01,740.16
12:08:13,8.65,468.98
12:08:14,12.44,713.87
12:08:15,8.8,514.76
12:08:16,11.6,349.77
12:08:17,13.81,426.66
12:08:18,13.79,427.9
12:08:19,12.44,375.19
12:08:20,13.82,426.93
12:08:21,13.67,416.51
12:08:22,13.81,427.03
12:08:23,11.84,358.27
12:08:24,8.05,248.51
12:08:25,1.47,37.36
12:08:26,13.51,416.16
12:08:27,11.79,353.81
12:08:28,10.07,308.41
12:08:29,0.26,2.63
12:08:30,13.24,408.16
12:08:31,1.99,59.03
12:08:32,13.02,394.78
12:08:33,3.22,97.81
12:08:34,11.4,348.23
12:08:35,4.17,126.8
12:08:36,11.31,343.99
12:08:37,2.56,78.31
12:08:38,10.84,326.86
12:08:39,3.03,92.87
12:08:40,10.02,303.69
12:08:41,3.6,110.9
12:08:42,9.03,274.79
12:08:43,4.89,146.51
12:08:44,7.62,232.87
12:08:45,6.24,192.5
12:08:46,7.9,237.09
12:08:47,7.0,210.56
12:08:48,7.14,212.19
12:08:49,10.32,319.51
12:08:50,6.48,192.04
12:08:51,8.42,262.56
12:08:52,5.54,166.15
12:08:53,9.37,287.0
12:08:54,4.12,119.79
12:08:55,9.94,307.69
12:08:56,4.21,118.47
12:08:57,11.74,364.7
12:08:58,3.55,100.93
12:08:59,11.93,369.63
12:09:00,2.79,77.8
12:09:01,13.34,412.29
12:09:02,2.03,54.76
12:09:03,7.95,246.01
12:09:04,0.99,24.31
12:09:05,11.45,358.34
12:09:06,0.56,9.9
12:09:07,12.59,384.22
12:09:08,0.26,2.63
12:09:09,13.42,410.75
12:09:10,0.66,18.58
12:09:11,12.92,391.79
12:09:12,2.08,61.78
12:09:13,11.88,361.76
12:09:14,2.69,78.42
12:09:15,11.49,345.52
12:09:16,3.98,119.5
12:09:17,10.45,312.36
12:09:18,0.0,0.0
12:09:19,9.98,296.22
12:09:20,0.85,24.52
12:09:21,9.23,277.53
12:09:22,4.83,147.59
12:09:23,8.28,251.8
12:09:24,5.77,172.97
12:09:25,7.62,228.24
12:09:26,7.95,244.48
12:09:27,6.86,203.77
12:09:28,8.61,264.36
12:09:29,6.2,186.38
12:09:30,10.32,317.79
12:09:31,5.44,158.86
12:09:32,4.92,148.25
12:09:33,4.68,139.96
12:09:34,9.27,282.46
12:09:35,4.02,115.39
12:09:36,13.42,411.73
12:09:37,12.25,377.51
12:09:38,7.1,219.17
12:09:39,1.84,48.89
12:09:40,10.6,322.68
12:09:41,1.09,25.76
12:09:42,13.73,426.99
12:09:43,0.61,4.37
12:09:44,13.17,406.5
12:09:45,0.16,0.0
12:09:46,13.13,399.14
12:09:47,0.0,0.09
12:09:48,11.49,357.08
12:09:49,2.18,63.27
12:09:50,12.04,361.52
12:09:51,2.27,66.91
12:09:52,11.21,333.67
12:09:53,3.79,113.37
12:09:54,10.28,311.06
12:09:55,4.45,137.16
12:09:56,9.78,292.06
12:09:57,5.2,159.1
12:09:58,7.9,244.34
12:09:59,7.1,216.53
12:10:00,8.09,242.72
12:10:01,7.19,220.71
12:10:02,5.35,152.69
12:10:03,0.0,0.0
12:10:04,6.1,179.59
12:10:05,0.0,0.0
12:10:06,5.91,177.55
12:10:07,8.71,266.43
12:10:08,4.49,129.85
12:10:09,11.17,343.07
12:10:10,4.4,125.61
12:10:11,9.85,300.41
12:10:12,3.55,105.26
12:10:13,10.5,321.96
12:10:14,2.79,80.7
12:10:15,11.17,342.04
12:10:16,2.51,103.82
12:10:17,5.77,340.89
12:10:18,1.37,54.7
12:10:19,7.38,424.07
12:10:20,0.71,17.08
12:10:21,8.39,486.68
12:10:22,0.42,2.63
12:10:23,9.28,553.88
12:10:24,0.16,0.0
12:10:25,12.39,714.07
12:10:26,0.0,0.0
12:10:27,11.59,625.98
12:10:28,3.69,209.33
12:10:29,10.65,613.39
12:10:30,0.0,0.0
12:10:31,11.4,656.05
12:10:32,2.18,121.93
12:10:33,10.74,606.99
12:10:34,3.75,205.03
12:10:35,9.79,563.45
12:10:36,10.7,627.5
12:10:37,8.94,517.29
12:10:38,13.53,795.15
12:10:39,8.03,443.58
12:10:40,12.11,712.3
12:10:41,7.33,400.17
12:10:42,12.68,725.99
12:10:43,8.94,502.81
12:10:44,14.39,842.48
12:10:45,5.95,330.92
12:10:46,14.29,854.57
12:10:47,6.29,352.08
12:10:48,14.37,829.7
12:10:49,14.45,854.6
12:10:50,14.09,824.03
12:10:51,11.54,686.48
12:10:52,8.56,475.43
12:10:53,11.27,673.94
12:10:54,7.99,447.89
12:10:55,14.19,853.9
12:10:56,7.24,405.95
12:10:57,11.55,679.3
12:10:58,6.1,338.02
12:10:59,12.49,726.52
12:11:00,5.25,288.86
12:11:01,12.78,724.64
