time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.006,18688,12,0,24.5,25.7,20.6,25.7,5.1,429724,5,0,0,bbr1
0.007,21256,14,55,24.9,27.5,20.6,27.5,4.6,429724,8,0,0,bbr1
0.005,30823,21,0,23.4,20.2,20.2,27.5,3.8,1197549,17,0,0,bbr1
0.006,31563,21,0,23.7,25.9,20.2,27.5,3.5,1197549,18,0,0,bbr1
0.027,34411,23,25920,24.0,26.2,20.2,27.5,3.2,1197549,38,0,0,bbr1
0.028,34411,23,24480,23.7,21.6,20.2,27.5,3.0,1197549,39,0,0,bbr1
0.034,34411,23,28800,23.8,24.3,20.2,27.5,2.4,1197549,44,0,0,bbr1
0.037,34411,23,30240,24.0,25.3,20.2,27.5,2.2,1212746,47,0,0,bbr1
0.040,34411,23,30240,24.3,26.3,20.2,27.5,2.2,1212746,49,0,0,bbr1
0.043,34411,23,31680,24.6,27.2,20.2,27.5,2.4,1235353,52,0,0,bbr1
0.046,34411,23,31680,25.1,28.2,20.2,28.2,2.7,1235353,54,0,0,bbr1
0.050,34411,23,31680,25.6,29.3,20.2,29.3,3.1,1235353,56,0,0,bbr1
0.053,34411,23,31680,26.2,30.3,20.2,30.3,3.5,1235353,58,0,0,bbr1
0.057,34411,23,31680,26.8,31.2,20.2,31.2,3.9,1235353,60,0,0,bbr1
0.060,37259,25,31680,27.5,32.2,20.2,32.2,4.2,2293919,62,0,0,bbr1
0.063,40107,27,34560,28.2,33.2,20.2,33.2,4.6,2308635,66,0,0,bbr1
0.067,42955,29,37440,28.9,34.1,20.2,34.1,4.9,2319207,70,0,0,bbr1
0.070,45803,31,40320,29.7,35.0,20.2,35.0,5.2,2425952,74,0,0,bbr1
0.074,48651,33,43200,30.5,36.2,20.2,36.2,5.5,2425952,78,0,0,bbr1
0.077,51499,35,46080,31.3,37.2,20.2,37.2,5.8,2425952,82,0,0,bbr1
0.080,54347,37,48960,32.2,38.1,20.2,38.1,6.1,2426869,86,0,0,bbr1
0.084,57195,39,51840,33.1,39.2,20.2,39.2,6.3,2426869,90,0,0,bbr1
0.087,60043,41,54720,34.0,40.2,20.2,40.2,6.5,2427767,94,0,0,bbr1
0.089,60043,41,57600,34.6,39.0,20.2,40.2,6.1,2527451,98,0,0,bbr1
0.092,60043,41,57600,35.1,38.9,20.2,40.2,5.7,2529979,100,0,0,bbr1
0.096,60043,41,57600,35.6,38.9,20.2,40.2,5.2,2529979,102,0,0,bbr1
0.099,60043,41,57600,36.0,39.0,20.2,40.2,4.8,2529979,104,0,0,bbr1
0.104,60043,41,57600,36.9,42.7,20.2,42.7,5.2,2529979,106,0,0,bbr1
0.106,60043,41,57600,37.6,42.4,20.2,42.7,5.3,2529979,108,0,0,bbr1
0.111,60043,41,57600,38.6,46.2,20.2,46.2,6.1,2529979,110,0,0,bbr1
0.113,60043,41,57600,39.5,45.8,20.2,46.2,6.4,2529979,112,0,0,bbr1
0.118,60043,41,57600,40.8,49.7,20.2,49.7,7.3,2529979,114,0,0,bbr1
0.119,60043,41,57600,41.8,49.2,20.2,49.7,7.6,2529979,116,0,0,bbr1
0.125,60043,41,57600,43.2,53.1,20.2,53.1,8.5,2529979,118,0,0,bbr1
0.126,60043,41,57600,44.4,52.4,20.2,53.1,8.7,2529979,121,0,0,bbr1
0.131,60043,41,57600,45.9,56.3,20.2,56.3,9.5,2529979,123,0,0,bbr1
0.133,60043,41,57600,47.1,55.9,20.2,56.3,9.6,2529979,125,0,0,bbr1
0.153,47109,32,43200,56.2,66.1,20.2,66.6,11.6,303884,127,0,0,bbr1
0.158,49957,34,43200,57.9,70.0,20.2,70.0,12.2,303884,129,0,0,bbr1
0.163,52805,36,41760,59.7,72.3,20.2,72.3,12.7,303884,130,0,0,bbr1
0.168,58501,40,37440,62.4,71.2,20.2,72.3,11.8,303884,131,0,0,bbr1
0.172,59692,41,36000,63.5,71.1,20.2,72.3,11.0,303884,132,0,0,bbr1
0.177,59692,41,31680,65.1,71.1,20.2,72.3,9.0,303884,133,0,0,bbr1
0.182,59692,41,30240,65.6,69.3,20.2,72.3,7.8,303884,134,0,0,bbr1
0.186,59692,41,28800,66.3,71.1,20.2,72.3,7.2,303884,135,0,0,bbr1
0.191,44026,30,24480,67.2,71.1,20.2,72.3,5.8,876824,136,0,0,bbr1
0.194,44026,30,25920,67.5,69.2,20.2,72.3,4.8,876824,139,0,0,bbr1
0.197,44026,30,27360,67.9,71.2,20.2,72.3,4.6,876824,141,0,0,bbr1
0.202,44026,30,28800,68.1,69.5,20.2,72.3,3.8,876824,144,0,0,bbr1
0.207,44026,30,28800,68.5,71.4,20.2,72.3,3.7,876824,147,0,0,bbr1
0.007,32199,22,55,50.8,34.3,20.2,72.3,19.4,1096030,152,0,0,bbr1
0.009,32982,22,0,48.1,28.8,20.2,72.3,20.0,1096030,153,0,0,bbr1
0.035,40102,27,25920,45.0,23.9,20.2,72.3,21.1,1096030,176,0,0,bbr1
0.042,44026,30,27360,42.6,25.2,20.2,72.3,20.8,1096030,181,0,0,bbr1
0.048,44026,30,28800,40.6,26.8,20.2,72.3,19.5,1096030,186,0,0,bbr1
0.055,44026,30,30240,39.1,28.3,20.2,72.3,17.7,1096030,191,0,0,bbr1
0.061,44026,30,31680,37.9,29.8,20.2,72.3,15.6,1096030,196,0,0,bbr1
0.069,44026,30,33120,37.1,31.3,20.2,72.3,13.3,657618,201,0,0,bbr1
0.076,44026,30,31680,36.5,32.7,20.2,72.3,11.1,657618,204,0,0,bbr1
0.082,44026,30,30240,36.3,34.4,20.2,72.3,8.9,657618,207,0,0,bbr1
0.088,44026,30,28800,36.2,35.8,20.2,72.3,6.8,657618,210,0,0,bbr1
0.095,44026,30,27360,36.3,37.3,20.2,72.3,5.3,657618,213,0,0,bbr1
0.102,44026,30,25920,36.7,38.9,20.2,72.3,4.6,657618,216,0,0,bbr1
0.110,44026,30,25920,37.0,39.4,20.2,72.3,4.2,876824,220,0,0,bbr1
0.116,44026,30,25920,37.0,37.2,20.2,72.3,3.2,876824,224,0,0,bbr1
0.123,44026,30,25920,36.8,35.3,20.2,72.3,2.8,876824,228,0,0,bbr1
0.130,44026,30,25920,36.4,33.6,20.2,72.3,2.9,876824,232,0,0,bbr1
0.136,44026,30,25920,35.8,31.6,20.2,72.3,3.4,876824,236,0,0,bbr1
0.143,27709,19,25920,35.2,30.7,20.2,72.3,3.8,876824,240,0,0,bbr1
0.149,33405,23,23040,34.6,30.4,20.2,72.3,4.0,876824,242,0,0,bbr1
0.158,39101,27,25920,34.1,31.1,20.2,72.3,3.9,876824,248,0,0,bbr1
0.164,44026,30,25920,33.8,31.3,20.2,72.3,3.6,1096030,252,0,0,bbr1
0.170,44026,30,27360,33.5,31.6,20.2,72.3,3.3,1096030,257,0,0,bbr1
0.177,44026,30,28800,33.3,31.5,20.2,72.3,3.0,1096030,262,0,0,bbr1
0.183,44026,30,30240,32.9,30.5,20.2,72.3,2.9,1096030,267,0,0,bbr1
0.191,44026,30,33120,32.6,30.7,20.2,72.3,2.7,1096030,273,0,0,bbr1
0.198,44026,30,34560,32.5,31.6,20.2,72.3,2.3,657618,278,0,0,bbr1
0.205,44026,30,33120,32.5,32.8,20.2,72.3,1.8,657618,281,0,0,bbr1
0.212,44026,30,31680,32.8,34.6,20.2,72.3,1.9,657618,284,0,0,bbr1
