time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.006,3072,2,0,21.0,20.3,20.3,21.1,6.2,419215,5,1,1,bbr1
0.005,6904,4,0,22.4,26.8,20.3,26.8,5.8,151554,7,1,1,bbr1
0.029,9752,6,2880,22.8,25.6,20.3,26.8,5.1,151554,11,1,1,bbr1
0.038,11176,7,2880,23.1,25.5,20.3,26.8,4.5,151554,12,1,1,bbr1
0.048,12600,8,2880,23.4,25.5,20.3,26.8,4.0,151554,13,1,1,bbr1
0.006,14747,10,0,23.4,20.1,20.1,26.8,2.9,303206,16,1,1,bbr1
0.029,14783,10,7200,23.8,26.4,20.1,26.8,2.9,305011,23,1,1,bbr1
0.034,14783,10,5760,23.4,20.4,20.1,26.8,3.0,305011,24,1,1,bbr1
0.043,14783,10,5760,23.0,20.4,20.1,26.8,3.0,305011,26,1,1,bbr1
0.050,17631,12,5760,22.7,20.6,20.1,26.8,2.9,593793,28,1,1,bbr1
0.059,20479,14,8640,22.4,20.5,20.1,26.8,2.7,603564,32,1,1,bbr1
0.070,20797,14,11520,22.2,20.5,20.1,26.8,2.5,603564,36,1,1,bbr1
0.073,23342,16,11520,22.0,20.5,20.1,26.8,2.3,729899,38,1,1,bbr1
0.079,24881,17,12960,21.8,20.5,20.1,26.8,2.1,806290,41,1,1,bbr1
0.082,27729,19,12960,21.6,20.5,20.1,26.8,1.9,964061,43,1,1,bbr1
0.088,28835,20,15840,21.5,20.4,20.1,26.8,1.7,1002578,47,1,1,bbr1
0.092,31683,22,17280,21.3,20.4,20.1,26.8,1.6,1177485,50,1,1,bbr1
0.096,33059,22,18720,21.2,20.4,20.1,26.8,1.4,1212256,53,1,1,bbr1
0.100,34662,24,20160,21.1,20.6,20.1,26.8,1.2,1291854,56,1,1,bbr1
0.103,36465,25,21600,21.0,20.4,20.1,26.8,1.1,1381363,59,1,1,bbr1
0.106,37925,26,23040,21.0,20.4,20.1,26.8,1.0,1453843,62,1,1,bbr1
0.109,40323,28,24480,20.9,20.3,20.1,26.8,0.9,1572906,65,1,1,bbr1
0.112,41375,28,25920,20.8,20.4,20.1,26.8,0.8,1625105,68,1,1,bbr1
0.115,44223,30,28800,20.8,21.0,20.1,26.8,0.7,1770540,72,1,1,bbr1
0.118,45117,31,31680,21.0,21.8,20.1,26.8,0.7,1810895,76,1,1,bbr1
0.122,45117,31,34560,21.2,22.7,20.1,26.8,1.0,1810895,80,1,1,bbr1
0.125,45117,31,38880,21.5,23.9,20.1,26.8,1.4,1810895,85,1,1,bbr1
0.129,45117,31,41760,22.0,25.2,20.1,26.8,2.0,1810895,89,1,1,bbr1
0.132,45117,31,43200,22.6,26.8,20.1,26.8,2.7,1810895,92,1,1,bbr1
0.135,45117,31,43200,23.2,27.9,20.1,27.9,3.4,1810895,94,1,1,bbr1
0.138,45117,31,43200,24.0,29.5,20.1,29.5,4.1,1810895,96,1,1,bbr1
0.142,45117,31,43200,24.9,31.3,20.1,31.3,4.9,1810895,98,1,1,bbr1
0.145,45117,31,43200,25.9,32.8,20.1,32.8,5.6,1810895,100,1,1,bbr1
0.149,45117,31,43200,27.0,34.6,20.1,34.6,6.4,1810895,102,1,1,bbr1
0.152,45117,31,43200,28.1,35.8,20.1,35.8,7.0,1810895,104,1,1,bbr1
0.155,45117,31,43200,29.3,37.6,20.1,37.6,7.6,1810895,106,1,1,bbr1
0.159,45117,31,43200,30.6,39.8,20.1,39.8,8.3,1810895,108,1,1,bbr1
0.162,45117,31,43200,32.0,41.6,20.1,41.6,9.0,1810895,110,1,1,bbr1
0.165,45117,31,43200,33.4,43.3,20.1,43.3,9.6,1810895,112,1,1,bbr1
0.169,45117,31,43200,34.9,45.1,20.1,45.1,10.1,1810895,114,1,1,bbr1
0.172,45117,31,43200,36.4,47.1,20.1,47.1,10.6,1810895,116,1,1,bbr1
0.176,45117,31,43200,37.9,48.7,20.1,48.7,11.1,1810895,118,1,1,bbr1
0.179,45117,31,43200,39.5,50.5,20.1,50.5,11.4,1810895,120,1,1,bbr1
0.182,45117,31,43200,41.1,52.3,20.1,52.3,11.8,1810895,122,1,1,bbr1
0.184,45117,31,43200,42.5,52.3,20.1,52.3,11.6,1810895,124,1,1,bbr1
0.188,45117,31,43200,43.7,52.4,20.1,52.4,11.2,1810895,126,1,1,bbr1
0.191,45117,31,43200,44.8,52.5,20.1,52.5,10.6,1810895,128,1,1,bbr1
0.194,45117,31,43200,45.8,52.4,20.1,52.5,9.8,1810895,130,1,1,bbr1
0.198,45117,31,43200,46.6,52.4,20.1,52.5,9.0,1810895,132,1,1,bbr1
0.201,45117,31,43200,47.3,52.3,20.1,52.5,8.2,1810895,134,1,1,bbr1
0.205,45117,31,43200,47.9,52.4,20.1,52.5,7.4,1810895,136,1,1,bbr1
0.208,45117,31,43200,48.5,52.4,20.1,52.5,6.7,1810895,138,1,1,bbr1
0.211,45117,31,43200,49.0,52.4,20.1,52.5,6.0,1810895,140,1,1,bbr1
0.215,45117,31,43200,49.4,52.3,20.1,52.5,5.3,1810895,142,1,1,bbr1
0.218,45117,31,43200,49.8,52.5,20.1,52.5,4.8,1810895,144,1,1,bbr1
0.221,45117,31,43200,50.1,52.5,20.1,52.5,4.2,1810895,146,1,1,bbr1
0.225,45117,31,43200,50.4,52.4,20.1,52.5,3.7,1810895,148,1,1,bbr1
0.228,45117,31,43200,50.7,52.4,20.1,52.5,3.3,1810895,150,1,1,bbr1
0.250,39646,27,28800,51.8,54.1,20.1,54.1,2.7,1810895,152,1,1,bbr1
0.257,45117,31,34560,52.1,54.2,20.1,54.2,2.6,1810895,160,1,1,bbr1
0.006,45117,31,55,48.7,45.7,20.1,54.2,5.4,1810895,165,1,1,bbr1
0.010,45117,31,0,46.0,27.3,20.1,54.2,9.4,1810895,166,1,1,bbr1
0.035,45117,31,38880,43.3,23.9,20.1,54.2,12.6,1810895,199,1,1,bbr1
0.042,45117,31,40320,41.3,27.5,20.1,54.2,13.4,1810895,204,1,1,bbr1
0.048,45117,31,40320,40.0,31.1,20.1,54.2,12.6,1810895,208,1,1,bbr1
0.055,45117,31,40320,39.4,34.7,20.1,54.2,10.8,1810895,212,1,1,bbr1
0.062,45117,31,41760,39.2,37.7,20.1,54.2,8.5,1810895,216,1,1,bbr1
0.067,45117,31,40320,39.4,41.3,20.1,54.2,6.9,1810895,219,1,1,bbr1
0.074,45117,31,40320,40.1,44.9,20.1,54.2,6.6,1810895,223,1,1,bbr1
