time_hms,kb_per_sec_in,kb_per_sec_out
21:31:26,7.81,225.23
21:31:27,14.29,851.25
21:31:28,8.7,481.12
21:31:29,14.54,853.61
21:31:30,4.02,207.1
21:31:31,7.19,412.52
21:31:32,2.79,147.52
21:31:33,14.29,853.65
21:31:34,4.68,257.71
21:31:35,14.0,832.77
21:31:36,0.8,31.36
21:31:37,14.57,853.63
21:31:38,5.82,317.4
21:31:39,13.44,782.16
21:31:40,0.26,2.59
21:31:41,13.6,812.85
21:31:42,2.93,169.9
21:31:43,13.29,772.59
21:31:44,8.21,481.58
21:31:45,12.64,729.53
21:31:46,1.74,98.4
21:31:47,10.08,567.17
21:31:48,8.71,511.19
21:31:49,10.55,610.57
21:31:50,5.77,339.93
21:31:51,10.08,569.1
21:31:52,14.08,828.68
21:31:53,14.36,854.15
21:31:54,14.27,828.24
21:31:55,6.91,403.67
21:31:56,12.66,387.99
21:31:57,10.04,278.76
21:31:58,9.62,223.8
21:31:59,12.68,270.05
21:32:00,11.59,229.96
21:32:01,11.69,238.35
21:32:02,10.83,219.38
21:32:03,11.07,226.02
21:32:04,12.61,215.47
21:32:05,7.1,130.63
21:32:06,2.22,35.76
21:32:07,12.21,251.12
21:32:08,9.13,177.56
21:32:09,12.59,250.04
21:32:10,11.4,216.33
21:32:11,11.96,234.03
21:32:12,9.39,178.72
21:32:13,11.73,212.68
21:32:14,0.16,0.0
21:32:15,11.47,213.17
21:32:16,0.0,0.0
21:32:17,10.64,213.29
21:32:18,12.87,225.6
21:32:19,10.99,189.64
21:32:20,1.42,27.35
21:32:21,9.7,184.59
21:32:22,8.76,164.58
21:32:23,8.28,181.57
21:32:24,9.27,181.77
21:32:25,8.47,145.65
21:32:26,12.3,234.04
21:32:27,9.01,158.59
21:32:28,1.32,22.42
21:32:29,6.39,119.48
21:32:30,5.21,96.35
21:32:31,6.2,136.96
21:32:32,4.98,95.48
21:32:33,5.06,103.5
21:32:34,10.32,238.37
21:32:35,12.01,225.99
21:32:36,11.73,233.94
21:32:37,9.1,166.78
21:32:38,5.55,131.15
21:32:39,3.55,64.7
21:32:40,12.3,245.25
21:32:41,8.85,146.64
21:32:42,12.3,244.2
21:32:43,8.85,167.68
21:32:44,12.49,233.93
21:32:45,10.24,181.37
21:32:46,9.46,200.74
21:32:47,0.9,12.66
21:32:48,11.54,222.46
21:32:49,0.42,2.59
21:32:50,11.16,218.48
21:32:51,0.16,0.0
21:32:52,9.79,202.62
21:32:53,0.0,0.0
21:32:54,10.83,219.31
21:32:55,10.12,207.72
21:32:56,10.64,200.31
21:32:57,12.59,241.26
21:32:58,11.18,217.17
21:32:59,0.99,15.2
21:33:00,9.04,170.07
21:33:01,3.41,58.29
21:33:02,7.02,124.25
21:33:03,0.0,0.0
21:33:04,8.09,175.94
21:33:05,9.37,204.81
21:33:06,6.76,131.0
21:33:07,12.3,229.59
21:33:08,8.44,161.52
21:33:09,3.47,64.87
21:33:10,5.86,106.68
21:33:11,11.92,244.19
21:33:12,11.1,201.28
21:33:13,5.84,110.07
21:33:14,4.78,80.57
21:33:15,13.06,231.19
21:33:16,12.03,209.69
21:33:17,3.76,63.88
21:33:18,3.07,48.86
21:33:19,5.87,108.45
21:33:20,2.22,35.76
21:33:21,9.27,170.25
21:33:22,1.75,25.68
21:33:23,8.99,181.02
21:33:24,0.9,13.02
21:33:25,11.07,201.64
21:33:26,0.42,2.59
21:33:27,10.7,192.37
21:33:28,0.16,0.0
21:33:29,11.24,226.78
21:33:30,0.0,0.0
