time_hms,kb_per_sec_in,kb_per_sec_out
19:17:15,0.0,0.0
19:17:16,0.0,0.0
19:17:17,0.0,0.2
19:17:18,0.07,0.07
19:17:19,0.0,0.07
19:17:20,0.0,0.0
19:17:21,0.0,0.4
19:17:22,0.0,0.0
19:17:23,0.0,0.0
19:17:24,0.0,0.0
19:17:25,0.0,0.0
19:17:26,0.0,0.0
19:17:27,0.0,0.0
19:17:28,0.0,0.0
19:17:29,0.0,0.0
19:17:30,0.0,0.0
19:17:31,0.0,0.21
19:17:32,0.0,0.0
19:17:33,0.0,0.0
19:17:34,0.0,0.07
19:17:35,0.07,0.0
19:17:36,0.0,0.0
19:17:37,0.0,0.46
19:17:38,0.0,0.0
19:17:39,0.0,0.0
19:17:40,0.0,0.0
19:17:41,0.0,0.0
19:17:42,0.0,0.0
19:17:43,0.0,0.0
19:17:44,0.04,0.04
19:17:45,18.03,541.81
19:17:46,12.49,426.82
19:17:47,11.29,412.15
19:17:48,10.04,426.96
19:17:49,12.09,416.61
19:17:50,13.14,404.63
19:17:51,9.28,413.53
19:17:52,10.61,419.51
19:17:53,10.32,469.64
19:17:54,10.54,419.43
19:17:55,13.21,788.66
19:17:56,11.01,395.89
19:17:57,9.56,422.36
19:17:58,10.2,419.43
19:17:59,11.84,667.83
19:18:00,11.69,471.25
19:18:01,12.83,683.91
19:18:02,13.57,635.07
19:18:03,14.77,851.94
19:18:04,13.66,623.64
19:18:05,14.46,770.96
19:18:06,12.93,539.04
19:18:07,12.2,649.61
19:18:08,12.63,572.04
19:18:09,11.89,626.59
19:18:10,13.69,585.08
19:18:11,11.23,611.43
19:18:12,12.97,612.99
19:18:13,11.8,643.85
19:18:14,14.65,626.25
19:18:15,10.23,456.37
19:18:16,13.41,666.47
19:18:17,8.48,497.72
19:18:18,14.09,701.52
19:18:19,11.85,485.91
19:18:20,14.29,709.16
19:18:21,9.86,423.87
19:18:22,14.42,708.76
19:18:23,11.51,559.71
19:18:24,15.21,772.89
19:18:25,11.74,484.41
19:18:26,13.76,779.79
19:18:27,11.71,435.68
19:18:28,13.57,768.37
19:18:29,12.16,448.96
19:18:30,15.03,828.54
19:18:31,11.6,415.0
19:18:32,13.4,756.51
19:18:33,13.43,425.34
19:18:34,12.35,682.32
19:18:35,12.7,443.21
19:18:36,13.41,674.93
19:18:37,12.35,453.41
19:18:38,12.89,692.67
19:18:39,12.59,495.06
19:18:40,11.98,652.7
19:18:41,12.39,518.23
19:18:42,12.27,720.66
