time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.006,3072,2,0,21.6,20.2,20.2,23.5,5.4,888888,5,1,1,cubic
0.005,4761,3,0,23.0,28.5,20.2,28.5,5.6,888888,7,1,1,cubic
0.027,7719,5,2880,23.6,27.3,20.2,28.5,5.3,888888,11,1,1,cubic
0.005,10192,7,922,24.1,22.0,20.2,30.7,4.9,888888,14,1,1,cubic
0.005,10192,7,0,24.3,26.0,20.2,30.7,3.3,888888,15,1,1,cubic
0.028,13150,9,8640,24.7,27.5,20.2,30.7,3.3,531914,23,1,1,cubic
0.033,11771,8,10080,25.5,30.9,20.2,30.9,4.0,461625,26,1,1,cubic
0.036,11783,8,8640,26.6,34.3,20.2,34.3,5.2,442969,27,1,1,cubic
0.038,9019,6,7200,28.0,37.6,20.2,37.6,6.7,442969,28,1,1,cubic
0.050,9054,6,7200,27.2,21.9,20.2,37.6,6.5,442969,30,1,1,cubic
0.053,9065,6,7200,26.3,20.2,20.2,37.6,6.7,442969,32,1,1,cubic
0.058,9079,6,7200,25.6,20.7,20.2,37.6,6.4,442969,34,1,1,cubic
0.065,9099,6,8640,25.2,22.3,20.2,37.6,5.7,442969,36,1,1,cubic
0.071,9117,6,7200,24.8,21.9,20.2,37.6,5.1,442969,37,1,1,cubic
0.075,9486,6,7200,24.4,21.9,20.2,37.6,4.5,442969,39,1,1,cubic
0.080,9918,6,7200,24.1,21.9,20.2,37.6,4.0,442969,41,1,1,cubic
0.091,10125,7,8640,23.6,20.2,20.2,37.6,4.0,442969,43,1,1,cubic
0.093,10530,7,8640,23.4,22.0,20.2,37.6,3.4,442969,46,1,1,cubic
0.097,10920,7,8640,23.2,21.9,20.2,37.6,2.9,442969,48,1,1,cubic
0.102,11295,7,8640,23.1,22.0,20.2,37.6,2.5,442969,50,1,1,cubic
0.113,11658,8,8640,22.9,21.9,20.2,37.6,2.2,508705,52,1,1,cubic
0.115,11834,8,10080,22.6,20.7,20.2,37.6,2.2,522587,54,1,1,cubic
