Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,799.0,0,0.0,4.22,1.053
2,4126.0,0,0.0,4.15,1.0375
3,4817.0,0,0.0,4.09,1.0259999999999998
4,2546.0,0,0.0,4.05,1.0165
5,3756.0,0,0.0,4.025,1.009
6,4363.0,0,0.0,4.015,1.005
7,4758.0,0,0.0,4.005,1.003
8,4517.0,0,0.0,4.0,1.001
9,5021.0,0,0.0,4.0,1.001
10,4861.0,0,0.0,4.0,1.001
11,2755.0,0,0.0,4.0,1.001
12,3572.0,0,0.0,3.9933333333333336,1.001
13,5019.0,0,0.0,3.99,1.001
14,4771.0,0,0.0,3.99,1.001
15,4870.0,0,0.0,3.99,1.001
16,4337.0,0,0.0,3.99,1.001
17,4249.0,0,0.0,3.98,1.001
18,2284.0,1,0.0,3.98,1.001
19,3176.0,0,0.0,3.98,1.001
20,1531.0,0,0.0,3.98,1.001
21,1697.0,0,0.0,3.98,1.001
22,1115.0,0,0.0,3.98,0.9989999999999999
23,1433.0,0,0.0,3.98,0.997
24,1747.0,0,0.0,3.99,0.997
25,1581.0,0,0.0,3.99,0.997
26,1540.0,0,0.0,3.9966666666666666,0.997
27,1622.0,0,0.0,4.0,0.9989999999999999
28,1653.0,0,0.0,4.0,1.001
29,1726.0,0,0.0,4.0,1.001
30,1729.0,0,0.0,4.0,1.001
31,1741.0,0,0.0,4.0,1.001
32,1779.0,0,0.0,3.99,1.001
33,1790.0,0,0.0,3.99,1.001
34,581.0,0,0.0,3.99,1.001
35,687.0,0,0.0,3.99,1.001
36,1714.0,0,0.0,3.99,1.001
37,1826.0,0,0.0,3.98,1.001
38,1642.0,0,0.0,3.98,1.001
39,1648.0,0,0.0,3.98,1.001
40,1632.0,0,0.0,3.98,1.001
41,1718.0,0,0.0,3.98,0.9989999999999999
42,1850.0,0,0.0,3.983333333333333,0.997
43,1944.0,0,0.0,3.99,0.997
44,1111.0,0,0.0,3.995,0.997
45,1403.0,0,0.0,4.0,0.9983333333333334
46,1671.0,0,0.0,4.0,1.001
47,1237.0,0,0.0,4.0,1.001
48,1813.0,0,0.0,4.0,1.001
49,1902.0,0,0.0,4.0,1.001
50,1834.0,0,0.0,3.995,1.001
51,1629.0,0,0.0,3.99,1.001
52,1618.0,0,0.0,3.99,1.001
53,1599.0,0,0.0,3.99,1.001
54,1624.0,0,0.0,3.9850000000000003,1.001
55,1640.0,0,0.0,3.98,1.001
56,1728.0,0,0.0,3.98,1.001
57,2054.0,0,0.0,3.98,1.001
58,1755.0,0,0.0,3.98,1.001
59,1749.0,0,0.0,3.98,1.001
60,1650.0,0,0.0,3.98,0.997
61,1865.0,0,0.0,3.99,0.997
62,1816.0,0,0.0,3.99,0.997
63,1893.0,0,0.0,3.99,0.997
64,1157.0,0,0.0,4.0,0.997
65,1475.0,0,0.0,4.0,1.001
66,1519.0,0,0.0,4.0,1.001
67,1667.0,0,0.0,4.0,1.001
68,1751.0,0,0.0,4.0,1.001
69,1697.0,0,0.0,3.995,1.001
70,1795.0,0,0.0,3.99,1.001
71,1203.0,0,0.0,3.99,1.001
72,1235.0,0,0.0,3.99,1.001
73,1640.0,0,0.0,3.99,1.001
74,1638.0,0,0.0,3.98,1.001
75,1825.0,0,0.0,3.98,1.001
76,1807.0,0,0.0,3.98,1.001
77,1947.0,0,0.0,3.98,1.001
78,1182.0,0,0.0,3.98,0.9996666666666666
79,3176.0,1,0.0,3.98,0.997
80,3057.0,0,0.0,3.99,0.997
81,3595.0,0,0.0,4.0,0.997
82,2302.0,0,0.0,4.0,0.997
83,2922.0,0,0.0,4.0,1.001
84,3292.0,0,0.0,4.0,1.001
85,3208.0,1,0.0,4.0,1.0
86,4182.0,0,0.0,4.0,1.0
87,3688.0,0,0.0,4.0,1.0
88,4385.0,0,0.0,4.0,1.0
89,4547.0,0,0.0,4.0,1.0
90,4593.0,0,0.0,4.0,1.0
