time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.006,3072,2,0,21.6,20.3,20.3,23.2,5.4,920381,5,1,1,cubic
0.006,16938,11,55,23.2,29.3,20.3,29.3,5.9,730243,8,1,1,cubic
0.007,16993,11,2880,23.3,23.8,20.3,29.3,4.6,730253,10,1,1,cubic
0.006,17908,12,0,24.5,25.8,20.3,29.3,2.9,730253,15,1,1,cubic
0.006,18096,12,0,24.8,26.6,20.3,29.3,2.7,730266,16,1,1,cubic
0.028,21189,14,15840,25.1,27.5,20.3,29.3,2.7,843645,29,1,1,cubic
0.044,9350,6,7200,26.1,26.7,20.3,29.3,1.8,476820,33,1,1,cubic
0.048,9360,6,7200,25.4,20.3,20.3,29.3,2.8,476820,35,1,1,cubic
0.051,9370,6,7200,25.2,23.7,20.3,29.3,2.5,476820,37,1,1,cubic
0.058,9390,6,8640,25.1,24.8,20.3,29.3,2.0,476820,39,1,1,cubic
0.066,9609,6,7200,24.7,21.9,20.3,29.3,2.3,476820,40,1,1,cubic
0.070,10036,6,7200,24.4,21.9,20.3,29.3,2.4,476820,42,1,1,cubic
0.073,10444,7,7200,24.1,21.9,20.3,29.3,2.4,476820,44,1,1,cubic
0.083,10640,7,10080,24.2,25.3,20.3,29.3,2.1,476820,47,1,1,cubic
0.088,11026,7,8640,24.0,22.0,20.3,29.3,2.2,476820,48,1,1,cubic
0.092,11398,7,8640,23.7,22.0,20.3,29.3,2.1,476820,50,1,1,cubic
0.095,11758,8,8640,23.5,21.9,20.3,29.3,2.0,500830,52,1,1,cubic
0.102,11932,8,11520,23.5,23.6,20.3,29.3,1.6,507960,55,1,1,cubic
0.109,12276,8,10080,23.1,20.2,20.2,29.3,2.0,531889,56,1,1,cubic
0.112,12610,8,10080,22.7,20.2,20.2,29.3,2.2,555139,58,1,1,cubic
0.116,12935,8,10080,22.4,20.3,20.2,29.3,2.3,577249,60,1,1,cubic
0.121,13252,9,10080,22.2,20.5,20.2,29.3,2.2,597798,62,1,1,cubic
0.128,13407,9,12960,22.6,25.3,20.2,29.3,2.4,594202,65,1,1,cubic
0.131,13713,9,11520,22.5,21.9,20.2,29.3,2.0,610063,67,1,1,cubic
0.135,14012,9,11520,22.2,20.4,20.2,29.3,2.0,630546,69,1,1,cubic
0.140,14304,9,11520,22.0,20.1,20.1,29.3,2.0,651366,71,1,1,cubic
0.144,14591,10,11520,21.7,20.2,20.1,29.3,2.0,671159,73,1,1,cubic
0.151,14872,10,12960,21.5,20.2,20.1,29.3,1.9,690372,76,1,1,cubic
0.153,15010,10,12960,21.4,20.2,20.1,29.3,1.7,702287,77,1,1,cubic
0.157,15283,10,12960,21.2,20.2,20.1,29.3,1.6,720081,79,1,1,cubic
0.160,15552,10,12960,21.1,20.2,20.1,29.3,1.5,737306,81,1,1,cubic
0.164,15815,10,12960,21.0,20.1,20.1,29.3,1.3,754100,83,1,1,cubic
0.169,16075,11,12960,20.9,20.1,20.1,29.3,1.2,770355,85,1,1,cubic
0.174,16330,11,14400,20.8,20.2,20.1,29.3,1.1,785624,88,1,1,cubic
0.178,16581,11,14400,20.7,20.1,20.1,29.3,1.0,800898,90,1,1,cubic
0.181,16828,11,14400,20.6,20.2,20.1,29.3,0.9,815507,92,1,1,cubic
0.185,17072,11,14400,20.6,20.2,20.1,29.3,0.7,829341,94,1,1,cubic
0.189,17312,12,14400,20.5,20.1,20.1,29.3,0.7,843253,96,1,1,cubic
0.193,17549,12,15840,20.5,20.2,20.1,29.3,0.6,856717,99,1,1,cubic
0.005,17783,12,0,20.4,20.2,20.1,29.3,0.3,869754,102,1,1,cubic
0.008,17783,12,0,21.2,26.2,20.1,29.3,1.7,840406,103,1,1,cubic
0.031,18013,12,15840,22.3,30.5,20.1,30.5,3.6,806925,116,1,1,cubic
0.034,18241,12,15840,22.7,25.2,20.1,30.5,3.4,804241,118,1,1,cubic
0.037,18466,12,15840,23.4,28.5,20.1,30.5,4.0,788909,120,1,1,cubic
0.041,18688,12,15840,24.0,28.2,20.1,30.5,4.2,778374,122,1,1,cubic
0.044,18907,13,15840,24.5,28.2,20.1,30.5,4.2,770613,124,1,1,cubic
0.047,19124,13,17280,25.0,28.1,20.1,30.5,4.0,765695,127,1,1,cubic
0.051,19339,13,17280,24.4,20.2,20.1,30.5,4.2,793232,129,1,1,cubic
0.054,19551,13,17280,23.9,20.3,20.1,30.5,4.2,819027,131,1,1,cubic
0.058,19760,13,17280,23.4,20.4,20.1,30.5,4.0,842931,133,1,1,cubic
0.061,19968,13,17280,23.1,20.4,20.1,30.5,3.8,865952,135,1,1,cubic
0.064,20173,14,17280,22.7,20.4,20.1,30.5,3.5,887622,137,1,1,cubic
0.071,20580,14,15840,22.6,21.8,20.1,30.5,2.8,910297,140,1,1,cubic
0.078,20979,14,15840,22.5,21.5,20.1,30.5,2.4,933727,144,1,1,cubic
0.085,21370,14,15840,22.3,21.5,20.1,30.5,2.0,956280,148,1,1,cubic
0.092,21657,15,17280,22.3,21.8,20.1,30.5,1.7,971950,152,1,1,cubic
0.098,21941,15,18720,22.5,23.9,20.1,30.5,1.6,976109,156,1,1,cubic
0.103,22315,15,17280,22.7,23.9,20.1,30.5,1.6,985079,159,1,1,cubic
0.110,22683,15,17280,22.9,24.9,20.1,30.5,1.8,988883,163,1,1,cubic
0.117,23044,16,17280,23.2,24.9,20.1,30.5,1.8,994004,167,1,1,cubic
0.123,23400,16,18720,23.4,25.3,20.1,30.5,1.9,997995,172,1,1,cubic
0.130,23751,16,18720,23.9,26.9,20.1,30.5,2.3,994722,176,1,1,cubic
0.137,24096,16,18720,24.3,26.9,20.1,30.5,2.5,993321,180,1,1,cubic
0.144,24437,16,18720,24.6,27.1,20.1,30.5,2.6,992970,184,1,1,cubic
0.150,24772,17,18720,24.9,27.1,20.1,30.5,2.5,993981,188,1,1,cubic
0.157,25103,17,20160,25.2,27.1,20.1,30.5,2.4,996625,193,1,1,cubic
0.164,25430,17,20160,25.4,27.0,20.1,30.5,2.3,1000432,197,1,1,cubic
0.171,25753,17,20160,25.6,27.0,20.1,30.5,2.1,1005308,201,1,1,cubic
0.178,25991,18,21600,25.6,25.3,20.1,30.5,1.7,1016186,205,1,1,cubic
0.183,26307,18,21600,25.5,25.3,20.1,30.5,1.3,1029789,209,1,1,cubic
0.189,26541,18,23040,26.1,30.2,20.1,30.5,2.1,1015767,213,1,1,cubic
0.195,26850,18,21600,26.7,30.5,20.1,30.5,2.7,1006711,216,1,1,cubic
0.201,27155,18,21600,27.1,30.5,20.1,30.5,3.0,1000405,220,1,1,cubic
0.208,27457,19,21600,27.6,30.4,20.1,30.5,3.0,996551,224,1,1,cubic
0.215,27756,19,23040,28.1,32.1,20.1,32.1,3.4,987125,229,1,1,cubic
0.222,28052,19,23040,28.0,27.0,20.1,32.1,2.8,1002788,233,1,1,cubic
0.228,28344,19,23040,27.9,27.1,20.1,32.1,2.4,1017226,237,1,1,cubic
0.235,28633,19,23040,27.8,27.1,20.1,32.1,2.0,1031336,241,1,1,cubic
0.242,28848,20,24480,28.3,32.2,20.1,32.2,2.6,1018895,245,1,1,cubic
0.247,29133,20,24480,28.8,32.2,20.1,32.2,2.9,1011808,249,1,1,cubic
0.254,29414,20,24480,29.2,32.2,20.1,32.2,3.0,1006880,253,1,1,cubic
0.261,29623,20,25920,29.4,30.4,20.1,32.2,2.6,1008785,257,1,1,cubic
0.266,29900,20,24480,29.5,30.4,20.1,32.2,2.2,1013593,260,1,1,cubic
0.272,30174,20,24480,29.6,30.5,20.1,32.2,1.9,1018669,264,1,1,cubic
0.279,30446,21,24480,29.9,32.2,20.1,32.2,2.1,1016832,268,1,1,cubic
0.286,30716,21,25920,30.2,32.2,20.1,32.2,2.1,1016412,273,1,1,cubic
0.293,30983,21,25920,30.5,32.1,20.1,32.2,2.0,1017470,277,1,1,cubic
0.300,31247,21,25920,30.9,33.8,20.1,33.8,2.4,1012179,281,1,1,cubic
0.306,31510,21,25920,31.2,33.8,20.1,33.8,2.5,1008933,285,1,1,cubic
0.313,31770,22,25920,31.5,33.7,20.1,33.8,2.5,1007292,289,1,1,cubic
