time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.3,20.1,20.1,21.5,4.9,902977,5,1,1,cubic
0.007,3072,2,0,23.0,28.5,20.1,28.5,5.7,902977,7,1,1,cubic
0.028,5920,4,1440,23.5,27.4,20.1,28.5,5.4,902977,10,1,1,cubic
0.006,7344,5,0,23.1,20.4,20.1,28.5,4.3,902977,14,1,1,cubic
0.006,7344,5,0,23.7,27.5,20.1,28.5,4.3,902977,15,1,1,cubic
0.101,7387,5,1490,49.3,101.4,20.1,101.4,40.4,264283,23,2,2,cubic
0.111,7442,5,7200,45.7,20.3,20.1,101.4,37.5,264283,28,2,2,cubic
0.122,8506,5,2880,39.7,20.3,20.1,101.4,31.5,264283,29,2,2,cubic
0.132,8988,6,5760,37.3,20.2,20.1,101.4,28.5,264283,33,2,2,cubic
0.142,9879,6,4320,33.3,20.4,20.1,101.4,22.9,264283,36,2,2,cubic
0.152,10294,7,7200,31.7,20.3,20.1,101.4,20.4,264283,40,2,2,cubic
0.157,10493,7,10080,30.3,20.3,20.1,101.4,18.2,264283,43,2,2,cubic
0.162,11261,7,5760,27.9,20.2,20.1,101.4,14.3,264283,44,2,2,cubic
0.172,11625,8,8640,26.9,20.2,20.1,101.4,12.7,431370,48,2,2,cubic
0.179,11978,8,10080,26.1,20.1,20.1,101.4,11.2,459015,51,2,2,cubic
0.185,12653,8,7200,24.7,20.2,20.1,101.4,8.7,511894,53,2,2,cubic
0.193,12977,9,8640,24.2,20.2,20.1,101.4,7.6,537238,56,2,2,cubic
0.201,13293,9,10080,23.7,20.2,20.1,101.4,6.7,561715,59,2,2,cubic
0.206,13602,9,10080,23.2,20.2,20.1,101.4,5.9,585485,61,2,2,cubic
0.211,13903,9,10080,22.8,20.1,20.1,101.4,5.2,608579,63,2,2,cubic
0.218,14198,9,11520,22.5,20.2,20.1,101.4,4.6,630685,66,2,2,cubic
0.223,14487,10,11520,22.2,20.2,20.1,101.4,4.0,651804,68,2,2,cubic
0.227,14770,10,11520,22.0,20.2,20.1,101.4,3.5,672096,70,2,2,cubic
0.233,15048,10,12960,21.8,20.2,20.1,101.4,3.1,691798,73,2,2,cubic
0.237,15320,10,12960,21.6,20.2,20.1,101.4,2.7,710674,75,2,2,cubic
0.241,15588,10,12960,21.4,20.1,20.1,101.4,2.4,729092,77,2,2,cubic
0.245,15851,11,12960,21.2,20.2,20.1,101.4,2.1,746526,79,2,2,cubic
0.249,16110,11,12960,21.1,20.2,20.1,101.4,1.8,763507,81,2,2,cubic
0.254,16364,11,14400,21.0,20.2,20.1,101.4,1.6,779683,84,2,2,cubic
0.258,16615,11,14400,20.9,20.1,20.1,101.4,1.4,795661,86,2,2,cubic
0.262,16862,11,14400,20.8,20.2,20.1,101.4,1.2,810751,88,2,2,cubic
0.265,17105,11,14400,20.7,20.1,20.1,101.4,1.1,825690,90,2,2,cubic
0.269,17345,12,14400,20.6,20.2,20.1,101.4,0.9,840032,92,2,2,cubic
