time_hms,kb_per_sec_in,kb_per_sec_out
16:15:20,7.81,211.98
16:15:21,11.73,842.02
16:15:22,8.86,623.96
16:15:23,9.93,844.59
16:15:24,4.78,315.91
16:15:25,11.92,841.15
16:15:26,4.96,343.27
16:15:27,10.42,842.09
16:15:28,2.98,205.74
16:15:29,11.17,836.58
16:15:30,2.69,193.8
16:15:31,7.57,519.75
16:15:32,0.61,21.05
16:15:33,12.02,844.72
16:15:34,3.19,272.39
16:15:35,11.05,813.75
16:15:36,1.23,100.28
16:15:37,11.19,760.73
16:15:38,4.26,408.87
16:15:39,10.26,727.79
16:15:40,12.28,814.51
16:15:41,11.61,819.86
16:15:42,6.72,610.74
16:15:43,8.18,565.02
16:15:44,3.03,247.35
16:15:45,7.9,522.38
16:15:46,5.39,534.26
16:15:47,6.76,479.95
16:15:48,4.55,452.86
16:15:49,6.95,431.64
16:15:50,7.77,676.34
16:15:51,6.48,386.97
16:15:52,10.26,762.34
16:15:53,5.44,340.72
16:15:54,9.09,820.09
16:15:55,4.87,300.79
16:15:56,10.03,833.29
16:15:57,4.49,277.69
16:15:58,9.93,829.01
16:15:59,4.4,307.15
16:16:00,9.98,843.68
16:16:01,3.55,210.98
16:16:02,2.46,150.1
16:16:03,2.22,118.45
16:16:04,4.26,256.4
16:16:05,1.28,65.33
16:16:06,8.33,839.16
16:16:07,1.75,151.51
16:16:09,11.26,839.27
16:16:10,3.92,358.21
16:16:11,10.6,817.24
16:16:12,4.73,460.54
16:16:13,11.78,779.32
16:16:14,4.54,405.98
16:16:15,11.41,727.15
16:16:16,5.58,477.34
16:16:17,10.38,679.74
16:16:18,6.24,502.84
16:16:19,11.03,639.96
16:16:20,7.47,542.46
16:16:21,8.94,574.37
16:16:22,7.47,617.3
16:16:23,8.52,540.31
16:16:24,4.73,352.86
16:16:25,7.43,479.12
16:16:26,4.26,339.0
16:16:27,6.38,435.4
16:16:28,6.82,676.8
16:16:29,6.2,399.64
16:16:30,4.92,381.53
16:16:31,5.72,361.67
16:16:32,8.33,836.12
16:16:33,5.19,322.25
16:16:34,9.56,840.62
16:16:35,5.36,372.75
16:16:36,9.46,833.57
16:16:37,4.31,286.5
16:16:38,10.12,834.84
16:16:39,5.34,407.94
16:16:40,11.54,835.99
16:16:41,3.64,247.93
16:16:42,10.5,846.43
16:16:43,4.3,352.59
16:16:44,12.16,836.72
16:16:45,3.55,294.13
16:16:46,12.5,836.91
16:16:47,4.4,352.76
16:16:48,10.6,829.54
16:16:49,1.49,123.97
16:16:50,11.15,793.1
16:16:51,9.72,811.31
16:16:52,9.81,840.25
16:16:53,11.17,816.69
16:16:54,3.31,314.59
16:16:55,10.59,761.37
16:16:56,5.3,513.9
16:16:57,11.59,713.41
16:16:58,4.07,351.17
16:16:59,11.03,673.61
16:17:00,4.73,369.25
16:17:01,10.26,629.87
16:17:02,7.1,586.97
16:17:03,8.38,582.55
16:17:04,0.85,63.84
16:17:05,8.94,530.95
16:17:06,5.87,417.83
16:17:07,8.38,494.03
16:17:08,8.04,608.47
16:17:09,6.76,444.64
16:17:10,8.23,756.66
16:17:11,6.36,384.37
16:17:12,9.93,758.68
16:17:13,5.16,361.12
16:17:14,8.14,835.95
16:17:15,5.55,384.76
16:17:16,9.46,833.08
16:17:17,5.34,352.34
16:17:18,6.16,426.5
16:17:19,3.74,226.11
16:17:20,7.95,677.73
16:17:21,2.98,176.92
16:17:22,10.89,837.18
16:17:23,4.97,387.78
16:17:24,11.88,837.35
16:17:25,4.21,322.03
16:17:26,12.36,837.7
16:17:27,4.02,348.9
16:17:28,11.36,843.95
16:17:29,2.41,212.9
16:17:30,12.77,835.76
16:17:31,11.6,815.83
16:17:32,9.83,796.05
16:17:33,3.03,343.38
16:17:34,10.37,747.34
16:17:35,1.89,169.59
16:17:36,10.36,697.72
16:17:37,5.02,471.14
16:17:38,9.42,661.03
16:17:39,1.51,117.74
16:17:40,8.75,617.26
16:17:41,3.79,348.42
16:17:42,8.56,570.12
16:17:43,7.0,658.32
16:17:44,8.37,529.93
16:17:45,3.88,282.95
16:17:46,7.8,483.23
16:17:47,5.68,573.6
16:17:48,6.48,434.33
16:17:49,5.96,498.1
16:17:50,6.2,391.02
16:17:51,8.52,717.42
16:17:52,5.63,346.29
16:17:53,9.56,802.77
16:17:54,4.6,296.53
16:17:55,9.79,834.64
16:17:56,4.5,284.46
16:17:57,9.84,843.06
16:17:58,4.13,255.3
16:17:59,9.94,844.7
16:18:00,4.4,301.55
16:18:01,11.64,844.33
16:18:02,3.66,217.47
16:18:03,3.12,192.36
16:18:04,1.09,65.33
16:18:05,3.12,309.37
16:18:06,0.52,25.22
16:18:07,10.28,813.33
16:18:08,2.05,193.85
16:18:09,11.56,747.1
16:18:10,5.4,481.79
16:18:11,10.55,747.29
16:18:12,4.92,533.14
16:18:13,10.08,716.34
16:18:14,4.92,467.95
16:18:15,9.33,656.53
16:18:16,5.3,547.47
16:18:17,10.08,623.62
16:18:18,7.1,559.29
16:18:19,7.9,480.74
16:18:20,7.95,707.04
