Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,878.0,0,0.0,4.9,1.0
2,2546.0,1,0.0,4.82,1.098
3,3756.0,0,0.0,4.72,1.098
4,4363.0,0,0.0,4.533333333333334,1.0890000000000002
5,4758.0,0,0.0,4.335,1.0695000000000001
6,4517.0,0,0.0,4.21,1.0485
7,5021.0,0,0.0,4.125,1.0345
8,4861.0,0,0.0,4.08,1.025
9,2755.0,0,0.0,4.05,1.0153333333333332
10,3572.0,0,0.0,4.025,1.006
11,5019.0,0,0.0,4.01,1.004
12,4771.0,0,0.0,4.0,1.002
13,4870.0,0,0.0,4.0,1.002
14,4337.0,0,0.0,4.0,1.002
15,4249.0,0,0.0,3.99,1.002
16,2314.0,0,0.0,3.99,1.002
17,4495.0,0,0.0,3.9850000000000003,1.0
18,3624.0,0,0.0,3.99,0.998
19,4627.0,0,0.0,3.99,0.998
20,3075.0,0,0.0,4.0,0.998
21,3824.0,0,0.0,4.0,0.9979999999999999
22,4867.0,0,0.0,4.0,0.998
23,3208.0,0,0.0,4.006666666666667,1.0006666666666666
24,4182.0,0,0.0,4.0,1.002
25,3202.0,0,0.0,4.0,1.002
26,3191.0,0,0.0,3.995,1.002
27,3360.0,0,0.0,3.99,1.002
28,3311.0,0,0.0,3.99,1.0
29,3433.0,0,0.0,3.99,0.9979999999999999
30,3420.0,0,0.0,3.995,0.998
31,3433.0,0,0.0,4.0,0.998
32,1012.0,0,0.0,4.0,0.998
33,1466.0,1,0.0,4.003333333333333,0.9979999999999999
34,4083.0,0,0.0,4.01,1.0
35,4831.0,0,0.0,4.0,1.002
36,3348.0,1,0.0,4.0,1.001
37,3176.0,0,0.0,4.0,1.0
38,3264.0,0,0.0,4.0,1.0
39,3309.0,0,0.0,4.0,1.0
40,3680.0,0,0.0,4.0,1.0
41,3906.0,0,0.0,4.0,1.0
42,3527.0,0,0.0,4.0,1.0
43,3229.0,0,0.0,4.0,1.0
44,4406.0,0,0.0,4.0,1.0
45,2371.0,0,0.0,4.0,1.0
46,3013.0,0,0.0,4.0,1.0
47,3142.0,0,0.0,4.0,1.0
48,3057.0,0,0.0,4.0,1.0
49,3090.0,0,0.0,4.0,1.0
50,3097.0,0,0.0,4.0,1.0
51,3137.0,0,0.0,4.0,1.0
52,3128.0,0,0.0,4.0,1.0
53,3150.0,0,0.0,4.0,1.0
54,3137.0,0,0.0,4.0,1.0
55,3692.0,0,0.0,4.0,1.0
56,3387.0,0,0.0,4.0,1.0
57,3539.0,0,0.0,4.0,1.0
58,3268.0,0,0.0,4.0,1.0
59,3682.0,0,0.0,4.0,1.0
60,3622.0,0,0.0,4.0,1.0
61,3720.0,0,0.0,4.0,1.0
62,2402.0,0,0.0,4.0,1.0
63,3756.0,0,0.0,4.0,1.0
64,4363.0,0,0.0,4.0,1.0
65,4758.0,0,0.0,4.0,1.0
66,3447.0,0,0.0,4.0,1.0
67,3191.0,0,0.0,4.0,1.0
68,3456.0,0,0.0,4.0,1.0
69,2610.0,0,0.0,4.0,1.0
70,3572.0,0,0.0,4.0,1.0
71,3255.0,1,0.0,4.0,1.0
72,3102.0,0,0.0,4.0,1.0
73,3328.0,0,0.0,4.0,1.0
74,3422.0,0,0.0,4.0,1.0
75,3595.0,0,0.0,4.0,1.0
76,2284.0,0,0.0,4.0,1.0
77,3176.0,0,0.0,4.0,1.0
78,3057.0,0,0.0,4.0,1.0
79,3595.0,0,0.0,4.0,1.0
80,3075.0,0,0.0,4.0,1.0
81,3824.0,0,0.0,4.0,1.0
82,4867.0,0,0.0,4.0,1.0
83,3208.0,0,0.0,4.0,1.0
84,4182.0,0,0.0,4.0,1.0
85,3688.0,0,0.0,4.0,1.0
86,4385.0,0,0.0,4.0,1.0
87,4547.0,0,0.0,4.0,1.0
88,4593.0,0,0.0,4.0,1.0
89,4549.0,0,0.0,4.0,1.0
90,4701.0,0,0.0,4.0,1.0
91,4358.0,0,0.0,4.0,1.0
92,1230.0,0,0.0,4.0,1.0
