time_hms,kb_per_sec_in,kb_per_sec_out
20:04:34,7.86,237.17
20:04:35,13.57,517.33
20:04:36,17.97,785.62
20:04:37,15.52,675.19
20:04:38,13.27,564.6
20:04:39,16.18,695.56
20:04:40,10.07,445.09
20:04:41,18.65,854.72
20:04:42,8.96,396.55
20:04:43,18.15,825.46
20:04:44,8.14,371.15
20:04:45,17.46,782.21
20:04:46,10.31,471.69
20:04:47,16.32,734.15
20:04:48,5.39,241.18
20:04:49,15.37,689.31
20:04:50,12.87,585.22
20:04:51,14.33,640.23
20:04:52,12.96,589.56
20:04:53,13.29,593.9
20:04:54,15.69,668.11
20:04:55,16.15,703.08
20:04:56,17.65,777.43
20:04:57,17.32,791.53
20:04:58,5.73,248.52
20:04:59,17.88,816.04
20:05:00,4.68,200.67
20:05:01,18.64,854.35
20:05:02,7.9,344.7
20:05:03,11.07,500.66
20:05:04,2.6,100.93
20:05:05,11.26,393.41
20:05:06,9.82,345.73
20:05:07,13.39,529.07
20:05:08,10.98,377.19
20:05:09,8.19,313.76
20:05:10,12.12,418.21
20:05:11,13.39,513.57
20:05:12,13.14,533.0
20:05:13,10.98,391.78
20:05:14,11.73,402.1
20:05:15,12.3,426.45
20:05:16,11.45,434.13
20:05:17,12.21,498.87
20:05:18,4.68,163.97
20:05:19,13.06,501.71
20:05:20,7.54,258.21
20:05:21,12.95,539.3
20:05:22,7.85,301.53
20:05:23,11.4,434.89
20:05:24,8.61,366.08
20:05:25,11.5,416.25
20:05:26,11.64,446.12
20:05:27,11.31,443.84
20:05:28,11.92,440.03
20:05:29,12.82,455.27
20:05:30,13.13,487.03
20:05:31,12.62,441.02
20:05:32,14.55,584.66
20:05:33,8.99,331.25
20:05:34,8.37,319.7
20:05:35,11.92,458.26
20:05:36,10.45,403.45
20:05:37,13.16,496.22
20:05:38,8.56,310.42
20:05:39,9.46,360.94
20:05:40,6.86,257.06
20:05:41,11.93,497.93
20:05:42,5.25,168.88
20:05:43,14.67,625.99
20:05:44,7.24,258.72
20:05:45,11.93,403.49
20:05:46,10.65,429.83
20:05:47,12.34,423.61
20:05:48,8.75,329.04
20:05:49,11.92,472.75
20:05:50,9.04,346.73
20:05:51,12.96,500.17
20:05:52,7.43,280.06
20:05:53,12.68,526.22
20:05:54,8.94,310.78
20:05:55,12.58,469.84
20:05:56,9.32,363.2
20:05:57,12.4,474.17
20:05:58,10.08,371.66
20:05:59,11.31,376.26
20:06:00,13.41,490.19
20:06:01,14.27,556.15
20:06:02,8.14,328.22
20:06:03,6.96,263.26
20:06:04,0.0,0.0
20:06:05,8.18,329.59
20:06:06,0.0,0.0
20:06:07,11.5,463.94
20:06:08,9.65,376.15
20:06:09,10.74,407.49
20:06:10,12.18,450.27
20:06:11,13.42,500.6
20:06:12,10.86,398.77
20:06:13,12.21,456.85
20:06:14,8.47,334.17
20:06:15,12.4,452.64
20:06:16,9.44,375.76
20:06:17,12.13,445.3
20:06:18,9.65,406.3
20:06:19,10.08,391.51
20:06:20,13.54,558.51
20:06:21,11.78,416.19
20:06:22,14.48,594.73
20:06:23,10.08,351.13
20:06:24,4.92,205.51
20:06:25,11.31,460.88
20:06:26,11.71,440.35
20:06:27,15.02,623.17
20:06:28,11.34,411.73
20:06:29,5.68,222.72
20:06:30,11.59,433.59
20:06:31,8.24,345.02
20:06:32,10.84,401.96
20:06:33,11.36,409.65
20:06:34,10.93,443.6
20:06:35,10.88,346.0
20:06:36,8.94,319.22
20:06:37,11.74,478.68
20:06:38,10.27,414.73
20:06:39,9.94,385.04
20:06:40,7.43,251.28
20:06:41,13.13,485.96
20:06:42,9.98,376.35
20:06:43,12.02,419.23
20:06:44,10.12,390.03
20:06:45,11.74,399.11
20:06:46,9.98,417.28
20:06:47,10.6,422.29
20:06:48,6.52,205.52
20:06:49,14.2,593.13
20:06:50,12.35,403.59
20:06:51,11.73,393.22
20:06:52,11.12,410.16
20:06:53,13.73,569.85
20:06:54,11.02,343.9
20:06:55,13.34,495.98
20:06:56,9.32,336.39
20:06:57,12.68,467.14
20:06:58,11.69,465.02
20:06:59,11.35,410.57
20:07:00,12.17,492.94
20:07:01,12.4,455.38
20:07:02,12.06,474.37
20:07:03,9.37,357.08
20:07:04,6.22,260.86
20:07:05,17.5,787.22
20:07:06,0.47,17.88
20:07:07,17.08,770.33
20:07:08,0.28,5.53
20:07:09,16.13,725.44
20:07:10,18.43,830.29
20:07:11,18.51,829.85
20:07:12,3.38,140.99
20:07:13,14.24,637.28
20:07:14,13.54,616.71
20:07:15,13.29,592.44
20:07:16,2.65,119.17
20:07:17,12.25,546.12
20:07:18,8.23,375.64
20:07:19,11.26,500.18
20:07:20,17.41,794.35
20:07:21,10.17,453.67
20:07:22,17.14,777.59
20:07:23,9.22,407.41
20:07:24,18.56,849.36
20:07:25,8.18,361.24
20:07:26,16.65,757.77
20:07:27,7.24,317.78
20:07:28,17.13,778.69
20:07:29,6.33,273.01
20:07:30,7.19,325.35
20:07:31,5.25,226.82
20:07:32,18.64,854.32
20:07:33,6.01,258.95
20:07:34,16.65,754.83
20:07:35,3.26,134.18
20:07:36,18.65,853.54
20:07:37,6.87,296.1
20:07:38,15.42,704.74
20:07:39,1.28,43.11
20:07:40,18.64,854.39
20:07:41,2.41,91.97
20:07:42,18.45,847.13
20:07:43,9.06,405.43
20:07:44,17.67,803.55
20:07:45,0.66,24.84
20:07:46,16.89,757.25
20:07:47,7.1,321.62
20:07:48,15.85,712.46
20:07:49,5.34,239.55
20:07:50,14.82,663.93
20:07:51,10.31,467.87
20:07:52,13.78,617.62
20:07:53,12.21,555.9
