  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:26:20      1.43     13.11
19:26:21     13.65    720.61
19:26:22      9.85    700.55
19:26:23     11.14    793.81
19:26:24      1.80    116.51
19:26:25     10.46    749.04
19:26:26      1.23     84.51
19:26:27      9.89    700.13
19:26:28      6.15    436.14
19:26:29      9.13    656.06
19:26:30      1.99    139.59
19:26:31      8.47    584.36
19:26:32      8.80    647.46
19:26:33      8.09    563.53
19:26:34     10.13    720.44
19:26:35      7.71    517.37
19:26:36      9.37    674.06
19:26:37      6.83    450.58
19:26:38     12.11    854.34
19:26:39      6.39    436.37
19:26:40      9.84    726.48
19:26:41      5.72    385.81
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:26:42     11.64    854.85
19:26:43      5.72    365.93
19:26:44     11.26    854.62
19:26:45      5.25    306.66
19:26:46     11.35    854.57
19:26:47      5.16    355.20
19:26:48      9.74    725.24
19:26:49      3.17    203.62
19:26:50      9.65    512.08
19:26:51      9.43    426.67
19:26:52      9.03    394.65
19:26:53      9.95    389.37
19:26:54      9.19    395.04
19:26:55      9.04    393.36
19:26:56      9.11    408.14
19:26:57      9.25    414.55
19:26:58      9.37    428.31
19:26:59      9.44    427.08
19:27:00      9.35    415.38
19:27:01      9.28    427.03
19:27:02      9.51    418.68
19:27:03      9.84    393.29
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:27:04      9.41    417.94
19:27:05      9.37    427.14
19:27:06      9.41    414.29
19:27:07      9.35    415.18
19:27:08      9.32    426.63
19:27:09      7.80    346.70
19:27:10      8.97    400.19
19:27:11      9.25    414.09
19:27:12      9.43    428.20
19:27:13      9.47    390.48
19:27:14      9.63    416.01
19:27:15      9.37    428.46
19:27:16      8.48    371.65
19:27:17      9.37    426.61
19:27:18      9.51    422.46
19:27:19      9.25    415.83
19:27:20      9.58    426.87
19:27:21      9.16    413.95
19:27:22      9.37    428.02
19:27:23      8.66    369.46
19:27:24      9.93    410.84
19:27:25      9.51    415.31
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:27:26      9.27    426.46
19:27:27      9.26    414.15
19:27:28      9.37    427.99
19:27:29      9.41    423.51
19:27:30      9.28    428.20
19:27:31      9.53    426.78
19:27:32      9.35    418.92
19:27:33      8.97    404.37
19:27:34     10.66    393.39
19:27:35      9.25    412.69
19:27:36      9.37    427.91
19:27:37      7.80    339.87
