time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.5,20.6,20.6,22.3,6.5,411583,5,1,1,bbr1
0.007,6904,4,0,23.1,28.4,20.6,28.4,6.5,149292,7,1,1,bbr1
0.030,9752,6,1440,22.8,20.2,20.2,28.4,5.6,149292,10,1,1,bbr1
0.050,11176,7,2880,22.5,20.3,20.2,28.4,4.8,151793,12,1,1,bbr1
0.059,12600,8,2880,22.9,25.6,20.2,28.4,4.4,151793,13,1,1,bbr1
0.019,14024,9,2880,23.2,25.6,20.2,28.4,4.0,151793,14,1,1,bbr1
0.006,14783,10,0,22.2,20.3,20.2,28.4,3.1,303684,15,1,1,bbr1
0.028,14783,10,7200,22.7,26.3,20.2,28.4,3.4,303684,22,1,1,bbr1
0.033,14776,10,5760,22.4,20.2,20.2,28.4,3.1,303684,23,1,1,bbr1
0.043,14782,10,5760,22.1,20.2,20.2,28.4,2.9,304074,25,1,1,bbr1
0.050,17630,12,5760,21.9,20.2,20.2,28.4,2.7,600805,27,1,1,bbr1
0.060,20478,14,8640,21.7,20.1,20.1,28.4,2.4,600805,31,1,1,bbr1
0.069,20742,14,11520,21.5,20.2,20.1,28.4,2.2,600805,35,1,1,bbr1
0.073,23139,16,11520,21.3,20.2,20.1,28.4,2.0,719788,37,1,1,bbr1
0.077,24704,17,11520,21.2,20.1,20.1,28.4,1.8,798521,39,1,1,bbr1
0.082,27552,19,12960,21.0,20.2,20.1,28.4,1.6,970011,42,1,1,bbr1
0.088,28900,20,15840,20.9,20.2,20.1,28.4,1.4,1007113,46,1,1,bbr1
0.093,31748,22,17280,20.8,20.1,20.1,28.4,1.3,1208145,49,1,1,bbr1
0.096,33080,22,18720,20.7,20.1,20.1,28.4,1.1,1216293,52,1,1,bbr1
0.101,34335,23,21600,20.7,20.1,20.1,28.4,1.0,1278806,56,1,1,bbr1
0.103,36588,25,21600,20.6,20.1,20.1,28.4,0.9,1390940,58,1,1,bbr1
0.106,37932,26,23040,20.5,20.2,20.1,28.4,0.8,1457810,61,1,1,bbr1
0.109,40482,28,24480,20.5,20.1,20.1,28.4,0.7,1584717,64,1,1,bbr1
0.111,41442,28,25920,20.4,20.1,20.1,28.4,0.6,1632489,67,1,1,bbr1
0.115,43474,30,28800,20.5,20.7,20.1,28.4,0.5,1733600,71,1,1,bbr1
0.118,44702,31,31680,20.7,22.2,20.1,28.4,0.8,1794760,75,1,1,bbr1
0.122,44702,31,36000,21.0,23.2,20.1,28.4,1.2,1794760,80,1,1,bbr1
0.126,44783,31,38880,21.4,24.2,20.1,28.4,1.7,1798777,84,1,1,bbr1
0.128,44783,31,40320,21.9,25.4,20.1,28.4,2.3,1798777,87,1,1,bbr1
0.132,44783,31,43200,22.5,26.6,20.1,28.4,2.9,1798777,91,1,1,bbr1
0.135,44783,31,43200,23.2,28.1,20.1,28.4,3.6,1798777,93,1,1,bbr1
0.138,44783,31,43200,24.0,29.7,20.1,29.7,4.3,1798777,95,1,1,bbr1
0.142,44783,31,43200,24.9,30.8,20.1,30.8,4.9,1798777,97,1,1,bbr1
0.145,44783,31,43200,25.8,32.7,20.1,32.7,5.7,1798777,99,1,1,bbr1
0.148,44783,31,43200,26.9,34.5,20.1,34.5,6.4,1798777,101,1,1,bbr1
0.152,44783,31,43200,28.0,36.0,20.1,36.0,7.1,1798777,103,1,1,bbr1
0.155,44783,31,43200,29.2,37.7,20.1,37.7,7.7,1798777,105,1,1,bbr1
0.159,44783,31,43200,30.5,39.4,20.1,39.4,8.3,1798777,107,1,1,bbr1
0.160,44783,31,44640,31.6,39.5,20.1,39.5,8.5,1798777,109,1,1,bbr1
0.162,44783,31,44640,32.6,39.5,20.1,39.5,8.3,1798777,111,2,1,bbr1
0.164,44783,31,44640,33.5,39.7,20.1,39.7,8.0,1798777,113,3,1,bbr1
0.165,44783,31,44640,34.3,39.5,20.1,39.7,7.5,1798777,115,4,1,bbr1
