Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,872.0,0,0.0,4.46,1.083
2,3527.0,1,0.0,4.38,1.078
3,3229.0,0,0.0,4.275,1.0630000000000002
4,4406.0,0,0.0,4.19,1.046
5,3084.0,0,0.0,4.12,1.0296666666666667
6,4777.0,0,0.0,4.0600000000000005,1.0175
7,4977.0,0,0.0,4.035,1.009
8,4616.0,0,0.0,4.015,1.007
9,5090.0,0,0.0,4.01,1.003
10,4480.0,0,0.0,4.0,1.003
11,4927.0,0,0.0,4.0,1.003
12,4653.0,0,0.0,3.99,1.001
13,4864.0,0,0.0,3.99,0.999
14,3780.0,0,0.0,3.995,0.999
15,4941.0,0,0.0,4.0,0.999
16,4769.0,0,0.0,4.0,0.999
17,4454.0,0,0.0,4.0,0.999
18,5050.0,0,0.0,4.01,0.999
19,4205.0,0,0.0,4.01,0.999
20,4126.0,0,0.0,4.01,1.0016666666666667
21,4817.0,0,0.0,4.0,1.003
22,2546.0,0,0.0,4.0,1.003
23,3756.0,0,0.0,3.9933333333333336,1.003
24,4363.0,0,0.0,3.99,0.999
25,4758.0,0,0.0,3.99,0.999
26,4517.0,0,0.0,4.0,0.999
27,5021.0,0,0.0,4.0,0.999
28,4861.0,0,0.0,4.0,0.999
29,2755.0,0,0.0,4.0,0.999
30,3572.0,0,0.0,4.01,0.999
31,5019.0,0,0.0,4.01,0.999
32,4771.0,0,0.0,4.01,1.003
33,4870.0,0,0.0,4.0,1.003
34,4337.0,0,0.0,4.0,1.003
35,4249.0,0,0.0,3.99,1.003
36,2314.0,0,0.0,3.99,1.0003333333333333
37,4495.0,0,0.0,3.995,0.999
38,3624.0,0,0.0,4.0,0.999
39,4627.0,0,0.0,4.0,0.999
40,3075.0,0,0.0,4.0,0.999
41,3824.0,0,0.0,4.006666666666667,0.999
42,4867.0,0,0.0,4.01,0.999
43,3208.0,0,0.0,4.01,1.001
44,4182.0,0,0.0,4.005,1.003
45,3688.0,0,0.0,4.0,1.003
46,4385.0,0,0.0,3.99,1.003
47,4547.0,0,0.0,3.99,0.999
48,4593.0,0,0.0,3.99,0.999
49,4549.0,0,0.0,4.0,0.999
50,4701.0,0,0.0,4.0,0.999
51,4358.0,0,0.0,4.0,0.999
52,1230.0,0,0.0,4.0,0.999
53,1466.0,0,0.0,4.006666666666667,0.999
54,4083.0,0,0.0,4.01,0.999
55,4831.0,0,0.0,4.01,1.003
56,5070.0,0,0.0,4.0,1.003
57,4687.0,0,0.0,4.0,1.003
58,4765.0,0,0.0,3.99,1.001
59,4680.0,0,0.0,3.99,0.999
60,4674.0,0,0.0,3.995,0.999
61,4717.0,0,0.0,4.0,0.999
62,3527.0,0,0.0,4.0,0.999
63,3229.0,0,0.0,4.0,0.999
64,4406.0,0,0.0,4.005,0.999
65,3084.0,0,0.0,4.01,0.999
66,4777.0,0,0.0,4.005,1.003
67,4977.0,0,0.0,4.0,1.003
68,4616.0,0,0.0,4.0,1.003
69,5090.0,0,0.0,3.99,1.001
70,4480.0,0,0.0,3.99,0.999
71,4927.0,0,0.0,3.99,0.999
72,4653.0,0,0.0,4.0,0.999
73,4864.0,0,0.0,4.0,0.999
74,3780.0,0,0.0,4.0,0.999
75,4941.0,0,0.0,4.0,0.999
76,4769.0,0,0.0,4.01,0.999
77,4454.0,0,0.0,4.01,1.001
78,5050.0,0,0.0,4.005,1.003
79,4205.0,0,0.0,4.0,1.003
80,4126.0,0,0.0,3.995,1.003
81,4817.0,0,0.0,3.99,1.001
82,2546.0,0,0.0,3.99,0.999
83,3756.0,0,0.0,3.995,0.999
84,4363.0,0,0.0,4.0,0.999
85,4758.0,0,0.0,4.0,0.999
86,4517.0,0,0.0,4.0,0.999
87,5021.0,0,0.0,4.01,0.999
88,4861.0,0,0.0,4.01,0.999
89,2755.0,0,0.0,4.01,1.001
90,3572.0,0,0.0,4.003333333333333,1.003
