  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:13:54      7.65    216.08
19:13:55     12.09    792.98
19:13:56     12.67    823.26
19:13:57     12.66    819.45
19:13:58     13.03    845.85
19:13:59      5.06    283.34
19:14:00     12.87    849.13
19:14:01     12.92    820.49
19:14:02     12.85    820.95
19:14:03      1.61    119.71
19:14:04      2.79    139.96
19:14:05      3.88    239.90
19:14:06      1.94    105.26
19:14:07     13.06    846.15
19:14:08      3.17    161.28
19:14:09     12.50    846.51
19:14:10      5.72    353.59
19:14:11     12.88    846.42
19:14:12      7.16    451.50
19:14:13     12.75    795.13
19:14:14      6.35    411.49
19:14:15     12.25    768.81
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:14:16      7.17    460.59
19:14:17     11.78    725.45
19:14:18      7.38    481.24
19:14:19     10.08    678.09
19:14:20      8.42    527.62
19:14:21     10.18    634.85
19:14:22      8.80    581.97
19:14:23      9.60    589.58
19:14:24      5.72    320.58
19:14:25      7.33    275.84
19:14:26     11.17    416.34
19:14:27     11.09    366.06
19:14:28     11.55    409.40
19:14:29     11.51    390.49
19:14:30     11.83    399.10
19:14:31      5.82    198.23
19:14:32     12.53    410.60
19:14:33      9.99    353.43
19:14:34     11.07    443.92
19:14:35      9.61    344.61
19:14:36     10.98    430.81
19:14:37     11.40    409.54
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:14:38     11.45    427.91
19:14:39     11.43    413.74
19:14:40     11.64    419.34
19:14:41     10.55    353.12
19:14:42     11.74    423.89
19:14:43     10.45    356.32
19:14:44     12.31    418.03
19:14:45     11.22    372.79
19:14:46     11.45    412.11
19:14:47     10.74    378.27
19:14:48     12.21    424.04
19:14:49     12.41    397.15
19:14:50     12.68    412.26
19:14:51     12.67    420.07
19:14:52     11.54    409.13
19:14:53     12.85    431.13
19:14:54     11.62    394.56
19:14:55     12.68    407.69
19:14:56     12.25    403.31
19:14:57     12.59    419.46
19:14:58     12.35    400.11
19:14:59     12.11    427.93
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
19:15:00     12.83    411.49
19:15:01     12.60    419.76
19:15:02     12.25    410.26
19:15:03     13.30    408.12
19:15:04     12.65    428.08
19:15:05     11.21    368.17
19:15:06     11.21    365.08
19:15:07     12.37    425.33
19:15:08     11.40    411.63
