  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
16:43:14      2.38     48.70
16:43:15     14.71    758.88
16:43:16     10.68    658.91
16:43:17     10.98    680.01
16:43:18      0.32      2.65
16:43:19     12.39    808.27
16:43:20      1.51     97.07
16:43:21     12.15    765.36
16:43:22      8.42    506.58
16:43:23     11.69    727.88
16:43:24      8.14    481.60
16:43:25     10.83    678.42
16:43:26     13.04    816.16
16:43:27     13.23    840.92
16:43:28     13.23    818.30
16:43:29      3.88    257.54
16:43:30      9.98    588.08
16:43:31      0.00      0.07
16:43:32     12.16    731.63
16:43:33      6.31    408.68
16:43:34     11.59    685.96
16:43:35      3.31    234.07
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
16:43:36     10.46    646.25
16:43:37      8.42    528.31
16:43:38      9.79    597.54
16:43:39      3.12    182.37
16:43:40      8.28    551.28
16:43:41      6.06    418.88
16:43:42      7.62    501.55
16:43:43     11.07    733.09
16:43:44      6.48    220.86
16:43:45      7.76    244.43
16:43:46      8.43    239.05
16:43:47      7.05    203.29
16:43:48      8.14    254.18
16:43:49      4.49    161.17
16:43:50      6.63    234.16
16:43:51      7.05    251.72
16:43:52      8.23    237.56
16:43:53      6.80    246.63
16:43:54      7.10    197.95
16:43:55      7.80    218.73
16:43:56      6.53    223.82
16:43:57      7.90    203.02
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
16:43:58      6.34    237.86
16:43:59      7.24    203.15
16:44:00      8.23    239.89
16:44:01      7.43    219.67
16:44:02      8.46    231.75
16:44:03      6.01    171.23
16:44:04      0.00      0.00
16:44:05      8.07    193.66
16:44:06      7.38    228.43
16:44:07      8.18    250.50
16:44:08      7.95    240.26
16:44:09      6.96    215.17
16:44:10      8.42    241.88
16:44:11      5.53    161.42
16:44:12      8.90    249.26
16:44:13      4.68    160.12
16:44:14      8.52    249.14
16:44:15      5.26    166.04
16:44:16      8.37    224.81
16:44:17      6.88    203.97
16:44:18     10.01    220.36
16:44:19      6.34    237.90
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
16:44:20      7.80    234.74
16:44:21      7.66    255.97
16:44:22      6.67    235.28
16:44:23      2.27     69.60
16:44:24      5.91    196.37
16:44:25      6.06    162.62
16:44:26      7.33    183.41
16:44:27      6.43    222.25
16:44:28      5.44    188.94
16:44:29      4.92    151.51
16:44:30      4.78    161.03
16:44:31      6.62    242.10
16:44:32      8.38    196.15
16:44:33      7.76    234.18
16:44:34      8.85    232.72
16:44:35      7.10    229.84
16:44:36      9.52    219.89
16:44:37      7.76    235.42
16:44:38      6.57    175.86
16:44:39      8.52    238.84
16:44:40      6.20    160.62
16:44:41      7.66    248.55
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
16:44:42      6.10    152.91
16:44:43      8.99    230.92
16:44:44      5.16    169.68
16:44:45      8.14    234.45
16:44:46      6.29    172.56
16:44:47      7.89    234.53
16:44:48      4.68    198.39
16:44:49      8.61    246.03
16:44:50      7.81    253.49
16:44:51      7.19    245.39
16:44:52      7.07    203.45
16:44:53      7.03    233.96
