time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.7,20.2,20.2,22.7,6.7,883367,5,1,1,cubic
0.007,3072,2,55,23.2,28.2,20.2,28.2,6.4,883367,8,1,1,cubic
0.027,7383,5,0,24.1,27.1,20.2,28.2,5.2,883367,11,1,1,cubic
0.007,7383,5,0,23.2,20.4,20.2,28.2,4.5,883367,15,1,1,cubic
0.006,7383,5,0,23.9,28.2,20.2,28.2,4.6,883367,16,1,1,cubic
0.026,11759,8,0,24.6,26.1,20.2,28.2,3.0,478144,22,1,1,cubic
0.048,11830,8,8640,24.1,20.3,20.2,28.2,3.4,491850,30,1,1,cubic
0.053,11851,8,8640,23.6,20.2,20.2,28.2,3.5,502842,32,1,1,cubic
0.059,11870,8,8640,23.1,20.1,20.1,28.2,3.5,512964,34,1,1,cubic
0.067,11891,8,10080,22.8,20.2,20.1,28.2,3.3,522291,37,1,1,cubic
0.072,11910,8,10080,22.4,20.2,20.1,28.2,3.2,530677,39,1,1,cubic
0.078,11930,8,10080,22.2,20.2,20.1,28.2,2.9,538284,41,1,1,cubic
0.083,11948,8,10080,21.9,20.2,20.1,28.2,2.7,545147,43,1,1,cubic
0.088,11965,8,10080,21.7,20.2,20.1,28.2,2.4,551331,45,1,1,cubic
0.094,11983,8,10080,21.5,20.2,20.1,28.2,2.2,557037,47,1,1,cubic
0.099,12002,8,10080,21.4,20.2,20.1,28.2,2.0,562101,49,1,1,cubic
0.104,12017,8,10080,21.2,20.1,20.1,28.2,1.8,566812,51,1,1,cubic
0.109,12331,8,10080,21.1,20.1,20.1,28.2,1.6,585295,53,1,1,cubic
0.114,12664,8,10080,21.0,20.1,20.1,28.2,1.4,604429,55,1,1,cubic
0.119,12988,9,10080,20.9,20.1,20.1,28.2,1.3,622895,57,1,1,cubic
0.125,13303,9,11520,20.8,20.2,20.1,28.2,1.1,640552,60,1,1,cubic
0.130,13612,9,11520,20.7,20.1,20.1,28.2,1.0,657902,62,1,1,cubic
0.134,13913,9,11520,20.6,20.3,20.1,28.2,0.9,674242,64,1,1,cubic
0.139,14208,9,11520,20.6,20.2,20.1,28.2,0.8,690546,66,1,1,cubic
0.143,14496,10,11520,20.5,20.2,20.1,28.2,0.7,706260,68,1,1,cubic
0.149,14779,10,12960,20.5,20.3,20.1,28.2,0.6,721173,71,1,1,cubic
0.152,15057,10,12960,20.5,20.2,20.1,28.2,0.5,736067,73,1,1,cubic
0.157,15329,10,12960,20.4,20.2,20.1,28.2,0.4,750612,75,1,1,cubic
0.160,15597,10,12960,20.4,20.1,20.1,28.2,0.4,765309,77,1,1,cubic
0.165,15860,11,12960,20.4,20.3,20.1,28.2,0.3,778825,79,1,1,cubic
0.169,16118,11,14400,20.3,20.1,20.1,28.2,0.3,792740,82,1,1,cubic
0.006,16373,11,55,20.2,20.2,20.1,28.2,0.1,808543,85,1,1,cubic
0.008,16373,11,0,21.0,26.6,20.1,28.2,1.7,778110,86,1,1,cubic
0.028,16623,11,14400,21.9,28.2,20.1,28.2,3.0,757864,98,1,1,cubic
0.030,16870,11,14400,21.9,21.6,20.1,28.2,2.4,770530,100,1,1,cubic
0.035,17113,11,14400,22.2,24.5,20.1,28.2,2.4,770370,102,1,1,cubic
0.038,17352,12,14400,22.5,24.3,20.1,28.2,2.3,772057,104,1,1,cubic
0.042,17589,12,15840,22.6,23.5,20.1,28.2,2.0,778308,107,1,1,cubic
