Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,738.0,0,0.0,4.33,1.068
2,4517.0,0,0.0,4.234999999999999,1.0575
3,5021.0,0,0.0,4.16,1.042
4,4861.0,0,0.0,4.115,1.0299999999999998
5,2755.0,0,0.0,4.0600000000000005,1.02
6,3572.0,0,0.0,4.03,1.0103333333333333
7,5019.0,0,0.0,4.01,1.004
8,4771.0,0,0.0,4.005,1.004
9,4870.0,0,0.0,4.0,1.0
10,4337.0,0,0.0,4.0,1.0
11,2314.0,0,0.0,4.0,1.0
12,4495.0,0,0.0,4.0,1.0
13,3624.0,0,0.0,4.0,1.0
14,4627.0,0,0.0,4.0,1.0
15,3075.0,0,0.0,4.0,1.0
16,3824.0,0,0.0,4.0,1.0
17,4867.0,0,0.0,4.0,1.0
18,3208.0,0,0.0,4.0,1.0
19,4182.0,0,0.0,4.0,1.0
20,3688.0,0,0.0,4.0,1.0
21,4385.0,0,0.0,4.0,1.0
22,4547.0,0,0.0,4.0,1.0
23,4593.0,0,0.0,4.0,1.0
24,4549.0,0,0.0,4.0,1.0
25,4701.0,0,0.0,4.0,1.0
26,4358.0,0,0.0,4.0,1.0
27,1230.0,0,0.0,4.0,1.0
28,1466.0,0,0.0,4.0,1.0
29,4083.0,0,0.0,4.0,1.0
30,4831.0,0,0.0,4.0,1.0
31,5070.0,0,0.0,4.0,1.0
32,4687.0,0,0.0,4.0,1.0
33,4765.0,0,0.0,4.0,1.0
34,4680.0,0,0.0,4.0,1.0
35,4674.0,0,0.0,4.0,1.0
36,4717.0,0,0.0,4.0,1.0
37,3527.0,0,0.0,4.0,1.0
38,3229.0,0,0.0,4.0,1.0
39,4406.0,0,0.0,4.0,1.0
40,3084.0,0,0.0,4.0,1.0
41,4777.0,0,0.0,4.0,1.0
42,4977.0,0,0.0,4.0,1.0
43,4616.0,0,0.0,4.0,1.0
44,5090.0,0,0.0,4.0,1.0
45,4480.0,0,0.0,4.0,1.0
46,4927.0,0,0.0,4.0,1.0
47,4653.0,0,0.0,4.0,1.0
48,4864.0,0,0.0,4.0,1.0
49,3780.0,0,0.0,4.0,1.0
50,4941.0,0,0.0,4.0,1.0
51,4769.0,0,0.0,4.0,1.0
52,4454.0,0,0.0,4.0,1.0
53,5050.0,0,0.0,4.0,1.0
54,4205.0,0,0.0,4.0,1.0
55,4126.0,0,0.0,4.0,1.0
56,4817.0,0,0.0,4.0,1.0
57,2546.0,0,0.0,4.0,1.0
58,3756.0,0,0.0,4.0,1.0
59,4363.0,0,0.0,4.0,1.0
60,4758.0,0,0.0,4.0,1.0
61,4517.0,0,0.0,4.0,1.0
62,5021.0,0,0.0,4.0,1.0
63,4861.0,0,0.0,4.0,1.0
64,2755.0,0,0.0,4.0,1.0
65,3572.0,0,0.0,4.0,1.0
66,5019.0,0,0.0,4.0,1.0
67,4771.0,0,0.0,4.0,1.0
68,4870.0,0,0.0,4.0,1.0
69,4337.0,0,0.0,4.0,1.0
70,4249.0,0,0.0,4.0,1.0
71,2314.0,0,0.0,4.0,1.0
72,4495.0,0,0.0,4.0,1.0
73,3624.0,0,0.0,4.0,1.0
74,4627.0,0,0.0,4.0,1.0
75,3075.0,0,0.0,4.0,1.0
76,3824.0,0,0.0,4.0,1.0
77,4867.0,0,0.0,4.0,1.0
78,3208.0,0,0.0,4.0,1.0
79,4182.0,0,0.0,4.0,1.0
80,3688.0,0,0.0,4.0,1.0
81,4385.0,0,0.0,4.0,1.0
82,4547.0,0,0.0,4.0,1.0
83,4593.0,0,0.0,4.0,1.0
84,4549.0,0,0.0,4.0,1.0
85,4701.0,0,0.0,4.0,1.0
86,4358.0,0,0.0,4.0,1.0
87,1230.0,0,0.0,4.0,1.0
88,1466.0,0,0.0,4.0,1.0
89,4083.0,0,0.0,4.0,1.0
90,4831.0,0,0.0,4.0,1.0
