time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo,ecn_ect1,ecn_ce,prague_alpha
0.008,15360,10,0,21.1,20.2,20.2,21.3,4.8,910599,5,1,1,prague,4,0,0.000
0.005,15360,10,0,23.0,29.5,20.2,29.5,6.1,833297,7,1,1,prague,7,0,0.000
0.005,15360,10,0,23.6,24.1,20.2,29.5,2.5,814940,14,1,1,prague,14,0,0.000
0.005,15360,10,0,23.8,25.8,20.2,29.5,2.5,805301,15,1,1,prague,15,0,0.000
0.025,18208,12,12960,24.0,25.4,20.2,29.5,2.2,946834,26,1,1,prague,17,0,0.000
0.029,21056,14,15840,24.0,23.4,20.2,29.5,1.8,1098497,30,1,1,prague,19,0,0.000
0.032,21056,14,17280,24.0,24.6,20.2,29.5,1.5,1095069,33,1,1,prague,21,0,0.000
0.036,21056,14,18720,24.1,24.2,20.2,29.5,1.2,1093931,36,1,1,prague,23,0,0.000
0.039,23904,16,18720,24.1,24.0,20.2,29.5,0.9,1241998,38,1,1,prague,25,0,0.000
0.046,26752,18,21600,23.6,20.2,20.2,29.5,1.6,1418211,42,1,1,prague,27,0,0.000
0.047,29600,20,24480,23.4,21.8,20.2,29.5,1.7,1583904,46,1,1,prague,29,0,0.000
0.051,29600,20,27360,23.2,21.8,20.2,29.5,1.6,1597513,50,1,1,prague,31,0,0.000
0.054,32448,22,27360,23.1,23.0,20.2,29.5,1.3,1752657,52,1,1,prague,33,0,0.000
0.057,35296,24,30240,23.2,23.9,20.2,29.5,1.1,1899186,56,1,1,prague,35,0,0.000
0.061,38144,26,33120,23.4,24.8,20.2,29.5,1.2,2034824,60,1,1,prague,37,0,0.000
0.064,40992,28,36000,23.7,25.2,20.2,29.5,1.4,2166321,64,1,1,prague,39,0,0.000
0.068,43840,30,38880,24.0,26.3,20.2,29.5,1.7,2284856,68,1,1,prague,41,0,0.000
0.071,46688,32,41760,24.1,25.2,20.2,29.5,1.6,2418465,73,1,1,prague,43,0,0.000
0.074,49536,34,44640,24.7,28.5,20.2,29.5,2.3,2509015,77,1,1,prague,45,0,0.000
0.078,52384,36,47520,25.4,30.4,20.2,30.4,3.1,2579069,81,1,1,prague,47,0,0.000
0.081,55232,38,50400,26.2,32.2,20.2,32.2,4.1,2630696,85,1,1,prague,49,0,0.000
0.085,58080,40,53280,27.2,33.8,20.2,33.8,4.9,2669804,89,1,1,prague,51,0,0.000
0.122,30249,21,27415,41.1,50.8,20.2,50.8,10.8,735698,94,1,1,prague,56,17,0.000
0.125,30350,21,27415,42.7,54.1,20.2,54.1,11.4,710124,96,1,1,prague,56,19,0.000
0.129,30448,21,28855,44.2,54.2,20.2,54.2,11.4,689258,99,1,1,prague,56,21,0.000
0.132,30543,21,28855,45.9,57.6,20.2,57.6,11.9,666092,101,1,1,prague,56,23,0.000
0.135,30635,21,28855,47.3,57.5,20.2,57.6,11.8,647455,103,1,1,prague,56,25,0.000
0.139,30725,21,28855,49.0,60.9,20.2,60.9,12.3,626784,105,1,1,prague,56,27,0.000
0.142,30812,21,28855,50.5,60.9,20.2,60.9,12.2,610078,107,1,1,prague,56,29,0.000
0.147,30897,21,28855,52.2,64.3,20.2,64.3,12.6,591511,109,1,1,prague,56,31,0.000
0.151,30980,21,28855,53.7,64.3,20.2,64.3,12.5,576447,111,1,1,prague,56,33,0.000
0.154,31061,21,27415,55.5,67.7,20.2,67.7,12.8,559798,112,1,1,prague,56,35,0.000
0.157,31101,21,27360,54.9,50.8,20.2,67.7,10.8,566523,113,1,1,prague,56,37,0.000
0.168,18348,12,17335,46.9,35.6,20.2,67.7,13.8,390981,115,1,1,prague,64,37,0.856
0.171,18491,12,15895,45.5,35.5,20.2,67.7,13.2,406377,116,1,1,prague,66,37,0.856
0.174,18632,12,15895,44.3,35.6,20.2,67.7,12.4,420919,118,1,1,prague,67,38,0.856
0.178,18771,13,15895,43.2,35.6,20.2,67.7,11.5,434715,120,1,1,prague,68,39,0.856
0.184,18911,13,15895,42.1,34.5,20.2,67.7,10.8,449277,122,1,1,prague,70,39,0.856
0.188,19051,13,14455,41.0,33.2,20.2,67.7,10.3,464828,123,1,1,prague,72,39,0.856
0.192,11554,8,11520,37.5,22.1,20.2,67.7,12.1,307811,124,1,1,prague,76,39,0.809
0.196,11790,8,10080,35.6,22.1,20.2,67.7,12.9,331142,125,1,1,prague,78,39,0.809
0.201,12023,8,8640,33.9,22.0,20.2,67.7,13.1,354577,126,1,1,prague,80,39,0.809
0.204,12254,8,7200,32.2,20.3,20.2,67.7,13.2,380511,127,1,1,prague,82,39,0.809
0.211,12482,8,7200,30.7,20.2,20.2,67.7,12.9,406579,129,1,1,prague,84,39,0.809
0.217,8116,5,7200,29.4,20.3,20.2,67.7,12.3,424630,131,1,1,prague,86,39,0.758
0.227,8466,5,5760,28.3,20.7,20.2,67.7,11.4,424630,132,1,1,prague,88,39,0.758
0.233,8803,6,5760,27.3,20.2,20.2,67.7,10.6,424630,134,1,1,prague,90,39,0.758
0.013,6483,4,0,25.0,20.4,20.2,67.7,7.9,424630,135,1,1,prague,95,39,0.710
0.008,6600,4,0,26.1,34.0,20.2,67.7,8.1,424630,136,1,1,prague,96,39,0.710
0.033,6084,4,0,27.0,33.0,20.2,67.7,7.8,424630,141,1,1,prague,101,39,0.665
0.058,5977,4,0,26.8,25.2,20.2,67.7,6.3,424630,146,1,1,prague,106,39,0.623
0.084,6024,4,0,26.6,25.2,20.2,67.7,5.1,424630,151,1,1,prague,111,39,0.584
0.109,6129,4,0,26.4,25.2,20.2,67.7,4.2,424630,156,1,1,prague,116,39,0.547
0.134,6258,4,0,26.2,25.2,20.2,67.7,3.5,424630,161,1,1,prague,121,39,0.513
0.159,6401,4,0,26.1,25.3,20.2,67.7,2.8,424630,166,1,1,prague,126,39,0.480
0.185,6553,4,0,26.0,25.3,20.2,67.7,2.3,424630,171,1,1,prague,131,39,0.450
0.210,6711,4,0,26.0,25.5,20.2,67.7,1.9,424630,176,1,1,prague,136,39,0.422
0.237,6875,4,0,25.9,25.8,20.2,67.7,1.4,424630,181,1,1,prague,141,39,0.396
0.262,7047,4,0,25.9,25.8,20.2,67.7,1.1,424630,186,1,1,prague,146,39,0.370
0.288,7224,5,0,25.9,25.5,20.2,67.7,0.9,424630,191,1,1,prague,151,39,0.347
0.314,7408,5,1440,25.8,25.6,20.2,67.7,0.8,424630,197,1,1,prague,156,39,0.324
0.321,7629,5,7200,26.0,27.2,20.2,67.7,0.9,424630,202,1,1,prague,157,39,0.324
0.339,7747,5,1440,25.9,25.4,20.2,67.7,0.8,424630,203,1,1,prague,162,39,0.304
0.346,7960,5,7200,25.2,20.4,20.2,67.7,2.0,424630,208,1,1,prague,163,39,0.304
0.365,8047,5,1440,25.3,25.4,20.2,67.7,1.5,424630,209,1,1,prague,168,39,0.284
0.372,8254,5,7200,24.6,20.3,20.2,67.7,2.4,424630,214,1,1,prague,169,39,0.284
0.390,8328,5,1440,24.7,25.3,20.2,67.7,1.9,424630,215,1,1,prague,174,39,0.266
0.397,8529,5,7200,24.2,20.3,20.2,67.7,2.6,424630,220,1,1,prague,175,39,0.266
0.416,8596,5,1440,24.3,25.3,20.2,67.7,2.2,424630,221,1,1,prague,180,39,0.249
0.423,8792,6,7200,23.8,20.3,20.2,67.7,2.7,424630,226,1,1,prague,181,39,0.249
0.441,8857,6,2880,24.0,25.4,20.2,67.7,2.4,424630,228,1,1,prague,186,39,0.233
0.448,9240,6,7200,23.7,21.7,20.2,67.7,2.4,424630,233,1,1,prague,188,39,0.233
0.466,9266,6,2880,23.9,25.2,20.2,67.7,2.1,424630,235,1,1,prague,193,39,0.219
0.473,9634,6,7200,23.6,21.7,20.2,67.7,2.1,424630,240,1,1,prague,195,39,0.219
0.492,9639,6,2880,23.9,25.4,20.2,67.7,2.0,424630,242,1,1,prague,200,39,0.205
0.499,9995,6,7200,23.6,21.8,20.2,67.7,2.1,424630,247,1,1,prague,202,39,0.205
0.517,9993,6,2880,23.8,25.3,20.2,67.7,2.0,424630,249,1,1,prague,207,39,0.191
0.524,10338,7,7200,23.6,21.8,20.2,67.7,2.0,424630,254,1,1,prague,209,39,0.191
0.543,10336,7,4320,23.8,25.4,20.2,67.7,1.9,424630,257,1,1,prague,214,39,0.179
0.550,10840,7,7200,23.7,23.3,20.2,67.7,1.6,424630,262,1,1,prague,217,39,0.179
0.568,10812,7,4320,23.9,25.4,20.2,67.7,1.6,424630,265,1,1,prague,222,39,0.167
0.575,11296,7,7200,23.9,23.3,20.2,67.7,1.3,424630,270,1,1,prague,225,39,0.167
0.594,11255,7,4320,24.1,25.6,20.2,67.7,1.4,424630,273,1,1,prague,230,39,0.156
0.601,11723,8,7200,24.0,23.4,20.2,67.7,1.2,488845,278,1,1,prague,233,39,0.156
0.620,11675,8,5760,24.2,25.9,20.2,67.7,1.4,482079,282,1,1,prague,238,39,0.146
0.629,12128,8,7200,23.8,20.6,20.2,67.7,1.9,510244,286,1,1,prague,241,39,0.146
0.634,12273,8,8640,23.4,20.5,20.2,67.7,2.3,525385,288,1,1,prague,242,39,0.146
0.646,11899,8,8640,23.0,20.4,20.2,67.7,2.5,517640,291,1,1,prague,245,39,0.137
0.652,12196,8,10080,22.7,20.3,20.2,67.7,2.5,538407,294,1,1,prague,247,39,0.137
0.658,12486,8,10080,22.4,20.3,20.2,67.7,2.5,558482,296,1,1,prague,249,39,0.137
0.663,12770,8,10080,22.1,20.2,20.2,67.7,2.4,578194,298,1,1,prague,251,39,0.137
0.671,12400,8,8640,21.9,20.2,20.2,67.7,2.3,567505,300,1,1,prague,254,39,0.128
0.677,12686,8,10080,22.0,23.0,20.2,67.7,2.0,576793,303,1,1,prague,256,39,0.128
0.683,12966,9,10080,21.8,20.2,20.2,67.7,1.9,595590,305,1,1,prague,258,39,0.128
0.688,13240,9,11520,22.1,24.1,20.2,67.7,2.0,600126,308,1,1,prague,260,39,0.128
0.697,12882,8,10080,21.8,20.2,20.2,67.7,2.0,590213,310,1,1,prague,263,39,0.119
0.702,13159,9,10080,21.6,20.2,20.2,67.7,1.9,608593,312,1,1,prague,265,39,0.119
0.708,13567,9,10080,21.4,20.2,20.2,67.7,1.8,632759,315,1,1,prague,268,39,0.119
0.714,13831,9,11520,21.3,20.2,20.2,67.7,1.7,649922,318,1,1,prague,270,39,0.119
0.722,13336,9,11520,21.2,20.3,20.2,67.7,1.5,630215,320,1,1,prague,272,39,0.111
0.728,13739,9,10080,21.0,20.2,20.2,67.7,1.4,653118,322,1,1,prague,275,39,0.111
0.733,14131,9,10080,20.9,20.2,20.2,67.7,1.2,675058,325,1,1,prague,278,39,0.111
0.739,14385,9,11520,20.8,20.2,20.2,67.7,1.1,690192,328,1,1,prague,280,39,0.111
0.748,13905,9,11520,20.8,20.3,20.2,67.7,1.0,669475,330,1,1,prague,282,39,0.104
0.753,14294,9,10080,20.7,20.5,20.2,67.7,0.8,689532,332,1,1,prague,285,39,0.104
0.759,14672,10,10080,20.7,20.2,20.2,67.7,0.7,709958,335,1,1,prague,288,39,0.104
0.765,14918,10,12960,20.6,20.2,20.2,67.7,0.7,723788,339,1,1,prague,290,39,0.104
0.773,14451,10,12960,20.6,20.3,20.2,67.7,0.6,702425,341,1,1,prague,292,39,0.097
0.779,14826,10,11520,20.6,20.6,20.2,67.7,0.4,720408,343,1,1,prague,295,39,0.097
0.784,15315,10,10080,20.5,20.2,20.2,67.7,0.4,745981,346,1,1,prague,299,39,0.097
0.790,15552,10,12960,20.9,23.2,20.2,67.7,1.0,745613,350,1,1,prague,301,39,0.097
