time_hms,kb_per_sec_in,kb_per_sec_out
13:17:47,0.0,0.0
13:17:48,0.0,0.0
13:17:49,0.07,0.0
13:17:50,0.0,0.07
13:17:51,0.0,0.27
13:17:52,0.0,0.0
13:17:53,0.0,0.24
13:17:54,0.0,0.0
13:17:55,0.0,0.0
13:17:56,0.0,0.0
13:17:57,0.0,0.0
13:17:58,0.0,0.0
13:17:59,0.0,0.0
13:18:00,0.0,0.0
13:18:01,0.0,0.0
13:18:02,0.0,0.0
13:18:03,0.0,0.0
13:18:04,0.0,0.0
13:18:05,0.07,0.07
13:18:06,0.0,0.0
13:18:07,0.0,0.0
13:18:08,0.0,0.27
13:18:09,0.0,0.24
13:18:10,0.0,0.0
13:18:11,0.0,0.0
13:18:12,0.0,0.0
13:18:13,0.0,0.0
13:18:14,0.0,0.0
13:18:15,0.0,0.0
13:18:16,0.04,0.04
13:18:17,13.84,411.79
13:18:18,19.94,575.98
13:18:19,10.28,559.74
13:18:20,11.72,539.31
13:18:21,12.34,553.83
13:18:22,14.08,590.75
13:18:23,10.22,570.08
13:18:24,10.74,534.82
13:18:25,11.66,531.68
13:18:26,11.35,588.34
13:18:27,12.24,765.04
13:18:28,9.97,511.0
13:18:29,9.09,565.99
13:18:30,13.73,602.56
13:18:31,11.32,595.17
13:18:32,11.67,623.24
13:18:33,10.49,589.55
13:18:34,11.52,595.74
13:18:35,11.19,598.19
13:18:36,9.96,632.09
13:18:37,11.55,655.72
13:18:38,12.49,667.96
13:18:39,12.53,605.52
13:18:40,10.54,674.93
13:18:41,11.89,595.63
13:18:42,11.84,644.26
13:18:43,12.5,629.22
13:18:44,12.38,735.64
13:18:45,11.54,564.44
13:18:46,9.37,536.15
13:18:47,12.17,592.69
13:18:48,9.56,546.44
13:18:49,11.7,612.91
13:18:50,12.34,555.33
13:18:51,9.98,639.76
13:18:52,13.41,606.97
13:18:53,12.72,698.55
13:18:54,9.35,547.92
13:18:55,11.16,661.98
13:18:56,11.19,537.57
13:18:57,11.96,553.83
13:18:58,11.13,559.76
13:18:59,10.12,542.23
13:19:00,12.03,636.53
13:19:01,9.76,519.86
13:19:02,11.24,717.75
13:19:03,12.93,630.9
13:19:04,10.56,723.67
13:19:05,12.89,562.69
13:19:06,11.12,725.82
13:19:07,9.98,519.85
13:19:08,10.05,557.15
13:19:09,10.99,539.05
13:19:10,11.45,653.43
13:19:11,10.65,610.3
13:19:12,9.98,645.39
13:19:13,12.93,629.14
13:19:14,12.25,640.96
13:19:15,11.48,651.98
13:19:16,10.9,542.32
13:19:17,12.3,711.84
13:19:18,11.59,680.85
13:19:19,13.14,703.1
13:19:20,10.61,682.31
13:19:21,12.86,723.68
13:19:22,11.17,546.61
13:19:23,9.24,505.56
13:19:24,10.76,555.54
13:19:25,11.77,573.02
13:19:26,10.45,586.84
13:19:27,9.09,586.34
13:19:28,10.62,624.95
13:19:29,11.97,580.4
13:19:30,9.83,649.82
13:19:31,12.58,723.68
13:19:32,13.61,697.43
13:19:33,11.03,586.91
13:19:34,12.05,713.33
13:19:35,12.41,595.18
13:19:36,10.99,695.62
13:19:37,10.62,534.91
13:19:38,12.26,722.25
13:19:39,10.91,490.32
13:19:40,11.45,626.2
13:19:41,11.8,586.59
13:19:42,10.0,663.19
13:19:43,10.76,500.7
13:19:44,11.19,726.64
13:19:45,10.31,487.81
13:19:46,11.52,720.84
13:19:47,10.31,516.9
13:19:48,12.07,793.08
13:19:49,11.45,511.05
13:19:50,14.21,806.37
13:19:51,9.96,470.1
13:19:52,13.57,809.42
13:19:53,9.24,525.77
13:19:54,11.64,524.79
13:19:55,10.9,567.11
13:19:56,11.67,530.19
13:19:57,10.82,726.62
13:19:58,11.44,489.07
13:19:59,10.05,519.86
13:20:00,12.35,589.63
13:20:01,9.95,561.22
13:20:02,8.82,438.62
13:20:03,11.55,603.14
13:20:04,13.13,855.09
13:20:05,8.09,530.19
13:20:06,14.01,781.26
13:20:07,12.27,679.7
13:20:08,10.2,574.5
13:20:09,10.19,551.42
13:20:10,11.69,559.75
13:20:11,11.26,567.12
13:20:12,9.36,512.81
13:20:13,10.42,512.47
13:20:14,12.19,524.29
13:20:15,9.7,559.74
13:20:16,11.65,542.26
13:20:17,6.22,258.1
13:20:18,0.0,0.0
13:20:19,0.0,0.0
13:20:20,0.0,0.0
13:20:21,0.0,0.0
13:20:22,0.0,0.0
13:20:23,0.0,0.0
13:20:24,0.0,0.0
13:20:25,0.0,0.0
13:20:26,0.0,0.0
13:20:27,0.0,0.0
13:20:28,0.0,0.0
13:20:29,0.0,0.0
13:20:30,0.0,0.0
13:20:31,0.0,0.0
13:20:32,0.0,0.0
13:20:33,0.0,0.0
13:20:34,0.0,0.0
13:20:35,0.0,0.0
13:20:36,0.0,0.0
13:20:37,0.0,0.0
13:20:38,0.0,0.0
13:20:39,0.0,0.0
13:20:40,0.0,0.0
13:20:41,0.0,0.0
13:20:42,0.0,0.0
13:20:43,0.0,0.0
13:20:44,0.0,0.0
13:20:45,0.0,0.0
13:20:46,0.0,0.0
13:20:47,0.0,0.0
13:20:48,0.0,0.0
13:20:49,0.0,0.0
13:20:50,0.0,0.0
