time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.008,3072,2,0,21.4,20.2,20.2,23.0,5.3,683924,5,1,1,bbr1
0.007,6904,4,0,23.6,31.4,20.2,31.4,6.8,237030,7,1,1,bbr1
0.029,9752,6,4320,24.2,28.9,20.2,31.4,6.4,237030,12,1,1,bbr1
0.005,16354,11,55,23.0,20.5,20.2,31.4,4.6,237030,15,1,1,bbr1
0.006,17132,11,0,23.7,26.7,20.2,31.4,3.9,304031,16,1,1,bbr1
0.029,18221,12,7200,24.2,27.6,20.2,31.4,3.9,304031,23,1,1,bbr1
0.033,18221,12,5760,23.8,21.1,20.2,31.4,3.7,304031,24,1,1,bbr1
0.043,18182,12,5760,23.3,20.1,20.1,31.4,3.7,304031,26,1,1,bbr1
0.051,20620,14,5760,22.9,20.2,20.1,31.4,3.5,381691,28,1,1,bbr1
0.059,20620,14,7200,22.6,20.2,20.1,31.4,3.4,381691,30,1,1,bbr1
0.066,20873,14,7200,22.3,20.2,20.1,31.4,3.1,389765,32,1,1,bbr1
0.073,21404,14,7200,22.0,20.2,20.1,31.4,2.8,406689,34,1,1,bbr1
0.080,22115,15,7200,21.8,20.1,20.1,31.4,2.6,429315,36,1,1,bbr1
0.087,23264,16,7200,21.6,20.2,20.1,31.4,2.4,465929,38,1,1,bbr1
0.096,24037,16,8640,21.4,20.2,20.1,31.4,2.1,490560,41,1,1,bbr1
0.102,24493,17,8640,21.3,20.2,20.1,31.4,1.9,505099,43,1,1,bbr1
0.107,25358,17,8640,21.1,20.2,20.1,31.4,1.7,532643,45,1,1,bbr1
0.115,25715,17,10080,21.0,20.1,20.1,31.4,1.5,544013,48,1,1,bbr1
0.120,26606,18,10080,20.9,20.2,20.1,31.4,1.3,572398,50,1,1,bbr1
0.125,27325,18,10080,20.8,20.2,20.1,31.4,1.2,595322,52,1,1,bbr1
0.133,28014,19,11520,20.7,20.2,20.1,31.4,1.0,617277,55,1,1,bbr1
0.138,29211,20,11520,20.7,20.2,20.1,31.4,0.9,655401,57,1,1,bbr1
0.142,30078,20,11520,20.6,20.2,20.1,31.4,0.8,683035,59,1,1,bbr1
0.146,31001,21,11520,20.5,20.2,20.1,31.4,0.7,712442,61,1,1,bbr1
0.152,31258,21,12960,20.5,20.2,20.1,31.4,0.6,720607,64,1,1,bbr1
0.155,32040,22,12960,20.5,20.2,20.1,31.4,0.6,745519,66,1,1,bbr1
0.161,32087,22,14400,20.4,20.2,20.1,31.4,0.5,747044,69,1,1,bbr1
0.165,33078,22,14400,20.4,20.2,20.1,31.4,0.4,778602,72,1,1,bbr1
0.169,34309,23,14400,20.4,20.2,20.1,31.4,0.4,817821,74,1,1,bbr1
0.172,35507,24,14400,20.3,20.1,20.1,31.4,0.3,855996,76,1,1,bbr1
0.177,36388,25,15840,20.3,20.2,20.1,31.4,0.3,884044,79,1,1,bbr1
0.180,36388,25,15840,20.3,20.2,20.1,31.4,0.2,884044,81,1,1,bbr1
0.184,37691,26,15840,20.3,20.2,20.1,31.4,0.2,925564,83,1,1,bbr1
0.189,37976,26,17280,20.3,20.1,20.1,31.4,0.2,934642,86,1,1,bbr1
0.191,38524,26,17280,20.3,20.5,20.1,31.4,0.2,952099,88,1,1,bbr1
0.196,38894,27,18720,20.3,20.2,20.1,31.4,0.2,963907,91,1,1,bbr1
0.199,39770,27,18720,20.3,20.7,20.1,31.4,0.2,991822,93,1,1,bbr1
0.202,40962,28,18720,20.4,20.9,20.1,31.4,0.3,1029801,95,1,1,bbr1
0.006,42596,29,110,21.8,24.0,20.1,31.4,1.6,1081835,100,1,1,bbr1
0.064,42596,29,0,22.7,27.1,20.1,31.4,2.7,1081835,101,1,1,bbr1
0.086,42596,29,2692,30.6,85.9,20.1,85.9,17.8,1081835,105,2,2,bbr1
0.091,42596,29,5760,29.9,25.0,20.1,85.9,14.8,1081835,109,2,2,bbr1
0.109,42596,29,23040,28.9,22.0,20.1,85.9,13.1,1081835,123,2,2,bbr1
0.111,42596,29,23040,28.1,22.6,20.1,85.9,11.4,1081835,125,2,2,bbr1
0.116,42596,29,24480,27.5,23.0,20.1,85.9,9.8,1081835,128,2,2,bbr1
0.119,42596,29,25920,27.1,24.1,20.1,85.9,8.2,1081835,131,2,2,bbr1
0.122,42596,29,25920,26.8,24.8,20.1,85.9,6.7,1081835,133,2,2,bbr1
0.126,42596,29,27360,26.6,25.5,20.1,85.9,5.4,1081835,136,2,2,bbr1
0.129,42596,29,27360,26.6,26.2,20.1,85.9,4.1,1081835,138,2,2,bbr1
0.133,42596,29,28800,26.6,27.0,20.1,85.9,3.2,1081835,141,2,2,bbr1
0.135,42596,29,28800,26.8,27.6,20.1,85.9,2.6,1081835,143,2,2,bbr1
0.140,42596,29,30240,26.9,28.1,20.1,85.9,2.3,1081835,146,2,2,bbr1
0.146,42596,29,31680,27.2,29.4,20.1,85.9,2.4,1081835,151,2,2,bbr1
0.153,42596,29,34560,27.7,31.0,20.1,85.9,2.7,632567,156,2,2,bbr1
0.158,42596,29,31680,28.3,32.4,20.1,85.9,3.2,632567,158,2,2,bbr1
