Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,804.0,0,0.0,4.19,1.049
2,1230.0,0,0.0,4.15,1.038
3,1270.0,1,0.0,4.09,1.024
4,3253.0,1,0.0,4.045,1.0125
5,3289.0,0,0.0,4.025,1.0074999999999998
6,3348.0,0,0.0,4.01,1.005
7,3176.0,0,0.0,4.0,1.001
8,1632.0,0,0.0,4.0,1.001
9,3309.0,1,0.0,4.0,1.001
10,1850.0,1,0.0,4.0,1.001
11,3906.0,1,0.0,4.0,1.001
12,2152.0,0,0.0,3.99,1.001
13,2762.0,0,0.0,3.99,1.001
14,3235.0,0,0.0,3.99,1.001
15,3084.0,0,0.0,3.99,1.001
16,4777.0,1,0.0,3.986666666666667,1.001
17,4977.0,0,0.0,3.98,1.001
18,3057.0,0,0.0,3.98,1.001
19,1629.0,2,0.0,3.98,1.001
20,1618.0,0,0.0,3.98,1.001
21,1599.0,0,0.0,3.98,1.001
22,1624.0,0,0.0,3.98,0.997
23,1640.0,0,0.0,3.9850000000000003,0.997
24,1728.0,0,0.0,3.99,0.997
25,2054.0,0,0.0,4.0,0.997
26,1755.0,0,0.0,4.0,0.9989999999999999
27,1749.0,0,0.0,4.0,1.001
28,1650.0,0,0.0,4.0,1.001
29,1865.0,0,0.0,4.0,1.001
30,1816.0,0,0.0,4.0,1.001
31,1893.0,0,0.0,3.99,1.001
32,470.0,0,0.0,3.99,1.001
33,551.0,1,0.0,3.99,1.001
34,681.0,0,0.0,3.99,1.001
35,738.0,0,0.0,3.98,1.001
36,752.0,0,0.0,3.98,1.001
37,795.0,0,0.0,3.98,1.001
38,851.0,0,0.0,3.98,1.001
39,455.0,0,0.0,3.98,1.001
40,600.0,0,0.0,3.98,0.997
41,790.0,0,0.0,3.98,0.997
42,793.0,0,0.0,3.99,0.997
43,823.0,0,0.0,3.995,0.997
44,1807.0,0,0.0,4.0,0.997
45,1947.0,1,0.0,4.0,1.001
46,1182.0,0,0.0,4.0,1.001
47,1631.0,0,0.0,4.0,1.001
48,678.0,0,0.0,4.0,1.001
49,655.0,1,0.0,3.99,1.001
50,512.0,0,0.0,3.99,1.001
51,662.0,0,0.0,3.99,1.001
52,857.0,0,0.0,3.9850000000000003,1.001
53,692.0,0,0.0,3.98,1.001
54,721.0,0,0.0,3.98,1.001
55,754.0,0,0.0,3.98,1.001
56,788.0,0,0.0,3.98,0.997
57,786.0,0,0.0,3.9850000000000003,0.997
58,786.0,0,0.0,3.99,0.997
59,783.0,0,0.0,4.0,0.997
60,832.0,0,0.0,4.0,0.997
61,804.0,0,0.0,4.0,1.001
62,276.0,0,0.0,4.0,1.001
63,378.0,0,0.0,4.0,1.001
64,786.0,0,0.0,3.995,1.001
65,887.0,0,0.0,3.99,1.001
66,809.0,0,0.0,3.99,1.001
67,826.0,0,0.0,3.99,1.001
68,815.0,0,0.0,3.98,1.001
69,796.0,0,0.0,3.98,1.001
70,806.0,0,0.0,3.98,1.001
71,872.0,0,0.0,3.98,0.9989999999999999
72,471.0,0,0.0,3.9850000000000003,0.997
73,526.0,0,0.0,3.99,0.997
74,731.0,0,0.0,3.995,0.997
75,485.0,0,0.0,4.0,0.997
76,829.0,0,0.0,4.0,1.001
77,890.0,0,0.0,4.0,1.001
78,865.0,0,0.0,4.0,1.001
79,911.0,0,0.0,4.0,1.001
80,781.0,0,0.0,4.0,1.001
81,733.0,0,0.0,3.99,1.001
82,734.0,0,0.0,3.99,1.001
83,910.0,0,0.0,3.99,1.001
84,865.0,0,0.0,3.9850000000000003,1.001
85,905.0,0,0.0,3.98,1.001
86,849.0,0,0.0,3.98,1.001
87,775.0,0,0.0,3.98,0.9996666666666666
88,802.0,0,0.0,3.98,0.997
89,799.0,0,0.0,3.986666666666667,0.997
90,732.0,0,0.0,3.995,0.997
91,878.0,0,0.0,4.0,0.997
