  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:56:57      0.00      0.00
14:56:58      0.00      0.07
14:56:59      0.00      0.07
14:57:00      0.07      0.20
14:57:01      0.00      0.00
14:57:02      0.00      0.00
14:57:03      0.00      0.43
14:57:04      0.00      0.00
14:57:05      0.00      0.00
14:57:06      0.00      0.00
14:57:07      0.00      0.00
14:57:08      0.00      0.00
14:57:09      0.00      0.00
14:57:10      0.00      0.00
14:57:11      0.00      0.00
14:57:12      0.00      0.07
14:57:13      0.00      0.00
14:57:14      0.00      0.00
14:57:15      0.00      0.07
14:57:16      0.00      0.14
14:57:17      0.00      0.00
14:57:18      0.07      0.07
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:57:19      0.00      0.43
14:57:20      0.00      0.00
14:57:21      0.00      0.00
14:57:22      0.00      0.00
14:57:23      0.00      0.00
14:57:24      0.00      0.00
14:57:25      0.00      0.00
14:57:26      0.04      0.04
14:57:27     13.80    301.25
14:57:28     16.81    509.64
14:57:29     19.36    428.59
14:57:30     18.07    474.07
14:57:31     15.37    454.97
14:57:32     14.89    457.83
14:57:33     13.74    578.95
14:57:34     12.48    613.04
14:57:35     13.98    602.56
14:57:36     11.31    548.39
14:57:37     14.90    670.49
14:57:38     11.07    462.63
14:57:39     14.06    661.63
14:57:40     12.71    768.06
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:57:41     15.96    734.02
14:57:42     10.43    534.84
14:57:43     14.58    757.51
14:57:44     11.91    611.57
14:57:45     15.80    769.45
14:57:46     10.23    413.76
14:57:47     11.34    522.80
14:57:48     10.25    415.06
14:57:49     15.33    764.96
14:57:50      9.85    449.32
14:57:51     13.21    786.91
14:57:52     12.21    413.51
14:57:53     12.73    735.48
14:57:54     11.94    589.37
14:57:55     16.21    831.88
14:57:56     12.77    513.95
14:57:57     14.87    835.95
14:57:58     12.52    558.27
14:57:59     14.71    853.79
14:58:00     12.94    550.85
14:58:01     14.39    831.45
14:58:02     12.92    734.02
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:58:03     15.29    830.65
14:58:04     13.37    621.62
14:58:05     14.94    798.75
14:58:06     12.90    596.60
14:58:07     14.60    798.15
14:58:08     12.99    566.95
14:58:09     14.01    816.57
14:58:10     13.54    598.11
14:58:11     13.64    810.81
14:58:12     15.20    624.88
14:58:13     13.57    750.23
14:58:14     14.75    644.04
14:58:15     13.74    748.73
14:58:16     14.64    682.31
14:58:17     12.67    685.93
14:58:18     15.65    682.85
14:58:19     12.26    711.89
14:58:20     16.01    726.47
14:58:21     12.48    708.84
14:58:22     16.06    684.47
14:58:23     11.75    662.09
14:58:24     15.70    763.69
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:58:25     12.52    652.73
14:58:26     15.88    757.41
14:58:27     11.92    580.36
14:58:28     16.69    810.11
14:58:29     14.02    670.51
14:58:30     15.48    800.48
14:58:31     12.36    575.85
14:58:32     14.49    818.63
14:58:33     11.80    557.05
14:58:34     14.51    844.95
14:58:35     13.62    559.70
14:58:36     15.32    798.96
14:58:37     12.16    549.34
14:58:38     14.72    844.53
14:58:39     11.90    484.40
14:58:40     15.54    814.48
14:58:41     12.75    545.38
14:58:42     14.89    837.33
14:58:43     13.51    574.50
14:58:44     15.76    816.70
14:58:45     12.76    575.04
14:58:46     13.67    801.89
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:58:47     14.36    595.17
14:58:48     13.83    776.90
14:58:49     13.70    629.36
14:58:50     12.48    754.62
14:58:51     15.18    630.62
14:58:52     13.03    767.97
14:58:53     15.59    662.09
14:58:54     12.91    762.89
14:58:55     15.07    696.03
14:58:56     13.65    680.85
