  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
02:11:42      0.00      0.00
02:11:43      0.00      0.00
02:11:44      0.00      0.07
02:11:45      0.00      0.07
02:11:46      0.07      0.14
02:11:47      0.00      0.07
02:11:48      0.00      0.40
02:11:49      0.00      0.00
02:11:50      0.00      0.00
02:11:51      0.00      0.00
02:11:52      0.00      0.00
02:11:53      0.00      0.00
02:11:54      0.00      0.00
02:11:55      0.00      0.00
02:11:56      0.00      0.00
02:11:57      0.00      0.00
02:11:58      0.00      0.00
02:11:59      0.00      0.07
02:12:00      0.00      0.07
02:12:01      0.00      0.07
02:12:02      0.00      0.00
02:12:03      0.00      0.00
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
02:12:04      0.07      0.53
02:12:05      0.00      0.00
02:12:06      0.00      0.00
02:12:07      0.00      0.00
02:12:08      0.00      0.00
02:12:09      0.00      0.00
02:12:10      0.00      0.00
02:12:11      0.04      0.04
02:12:12     12.51    345.02
02:12:13     12.51    428.28
02:12:14     12.40    444.53
02:12:15     12.53    428.52
02:12:16     11.68    436.10
02:12:17     12.60    426.86
02:12:18     12.54    460.80
02:12:19     16.47    655.73
02:12:20     14.02    520.13
02:12:21     17.31    683.80
02:12:22     14.44    552.35
02:12:23     20.36    831.49
02:12:24     15.67    568.84
02:12:25     18.95    753.20
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
02:12:26     16.07    592.23
02:12:27     16.02    627.68
02:12:28     16.32    613.15
02:12:29     17.64    748.77
02:12:30     15.89    635.16
02:12:31     15.38    598.21
02:12:32     17.68    658.91
02:12:33     13.25    502.28
02:12:34     17.50    685.28
02:12:35     14.15    537.58
02:12:36     17.68    711.05
02:12:37     14.19    539.67
02:12:38     20.40    734.01
02:12:39     14.38    530.28
02:12:40     18.22    757.69
02:12:41     13.38    502.40
02:12:42     19.53    775.36
02:12:43     17.68    722.26
02:12:44     18.13    799.39
02:12:45     17.98    663.45
02:12:46     21.15    823.04
02:12:47     15.70    602.59
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
02:12:48     19.12    846.32
02:12:49     16.54    620.47
02:12:50     18.93    850.65
02:12:51     16.66    627.90
02:12:52     19.06    855.28
02:12:53     17.07    642.63
02:12:54     20.44    853.64
02:12:55     16.53    636.96
02:12:56     21.49    853.63
02:12:57     14.20    518.71
02:12:58     18.29    775.47
02:12:59     15.25    617.36
02:13:00     20.29    832.13
02:13:01     14.85    564.17
02:13:02     18.60    810.17
02:13:03     15.25    583.38
02:13:04     16.80    686.76
02:13:05     15.33    598.41
02:13:06     17.26    687.30
02:13:07     15.70    627.67
02:13:08     15.75    617.33
02:13:09     16.11    645.41
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
02:13:10     15.49    598.13
02:13:11     17.98    669.02
02:13:12     19.12    815.23
02:13:13     17.00    689.85
02:13:14     18.80    788.62
02:13:15     17.45    722.21
02:13:16     18.67    809.31
02:13:17     17.83    737.26
02:13:18     17.83    770.88
02:13:19     18.00    759.88
02:13:20     19.09    733.19
02:13:21     19.96    784.46
02:13:22     17.69    713.33
02:13:23     18.12    808.26
02:13:24     17.63    673.45
02:13:25     20.19    837.41
02:13:26     16.57    642.44
02:13:27     19.07    852.60
02:13:28     16.20    623.24
02:13:29     19.19    855.12
02:13:30     17.37    678.17
02:13:31     19.06    853.70
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
02:13:32     16.87    645.58
02:13:33     20.29    854.49
02:13:34     16.28    632.10
02:13:35     19.52    855.52
02:13:36     16.11    642.80
02:13:37     22.45    853.99
02:13:38     17.26    682.43
02:13:39     19.45    853.95
02:13:40     16.79    655.04
02:13:41     19.46    854.45
02:13:42     15.37    619.22
02:13:43     20.83    855.26
02:13:44     15.80    645.93
02:13:45     20.29    852.74
02:13:46     15.78    651.64
02:13:47     19.81    846.36
02:13:48     16.34    657.60
02:13:49     19.89    837.41
02:13:50     16.80    676.65
02:13:51     19.85    816.71
