time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.006,3072,2,0,21.4,20.4,20.4,22.5,6.5,2357317,5,1,1,bbr1
0.005,6904,4,0,22.6,26.8,20.4,26.8,5.8,816984,7,1,1,bbr1
0.026,9752,6,4320,23.0,25.7,20.4,26.8,5.1,816984,12,1,1,bbr1
0.005,16354,11,55,22.6,20.3,20.3,26.8,3.0,816984,15,1,1,bbr1
0.006,17132,11,0,23.3,26.2,20.3,26.8,3.0,1021230,16,1,1,bbr1
0.026,19980,13,14400,23.7,26.4,20.3,26.8,3.1,1021230,29,1,1,bbr1
0.029,22828,15,15840,23.5,21.7,20.3,26.8,2.8,1021230,32,1,1,bbr1
0.034,25676,17,17280,23.5,24.0,20.3,26.8,2.2,1021230,35,1,1,bbr1
0.038,28524,19,18720,23.6,24.5,20.3,26.8,1.9,1021230,38,1,1,bbr1
0.041,31372,21,18720,23.8,25.2,20.3,26.8,1.8,1021230,40,1,1,bbr1
0.043,34220,23,18720,24.1,25.6,20.3,26.8,1.8,1021230,42,1,1,bbr1
0.048,37068,25,20160,23.6,20.3,20.3,26.8,2.3,1021230,45,1,1,bbr1
0.050,39916,27,20160,23.2,20.7,20.3,26.8,2.4,1021230,47,1,1,bbr1
0.055,41740,28,21600,23.0,21.2,20.3,26.8,2.3,1021230,50,1,1,bbr1
0.058,41740,28,21600,22.8,21.8,20.3,26.8,2.0,1021230,52,1,1,bbr1
0.060,41740,28,21600,22.8,22.3,20.3,26.8,1.6,1021230,54,1,1,bbr1
0.065,41740,28,23040,22.7,22.5,20.3,26.8,1.3,1021230,57,1,1,bbr1
0.067,41740,28,23040,22.8,23.5,20.3,26.8,1.2,1021230,59,1,1,bbr1
0.072,41740,28,24480,23.0,24.0,20.3,26.8,1.2,1021230,62,1,1,bbr1
0.075,42979,29,24480,23.2,24.6,20.3,26.8,1.3,1059443,64,1,1,bbr1
0.077,42979,29,24480,23.4,25.1,20.3,26.8,1.4,1059443,66,1,1,bbr1
0.082,42979,29,25920,23.7,25.7,20.3,26.8,1.7,1059443,69,1,1,bbr1
0.084,42979,29,25920,24.0,25.9,20.3,26.8,1.8,1059443,71,1,1,bbr1
0.088,42979,29,27360,24.3,26.8,20.3,26.8,2.1,1059443,74,1,1,bbr1
0.091,42979,29,27360,24.7,27.4,20.3,27.4,2.3,1059443,76,1,1,bbr1
0.095,42979,29,28800,25.1,28.0,20.3,28.0,2.6,1059443,79,1,1,bbr1
0.099,42979,29,30240,25.6,28.7,20.3,28.7,2.8,1059443,82,1,1,bbr1
0.103,42979,29,30240,26.0,29.1,20.3,29.1,3.0,635666,84,1,1,bbr1
0.105,42979,29,28800,26.4,29.4,20.3,29.4,3.1,635666,85,1,1,bbr1
0.110,42979,29,28800,26.9,30.5,20.3,30.5,3.3,635666,87,1,1,bbr1
0.112,42979,29,27360,27.5,31.2,20.3,31.2,3.5,635666,88,1,1,bbr1
0.116,42979,29,27360,28.0,31.6,20.3,31.6,3.7,635666,90,1,1,bbr1
0.119,42979,29,25920,28.5,32.5,20.3,32.5,3.9,635666,91,1,1,bbr1
0.123,42979,29,25920,29.1,32.8,20.3,32.8,4.0,635666,93,1,1,bbr1
0.126,42979,29,24480,29.7,33.8,20.3,33.8,4.2,635666,94,1,1,bbr1
0.129,42979,29,24480,30.3,34.4,20.3,34.4,4.3,847555,96,1,1,bbr1
0.132,42979,29,24480,30.9,35.0,20.3,35.0,4.4,847555,98,1,1,bbr1
0.136,42979,29,24480,31.5,35.8,20.3,35.8,4.6,847555,100,1,1,bbr1
0.139,42979,29,24480,31.9,35.2,20.3,35.8,4.3,847555,102,1,1,bbr1
0.143,42979,29,24480,32.2,34.1,20.3,35.8,3.8,847555,104,1,1,bbr1
0.146,42979,29,24480,32.3,33.3,20.3,35.8,3.1,847555,106,1,1,bbr1
0.150,42979,29,24480,32.3,31.8,20.3,35.8,2.5,847555,108,1,1,bbr1
0.152,42979,29,23040,32.1,30.7,20.3,35.8,2.3,847555,109,1,1,bbr1
0.156,42979,29,24480,31.8,29.5,20.3,35.8,2.3,847555,112,1,1,bbr1
0.158,42979,29,23040,31.4,29.3,20.3,35.8,2.4,847555,113,1,1,bbr1
0.163,42979,29,24480,31.2,29.3,20.3,35.8,2.3,847555,116,1,1,bbr1
0.165,42979,29,23040,30.9,29.3,20.3,35.8,2.2,847555,117,1,1,bbr1
0.169,42979,29,23040,30.7,29.3,20.3,35.8,2.1,847555,119,1,1,bbr1
0.172,42979,29,23040,30.5,29.2,20.3,35.8,1.9,847555,122,1,1,bbr1
0.175,42979,29,23040,30.4,29.2,20.3,35.8,1.8,847555,124,1,1,bbr1
0.179,42979,29,23040,30.2,29.1,20.3,35.8,1.6,847555,126,1,1,bbr1
0.182,42979,29,23040,30.1,29.2,20.3,35.8,1.5,847555,128,1,1,bbr1
0.185,42979,29,23040,30.0,29.2,20.3,35.8,1.4,847555,130,1,1,bbr1
0.189,42979,29,23040,29.9,29.2,20.3,35.8,1.2,1059443,132,1,1,bbr1
0.192,42979,29,24480,29.8,29.2,20.3,35.8,1.1,1059443,135,1,1,bbr1
0.197,42979,29,25920,29.7,29.1,20.3,35.8,1.0,1059443,138,1,1,bbr1
0.199,42979,29,25920,29.6,29.1,20.3,35.8,0.9,1059443,140,1,1,bbr1
0.202,42979,29,27360,29.5,28.8,20.3,35.8,0.9,1059443,142,1,1,bbr1
0.205,42979,29,27360,29.4,28.7,20.3,35.8,0.9,1059443,144,1,1,bbr1
0.211,42979,29,30240,29.4,29.1,20.3,35.8,0.7,1059443,149,1,1,bbr1
0.218,42979,29,30240,29.4,29.1,20.3,35.8,0.6,635666,153,1,1,bbr1
0.225,42979,29,28800,29.5,30.5,20.3,35.8,0.7,635666,156,1,1,bbr1
0.232,42979,29,27360,29.8,31.7,20.3,35.8,1.1,635666,159,1,1,bbr1
0.014,44083,30,55,31.7,31.5,20.3,35.9,1.8,874804,162,1,1,bbr1
0.013,44083,30,0,32.3,36.3,20.3,36.3,2.5,1093505,163,1,1,bbr1
0.040,44083,30,25920,31.2,23.8,20.3,36.3,4.0,1093505,186,1,1,bbr1
0.047,44083,30,27360,30.5,25.3,20.3,36.3,4.5,1093505,191,1,1,bbr1
0.054,44083,30,28800,30.0,26.8,20.3,36.3,4.3,1093505,196,1,1,bbr1
0.060,44083,30,30240,29.8,28.3,20.3,36.3,3.6,1093505,201,1,1,bbr1
0.066,44083,30,33120,29.8,29.6,20.3,36.3,2.8,1093505,206,1,1,bbr1
0.073,44083,30,33120,29.9,30.9,20.3,36.3,2.4,656103,210,1,1,bbr1
0.079,44083,30,31680,30.2,32.4,20.3,36.3,2.4,656103,213,1,1,bbr1
0.086,44083,30,30240,30.7,34.1,20.3,36.3,2.8,656103,216,1,1,bbr1
0.093,44083,30,28800,31.3,35.5,20.3,36.3,3.3,656103,219,1,1,bbr1
0.099,44083,30,27360,32.0,36.8,20.3,36.8,3.8,656103,222,1,1,bbr1
0.106,44083,30,25920,32.8,38.7,20.3,38.7,4.6,656103,225,1,1,bbr1
0.112,44083,30,24480,33.6,39.3,20.3,39.3,5.0,874804,228,1,1,bbr1
0.120,44083,30,25920,34.1,37.3,20.3,39.3,4.7,874804,233,1,1,bbr1
0.127,44083,30,25920,34.2,34.7,20.3,39.3,3.7,874804,237,1,1,bbr1
0.134,44083,30,25920,34.1,33.3,20.3,39.3,3.0,874804,241,1,1,bbr1
0.140,44083,30,25920,33.7,31.1,20.3,39.3,3.0,874804,245,1,1,bbr1
0.146,44083,30,25920,33.3,30.8,20.3,39.3,3.0,874804,249,1,1,bbr1
0.153,44083,30,25920,33.0,31.0,20.3,39.3,2.8,874804,253,1,1,bbr1
0.159,44083,30,25920,32.8,30.9,20.3,39.3,2.6,874804,257,1,1,bbr1
0.168,44083,30,27360,32.6,31.2,20.3,39.3,2.4,874804,262,1,1,bbr1
0.173,44083,30,25920,32.4,31.4,20.3,39.3,2.1,874804,265,1,1,bbr1
0.180,44083,30,25920,32.3,31.1,20.3,39.3,1.9,1093505,269,1,1,bbr1
0.187,44083,30,30240,32.2,31.9,20.3,39.3,1.5,1093505,275,1,1,bbr1
0.192,44083,30,30240,32.2,32.1,20.3,39.3,1.2,1093505,279,1,1,bbr1
0.199,44083,30,31680,32.2,32.3,20.3,39.3,0.9,1093505,284,1,1,bbr1
0.208,44083,30,34560,32.2,32.5,20.3,39.3,0.7,656103,290,1,1,bbr1
0.212,44083,30,31680,32.2,32.2,20.3,39.3,0.6,656103,292,1,1,bbr1
0.221,44083,30,31680,32.5,34.6,20.3,39.3,1.0,656103,296,1,1,bbr1
0.227,44083,30,30240,33.0,36.1,20.3,39.3,1.7,656103,299,1,1,bbr1
0.234,44083,30,28800,33.6,37.6,20.3,39.3,2.4,656103,302,1,1,bbr1
0.240,44083,30,27360,34.2,39.1,20.3,39.3,3.2,656103,305,1,1,bbr1
0.247,44083,30,25920,35.0,40.6,20.3,40.6,4.0,656103,308,1,1,bbr1
0.253,44083,30,24480,35.4,38.1,20.3,40.6,3.7,874804,311,1,1,bbr1
0.259,44083,30,24480,35.6,36.6,20.3,40.6,3.1,874804,315,1,1,bbr1
0.268,44083,30,25920,35.4,34.5,20.3,40.6,2.6,874804,320,1,1,bbr1
0.274,44083,30,25920,35.1,32.6,20.3,40.6,2.7,874804,324,1,1,bbr1
0.281,44083,30,25920,34.5,30.2,20.3,40.6,3.2,874804,328,1,1,bbr1
0.288,44083,30,25920,33.9,30.2,20.3,40.6,3.5,874804,332,1,1,bbr1
0.294,44083,30,25920,33.5,30.4,20.3,40.6,3.5,874804,336,1,1,bbr1
0.301,44083,30,25920,33.1,30.6,20.3,40.6,3.4,874804,340,1,1,bbr1
0.307,44083,30,25920,32.8,30.8,20.3,40.6,3.1,874804,344,1,1,bbr1
0.314,44083,30,25920,32.6,30.9,20.3,40.6,2.8,874804,348,1,1,bbr1
0.320,44083,30,27360,32.3,30.7,20.3,40.6,2.6,874804,352,1,1,bbr1
0.325,44083,30,25920,32.1,30.7,20.3,40.6,2.3,874804,355,1,1,bbr1
0.332,44083,30,25920,32.0,30.8,20.3,40.6,2.1,874804,359,1,1,bbr1
0.339,44083,30,25920,31.9,31.5,20.3,40.6,1.7,1093505,363,1,1,bbr1
0.346,44083,30,28800,31.9,31.7,20.3,40.6,1.3,1093505,369,1,1,bbr1
0.353,44083,30,30240,31.9,31.9,20.3,40.6,1.0,1093505,374,1,1,bbr1
