Timestamp,Buffer_Level,Live_Latency,Playback_Rate,Quality_Switches,Stall_Count,Stall_Duration_Sec,Actual_Bitrate_Kbps,Last_Chunk_DL_Time_Sec
2026-04-07T00:37:48.194Z,0.63,4.31,1.066,0,0,0.000,692,0.282
2026-04-07T00:37:49.193Z,1.19,4.25,1.061,0,0,0.000,4182,1.288
2026-04-07T00:37:50.193Z,2.05,4.20,1.050,1,0,0.000,3202,0.996
2026-04-07T00:37:51.193Z,2.50,4.15,1.040,2,0,0.000,3202,0.996
2026-04-07T00:37:52.193Z,1.99,4.12,1.031,3,0,0.000,4385,1.348
2026-04-07T00:37:53.193Z,2.20,4.09,1.025,3,0,0.000,4385,1.348
2026-04-07T00:37:54.193Z,1.96,4.07,1.021,3,0,0.000,4547,1.414
2026-04-07T00:37:55.198Z,2.87,4.05,1.017,3,0,0.000,3311,1.032
2026-04-07T00:37:56.195Z,1.92,4.04,1.012,4,0,0.000,3311,1.032
2026-04-07T00:37:57.193Z,2.65,4.03,1.007,4,0,0.000,3311,1.032
2026-04-07T00:37:58.196Z,2.04,4.02,1.007,4,0,0.000,3433,1.091
2026-04-07T00:37:59.193Z,2.16,4.01,1.007,4,0,0.000,3433,1.091
2026-04-07T00:38:00.195Z,1.90,4.01,1.003,4,0,0.000,3420,1.056
2026-04-07T00:38:01.193Z,2.33,4.01,1.003,4,0,0.000,3420,1.056
2026-04-07T00:38:02.195Z,2.04,4.00,1.003,4,0,0.000,3433,1.102
2026-04-07T00:38:03.195Z,2.97,4.00,1.003,4,0,0.000,1012,0.338
2026-04-07T00:38:04.193Z,1.91,4.00,1.003,4,0,0.000,1012,0.338
2026-04-07T00:38:05.197Z,2.84,3.99,1.003,4,0,0.000,1270,0.484
2026-04-07T00:38:06.195Z,2.05,3.99,0.999,4,0,0.000,1270,0.484
2026-04-07T00:38:07.193Z,2.08,4.00,0.999,4,0,0.000,1270,0.484
2026-04-07T00:38:08.195Z,1.92,4.00,0.999,4,0,0.000,3253,1.036
2026-04-07T00:38:09.193Z,1.87,4.00,0.999,4,0,0.000,3253,1.036
2026-04-07T00:38:10.195Z,2.06,4.00,0.999,4,0,0.000,3289,1.017
2026-04-07T00:38:11.193Z,1.62,4.00,0.999,4,0,0.000,3289,1.017
2026-04-07T00:38:12.194Z,1.94,4.00,0.999,4,0,0.000,3348,1.046
2026-04-07T00:38:13.193Z,1.60,4.00,0.999,4,0,0.000,3348,1.046
2026-04-07T00:38:14.193Z,1.82,4.00,0.999,4,0,0.000,3176,0.983
2026-04-07T00:38:15.193Z,1.58,4.00,0.999,4,0,0.000,3176,0.983
