time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.4,20.2,20.2,23.0,5.3,1006965,5,1,1,cubic
0.005,18532,12,0,22.8,20.2,20.2,29.9,5.4,811952,8,1,1,cubic
0.006,16932,11,55,24.8,29.0,20.2,29.9,4.6,682164,16,1,1,cubic
0.017,16932,11,0,24.7,27.3,20.2,29.9,4.0,685506,17,1,1,cubic
0.039,17248,11,14400,26.5,38.9,20.2,38.9,6.6,651408,29,1,1,cubic
0.042,17261,11,14400,26.3,25.2,20.2,38.9,5.3,655962,31,1,1,cubic
0.046,17275,11,14400,26.3,26.3,20.2,38.9,4.0,656644,33,1,1,cubic
0.049,17289,12,14400,26.2,25.3,20.2,38.9,3.2,660288,35,1,1,cubic
0.055,17303,12,15840,26.0,24.4,20.2,38.9,2.8,666371,38,1,1,cubic
0.057,17316,12,14400,25.7,23.5,20.2,38.9,2.8,674982,39,1,1,cubic
0.063,17336,12,15840,25.2,21.9,20.2,38.9,3.0,688400,42,1,1,cubic
0.065,17350,12,14400,24.8,22.0,20.2,38.9,3.1,700104,43,1,1,cubic
0.069,17364,12,14400,24.4,22.0,20.2,38.9,3.0,710590,45,1,1,cubic
0.073,17377,12,14400,24.0,20.9,20.2,38.9,3.1,724222,47,1,1,cubic
0.075,17391,12,12960,23.5,20.2,20.2,38.9,3.3,739507,48,1,1,cubic
0.079,17407,12,12960,23.1,20.3,20.2,38.9,3.3,752930,50,1,1,cubic
0.084,17424,12,14400,22.8,20.2,20.2,38.9,3.2,765822,53,1,1,cubic
0.088,17439,12,14400,22.4,20.1,20.1,38.9,3.0,777658,55,1,1,cubic
0.092,17455,12,14400,22.1,20.2,20.1,38.9,2.8,788178,57,1,1,cubic
0.096,17470,12,14400,21.9,20.3,20.1,38.9,2.6,797243,59,1,1,cubic
0.101,17485,12,15840,21.7,20.2,20.1,38.9,2.4,805648,62,1,1,cubic
0.104,17500,12,15840,21.6,20.5,20.1,38.9,2.1,811951,64,1,1,cubic
0.108,17514,12,15840,21.4,20.2,20.1,38.9,1.9,818832,66,1,1,cubic
0.112,17528,12,15840,21.2,20.2,20.1,38.9,1.7,825390,68,1,1,cubic
0.115,17541,12,15840,21.1,20.2,20.1,38.9,1.5,831090,70,1,1,cubic
0.119,17554,12,15840,21.0,20.2,20.1,38.9,1.4,836183,72,1,1,cubic
0.122,17568,12,15840,20.9,20.2,20.1,38.9,1.2,840815,74,1,1,cubic
0.126,17585,12,15840,21.0,21.6,20.1,38.9,1.1,838219,76,1,1,cubic
0.129,17594,12,15840,20.9,20.5,20.1,38.9,0.9,841214,78,1,1,cubic
0.132,17606,12,15840,20.8,20.2,20.1,38.9,0.9,845223,80,1,1,cubic
0.136,17821,12,15840,20.8,20.7,20.1,38.9,0.7,856325,82,1,1,cubic
0.139,18052,12,15840,20.8,20.5,20.1,38.9,0.6,869305,84,1,1,cubic
0.143,18279,12,15840,20.8,20.9,20.1,38.9,0.5,879389,86,1,1,cubic
0.146,18503,12,15840,20.7,20.2,20.1,38.9,0.5,893389,88,1,1,cubic
0.150,18725,13,15840,20.7,21.0,20.1,38.9,0.5,902540,90,1,1,cubic
0.153,18944,13,17280,20.8,21.0,20.1,38.9,0.4,911733,93,1,1,cubic
0.157,19160,13,17280,20.7,20.4,20.1,38.9,0.4,923996,95,1,1,cubic
0.160,19374,13,17280,20.7,20.5,20.1,38.9,0.4,935761,97,1,1,cubic
0.163,19586,13,17280,20.7,20.4,20.1,38.9,0.3,947556,99,1,1,cubic
0.167,19795,13,17280,20.6,20.3,20.1,38.9,0.3,959897,101,1,1,cubic
0.170,20003,13,17280,20.6,20.2,20.1,38.9,0.4,972199,103,1,1,cubic
0.174,20208,14,17280,20.6,21.1,20.1,38.9,0.4,978927,105,1,1,cubic
0.177,20411,14,18720,20.7,21.3,20.1,38.9,0.5,984706,108,1,1,cubic
0.180,20611,14,18720,20.9,22.3,20.1,38.9,0.7,985135,110,1,1,cubic
0.184,20810,14,18720,21.1,22.5,20.1,38.9,1.0,985368,112,1,1,cubic
0.187,21007,14,18720,21.3,22.5,20.1,38.9,1.1,986383,114,1,1,cubic
0.190,21203,14,18720,21.5,23.2,20.1,38.9,1.3,984583,116,1,1,cubic
0.194,21396,14,18720,21.8,23.6,20.1,38.9,1.5,981963,118,1,1,cubic
0.197,21588,14,18720,22.0,23.7,20.1,38.9,1.6,980292,120,1,1,cubic
0.201,21778,15,18720,22.2,23.6,20.1,38.9,1.6,979887,122,1,1,cubic
0.204,21966,15,20160,22.4,23.5,20.1,38.9,1.5,981238,125,1,1,cubic
0.207,22153,15,20160,22.5,23.6,20.1,38.9,1.4,983048,127,1,1,cubic
0.211,22338,15,20160,22.7,23.6,20.1,38.9,1.3,985572,129,1,1,cubic
0.214,22521,15,20160,22.8,23.7,20.1,38.9,1.2,988283,131,1,1,cubic
0.218,22704,15,20160,22.9,23.6,20.1,38.9,1.1,991744,133,1,1,cubic
0.221,22884,15,20160,23.0,23.6,20.1,38.9,1.0,995519,135,1,1,cubic
0.224,23063,16,20160,23.1,23.6,20.1,38.9,0.9,1000086,137,1,1,cubic
0.231,23419,16,18720,23.6,27.1,20.1,38.9,1.7,994057,140,1,1,cubic
0.238,23769,16,18720,24.0,27.0,20.1,38.9,2.1,990787,144,1,1,cubic
0.245,24114,16,18720,24.4,27.0,20.1,38.9,2.4,989535,148,1,1,cubic
0.251,24454,16,18720,24.7,27.1,20.1,38.9,2.4,989880,152,1,1,cubic
0.259,24706,17,20160,24.8,25.6,20.1,38.9,2.1,995567,156,1,1,cubic
0.263,25038,17,20160,24.9,25.4,20.1,38.9,1.7,1006107,160,1,1,cubic
0.005,25038,17,0,24.6,25.4,20.1,38.9,1.3,1019545,161,1,1,cubic
0.010,25038,17,0,24.8,26.5,20.1,38.9,1.4,1009515,162,1,1,cubic
0.035,25366,17,20160,26.1,34.8,20.1,38.9,3.6,973518,180,1,1,cubic
0.042,25608,17,21600,26.6,30.2,20.1,38.9,3.7,963539,184,1,1,cubic
0.047,25928,18,20160,27.4,33.2,20.1,38.9,4.5,945932,187,1,1,cubic
0.054,26245,18,21600,28.3,34.3,20.1,38.9,5.1,928237,192,1,1,cubic
0.060,26557,18,21600,27.9,25.4,20.1,38.9,4.5,951216,196,1,1,cubic
0.067,26866,18,21600,27.6,25.4,20.1,38.9,4.0,973229,200,1,1,cubic
0.074,27171,18,21600,27.5,27.0,20.1,38.9,3.2,986852,204,1,1,cubic
0.081,27473,19,21600,27.5,27.1,20.1,38.9,2.5,999963,209,1,1,cubic
0.087,27772,19,23040,27.4,27.0,20.1,38.9,2.0,1013095,214,1,1,cubic
0.094,28067,19,23040,27.4,27.0,20.1,38.9,1.6,1025728,218,1,1,cubic
0.101,28359,19,23040,27.3,27.0,20.1,38.9,1.3,1037954,222,1,1,cubic
0.108,28649,19,23040,27.3,27.0,20.1,38.9,1.0,1050106,226,1,1,cubic
0.115,28935,20,23040,28.1,33.5,20.1,38.9,2.3,1031403,230,1,1,cubic
0.121,29218,20,24480,28.8,33.8,20.1,38.9,3.2,1015465,235,1,1,cubic
0.128,29499,20,24480,29.4,33.8,20.1,38.9,3.6,1003264,239,1,1,cubic
0.135,29777,20,24480,30.0,33.8,20.1,38.9,3.8,994057,243,1,1,cubic
0.142,30053,20,24480,30.4,33.8,20.1,38.9,3.8,987351,247,1,1,cubic
0.149,30326,21,24480,30.9,33.9,20.1,38.9,3.7,982345,251,1,1,cubic
0.155,30596,21,25920,31.2,33.9,20.1,38.9,3.6,979103,256,1,1,cubic
0.162,30864,21,25920,31.6,33.9,20.1,38.9,3.3,977358,260,1,1,cubic
0.169,31130,21,25920,31.9,33.9,20.1,38.9,3.1,976933,264,1,1,cubic
0.177,31459,21,24480,32.3,35.6,20.1,38.9,3.2,973119,268,1,1,cubic
0.186,31785,22,24480,32.9,37.1,20.1,38.9,3.6,965287,273,1,1,cubic
0.195,32108,22,25920,32.8,32.1,20.1,38.9,2.9,978246,279,1,1,cubic
0.203,32427,22,25920,32.9,33.8,20.1,38.9,2.4,984366,284,1,1,cubic
0.211,28373,19,25920,33.0,33.7,20.1,38.9,2.0,859006,289,1,1,cubic
0.220,28427,19,21600,33.1,33.5,20.1,38.9,1.6,859159,291,1,1,cubic
0.228,28480,19,21600,33.1,33.5,20.1,38.9,1.3,859591,296,1,1,cubic
0.237,28532,19,21600,33.2,33.4,20.1,38.9,1.1,860200,301,1,1,cubic
0.245,28584,19,21600,33.2,33.4,20.1,38.9,0.9,860886,306,1,1,cubic
0.254,28636,19,21600,33.2,33.3,20.1,38.9,0.7,862036,311,1,1,cubic
0.262,28687,19,21600,33.2,33.3,20.1,38.9,0.5,863234,316,1,1,cubic
0.271,28738,19,21600,33.2,33.3,20.1,38.9,0.4,864560,321,1,1,cubic
0.279,28788,19,21600,33.3,33.4,20.1,38.9,0.3,865596,326,1,1,cubic
0.288,28838,20,21600,33.3,33.3,20.1,38.9,0.3,866917,331,1,1,cubic
0.305,28936,20,23040,33.3,33.3,20.1,38.9,0.2,869915,342,1,1,cubic
0.313,28985,20,23040,33.3,33.3,20.1,38.9,0.1,871179,347,1,1,cubic
0.322,29032,20,23040,33.3,33.4,20.1,38.9,0.1,872093,352,1,1,cubic
0.330,29079,20,23040,33.3,33.4,20.1,38.9,0.1,873164,357,1,1,cubic
0.338,29127,20,23040,33.3,33.5,20.1,38.9,0.1,874002,362,1,1,cubic
0.347,29173,20,23040,33.3,33.4,20.1,38.9,0.1,875198,367,1,1,cubic
0.355,29220,20,23040,33.3,33.5,20.1,38.9,0.1,876188,372,1,1,cubic
0.364,29266,20,23040,33.4,33.5,20.1,38.9,0.1,876936,377,1,1,cubic
0.372,29311,20,23040,33.4,33.5,20.1,38.9,0.1,877916,382,1,1,cubic
0.381,29356,20,23040,33.4,33.5,20.1,38.9,0.1,878948,387,1,1,cubic
0.398,22521,15,15840,33.4,33.4,20.1,38.9,0.1,674402,392,1,1,cubic
0.406,22566,15,15840,33.4,33.4,20.1,38.9,0.1,675648,397,1,1,cubic
0.415,22612,15,15840,33.4,33.4,20.1,38.9,0.1,677005,402,1,1,cubic
0.423,22656,15,15840,32.4,25.1,20.1,38.9,2.1,700210,407,1,1,cubic
0.432,22701,15,14400,31.2,22.9,20.1,38.9,4.0,728319,411,1,1,cubic
0.441,22745,15,14400,29.9,20.7,20.1,38.9,5.6,761695,416,1,1,cubic
0.449,22788,15,14400,28.8,21.1,20.1,38.9,6.4,792295,420,1,1,cubic
0.458,22831,15,15840,27.7,20.3,20.1,38.9,6.9,824015,425,1,1,cubic
0.463,22859,15,15840,26.8,20.2,20.1,38.9,7.1,853999,428,1,1,cubic
0.470,22888,15,17280,26.0,20.5,20.1,38.9,6.9,881019,432,1,1,cubic
0.475,22916,15,17280,25.3,20.4,20.1,38.9,6.5,906523,435,1,1,cubic
0.481,22943,15,18720,24.6,20.1,20.1,38.9,6.2,931241,439,1,1,cubic
0.486,22970,15,18720,24.1,20.6,20.1,38.9,5.7,951966,442,1,1,cubic
0.490,22994,15,17280,23.7,20.6,20.1,38.9,5.1,970989,445,1,1,cubic
0.497,23027,15,17280,23.3,20.4,20.1,38.9,4.7,989344,449,1,1,cubic
0.504,23059,16,17280,23.1,21.5,20.1,38.9,3.9,1000216,453,1,1,cubic
0.511,23092,16,18720,22.9,22.2,20.1,38.9,3.2,1006187,458,1,1,cubic
0.518,23228,16,18720,23.0,23.0,20.1,38.9,2.4,1011848,462,1,1,cubic
0.524,23581,16,18720,23.1,24.0,20.1,38.9,2.0,1021662,466,1,1,cubic
0.531,23928,16,18720,23.3,24.8,20.1,38.9,2.0,1027261,470,1,1,cubic
0.538,24271,16,18720,23.6,25.9,20.1,38.9,2.1,1027648,474,1,1,cubic
0.545,24609,17,18720,24.1,27.2,20.1,38.9,2.5,1022775,478,1,1,cubic
0.551,24942,17,20160,24.4,27.1,20.1,38.9,2.6,1020540,483,1,1,cubic
0.558,25189,17,21600,24.6,25.4,20.1,38.9,2.2,1025903,487,1,1,cubic
0.563,25515,17,20160,24.6,25.3,20.1,38.9,1.8,1035469,490,1,1,cubic
