time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.5,20.4,20.4,23.2,5.3,891737,5,1,1,cubic
0.006,5338,3,0,23.4,30.3,20.4,30.3,6.3,891737,7,1,1,cubic
0.028,8307,5,2880,23.9,27.7,20.4,30.3,5.8,891737,11,1,1,cubic
0.006,10472,7,922,24.5,22.0,20.4,31.0,5.3,891737,14,1,1,cubic
0.006,10472,7,0,24.7,26.7,20.4,31.0,3.7,891737,15,1,1,cubic
0.028,13431,9,8640,25.1,28.1,20.4,31.0,3.7,535291,23,1,1,cubic
0.034,11771,8,10080,25.9,31.5,20.4,31.5,4.3,454671,26,1,1,cubic
0.037,11783,8,8640,27.0,34.9,20.4,34.9,5.5,436181,27,1,1,cubic
0.038,9019,6,7200,28.4,38.2,20.4,38.2,6.9,436181,28,1,1,cubic
0.050,9054,6,7200,27.6,21.9,20.4,38.2,6.8,436181,30,1,1,cubic
0.054,9064,6,7200,26.7,20.1,20.1,38.2,7.0,436181,32,1,1,cubic
0.059,9079,6,7200,25.9,20.7,20.1,38.2,6.7,436181,34,1,1,cubic
0.066,9099,6,8640,25.5,22.3,20.1,38.2,6.0,436181,36,1,1,cubic
0.072,9117,6,7200,25.0,21.9,20.1,38.2,5.3,436181,37,1,1,cubic
0.076,9486,6,7200,24.6,21.9,20.1,38.2,4.8,436181,39,1,1,cubic
0.081,9918,6,7200,24.3,21.9,20.1,38.2,4.3,436181,41,1,1,cubic
0.091,10125,7,8640,23.8,20.2,20.1,38.2,4.2,436181,43,1,1,cubic
0.094,10530,7,8640,23.5,21.9,20.1,38.2,3.6,436181,45,1,1,cubic
0.098,10920,7,8640,23.3,21.9,20.1,38.2,3.1,436181,47,1,1,cubic
0.103,11295,7,8640,23.2,22.3,20.1,38.2,2.6,436181,49,1,1,cubic
0.113,11658,8,8640,23.0,21.9,20.1,38.2,2.3,505967,51,1,1,cubic
0.119,12010,8,10080,22.9,22.3,20.1,38.2,1.9,523357,54,1,1,cubic
0.121,12351,8,8640,22.9,22.2,20.1,38.2,1.6,540359,55,1,1,cubic
0.127,12683,8,8640,22.7,21.9,20.1,38.2,1.4,557764,57,1,1,cubic
0.135,13007,9,10080,22.6,21.8,20.1,38.2,1.3,574844,60,1,1,cubic
0.139,13322,9,10080,22.3,20.2,20.1,38.2,1.6,596783,62,1,1,cubic
0.147,13630,9,11520,22.1,20.2,20.1,38.2,1.7,617916,65,1,1,cubic
0.151,13931,9,11520,21.8,20.2,20.1,38.2,1.8,638333,67,1,1,cubic
0.155,14225,9,11520,21.6,20.2,20.1,38.2,1.7,657986,69,1,1,cubic
0.160,14513,10,11520,21.4,20.1,20.1,38.2,1.7,677133,71,1,1,cubic
0.166,14796,10,12960,21.3,20.2,20.1,38.2,1.6,695496,74,1,1,cubic
0.170,15073,10,12960,21.1,20.2,20.1,38.2,1.4,713143,76,1,1,cubic
0.175,15345,10,12960,21.0,20.2,20.1,38.2,1.3,729880,78,1,1,cubic
0.178,15613,10,12960,20.9,20.1,20.1,38.2,1.2,746640,80,1,1,cubic
0.182,15875,11,12960,20.8,20.1,20.1,38.2,1.1,762671,82,1,1,cubic
0.188,16134,11,14400,20.7,20.3,20.1,38.2,1.0,777729,85,1,1,cubic
0.192,16388,11,14400,20.7,20.2,20.1,38.2,0.8,792456,87,1,1,cubic
0.195,16638,11,14400,20.6,20.2,20.1,38.2,0.7,806769,89,1,1,cubic
0.198,16884,11,14400,20.6,20.2,20.1,38.2,0.7,820767,91,1,1,cubic
0.202,17127,11,14400,20.5,20.3,20.1,38.2,0.6,834201,93,1,1,cubic
0.206,17367,12,14400,20.5,20.2,20.1,38.2,0.5,847418,95,1,1,cubic
0.210,17603,12,15840,20.5,20.2,20.1,38.2,0.5,860614,98,1,1,cubic
0.214,17836,12,15840,20.5,20.6,20.1,38.2,0.4,871111,100,1,1,cubic
0.217,18066,12,15840,20.5,20.4,20.1,38.2,0.3,882646,102,1,1,cubic
0.221,18293,12,15840,20.4,20.2,20.1,38.2,0.3,895179,104,1,1,cubic
0.224,18517,12,15840,20.5,20.8,20.1,38.2,0.3,904017,106,1,1,cubic
0.228,18738,13,15840,20.5,20.9,20.1,38.2,0.3,912313,108,1,1,cubic
0.232,18957,13,17280,20.6,21.3,20.1,38.2,0.4,918815,111,1,1,cubic
0.235,19174,13,17280,20.7,21.2,20.1,38.2,0.5,926101,113,1,1,cubic
0.238,19388,13,17280,20.8,21.1,20.1,38.2,0.5,933956,115,1,1,cubic
0.242,19599,13,17280,20.8,21.0,20.1,38.2,0.4,942894,117,1,1,cubic
0.245,19808,13,17280,20.8,20.6,20.1,38.2,0.3,954004,119,1,1,cubic
0.249,20015,13,17280,20.7,20.2,20.1,38.2,0.4,967375,121,1,1,cubic
0.252,20220,14,17280,20.9,22.3,20.1,38.2,0.7,968066,123,1,1,cubic
0.255,20423,14,18720,21.1,22.6,20.1,38.2,0.9,968098,126,1,1,cubic
0.259,20624,14,18720,21.3,22.7,20.1,38.2,1.1,968535,128,1,1,cubic
0.262,20823,14,18720,21.5,22.7,20.1,38.2,1.2,969684,130,1,1,cubic
0.265,21020,14,18720,21.7,23.4,20.1,38.2,1.4,967860,132,1,1,cubic
0.269,21215,14,18720,22.0,23.8,20.1,38.2,1.6,965107,134,1,1,cubic
0.272,21408,14,18720,22.2,23.7,20.1,38.2,1.6,964715,136,1,1,cubic
