Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,911.0,0,0.0,4.31,1.066
2,4480.0,0,0.0,4.225,1.0535
3,3137.0,2,0.0,4.15,1.04
4,4653.0,0,0.0,4.105,1.028
5,4864.0,0,0.0,4.0600000000000005,1.019
6,3780.0,0,0.0,4.035,1.0095
7,4941.0,0,0.0,4.015,1.005
8,4769.0,0,0.0,4.01,1.003
9,4454.0,0,0.0,4.0,1.003
10,5050.0,0,0.0,3.995,1.003
11,4205.0,0,0.0,3.995,0.999
12,4126.0,0,0.0,4.0,0.999
13,4817.0,0,0.0,4.0,0.999
14,2546.0,0,0.0,4.0,0.999
15,3125.0,0,0.0,4.0,0.999
16,4363.0,1,0.0,4.0,0.999
17,3153.0,1,0.0,4.005,0.999
18,3447.0,0,0.0,4.01,0.999
19,1697.0,0,0.0,4.01,0.999
20,1795.0,0,0.0,4.01,0.999
21,455.0,0,0.0,4.01,1.001
22,1235.0,1,0.0,4.005,1.003
23,3255.0,1,0.0,4.0,1.003
24,1638.0,1,0.0,3.99,0.999
25,1825.0,0,0.0,4.0,0.999
26,747.0,0,0.0,4.0,0.999
27,871.0,0,0.0,4.0,0.999
28,1182.0,0,0.0,4.0,0.999
29,1631.0,1,0.0,4.0,0.999
30,1531.0,0,0.0,4.0,0.999
31,1697.0,0,0.0,4.0,0.999
32,1115.0,0,0.0,4.005,0.999
33,1433.0,0,0.0,4.01,0.999
34,1747.0,0,0.0,4.01,0.999
35,692.0,0,0.0,4.01,0.999
36,721.0,1,0.0,4.01,1.001
37,754.0,0,0.0,4.005,1.003
38,788.0,0,0.0,4.0,1.003
39,786.0,0,0.0,3.99,1.001
40,786.0,0,0.0,3.995,0.999
41,783.0,0,0.0,4.0,0.999
42,832.0,0,0.0,4.0,0.999
43,804.0,0,0.0,4.0,0.999
44,276.0,0,0.0,4.0,0.999
45,378.0,0,0.0,4.0,0.999
46,786.0,0,0.0,4.01,0.999
47,887.0,0,0.0,4.01,0.999
48,809.0,0,0.0,4.01,0.999
49,826.0,0,0.0,4.01,1.003
50,815.0,0,0.0,4.0,1.003
51,796.0,0,0.0,3.995,1.001
52,806.0,0,0.0,3.995,0.999
53,872.0,0,0.0,4.0,0.999
54,471.0,0,0.0,4.0,0.999
55,526.0,0,0.0,4.0,0.999
56,731.0,0,0.0,4.0,0.999
57,485.0,0,0.0,4.0,0.999
58,829.0,0,0.0,4.0,0.999
59,890.0,0,0.0,4.01,0.999
60,865.0,0,0.0,4.01,0.999
61,911.0,0,0.0,4.01,0.999
62,781.0,0,0.0,4.01,1.001
63,733.0,0,0.0,4.01,1.003
64,734.0,0,0.0,4.0,1.003
65,910.0,0,0.0,4.0,1.003
66,865.0,0,0.0,3.99,0.999
67,905.0,0,0.0,4.0,0.999
68,849.0,0,0.0,4.0,0.999
69,775.0,0,0.0,4.0,0.999
70,802.0,0,0.0,4.0,0.999
71,799.0,0,0.0,4.0,0.999
72,732.0,0,0.0,4.0,0.999
73,878.0,0,0.0,4.01,0.999
74,470.0,0,0.0,4.01,0.999
75,551.0,0,0.0,4.01,0.999
76,337.0,0,0.0,4.01,0.999
77,354.0,1,0.0,4.01,1.003
78,1751.0,0,0.0,4.0,1.003
79,1697.0,1,0.0,3.9933333333333336,1.0016666666666667
80,3456.0,0,0.0,3.99,0.999
81,1203.0,1,0.0,4.0,0.999
82,2952.0,1,0.0,4.0,0.999
83,3255.0,0,0.0,4.0,0.999
84,3102.0,0,0.0,4.0,0.999
85,1825.0,0,0.0,4.0,0.999
86,3422.0,1,0.0,4.005,0.999
87,1947.0,1,0.0,4.01,0.999
88,2314.0,1,0.0,4.01,0.999
89,4495.0,0,0.0,4.01,0.999
90,3624.0,0,0.0,4.01,1.0003333333333333
