Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,851.0,0,0.0,4.24,1.055
2,2755.0,1,0.0,4.16,1.0394999999999999
3,3572.0,0,0.0,4.11,1.03
4,1640.0,0,0.0,4.07,1.022
5,1638.0,0,0.0,4.04,1.0116666666666667
6,3328.0,1,0.0,4.015,1.005
7,1807.0,1,0.0,4.01,1.005
8,3595.0,0,0.0,4.0,1.001
9,2284.0,1,0.0,4.0,1.001
10,3176.0,0,0.0,4.0,1.001
11,3057.0,0,0.0,4.0,1.0
12,3595.0,0,0.0,4.0,1.0
13,2302.0,0,0.0,4.0,1.0
14,2922.0,0,0.0,4.0,1.0
15,3292.0,0,0.0,4.0,1.0
16,3176.0,0,0.0,4.0,1.0
17,3127.0,0,0.0,4.0,1.0
18,3202.0,0,0.0,4.0,1.0
19,3191.0,0,0.0,4.0,1.0
20,3360.0,0,0.0,4.0,1.0
21,3311.0,0,0.0,4.0,1.0
22,3433.0,0,0.0,4.0,1.0
23,3420.0,0,0.0,4.0,1.0
24,3433.0,0,0.0,4.0,1.0
25,1012.0,0,0.0,4.0,1.0
26,1270.0,0,0.0,4.0,1.0
27,3253.0,0,0.0,4.0,1.0
28,3289.0,0,0.0,4.0,1.0
29,3348.0,0,0.0,4.0,1.0
30,3176.0,0,0.0,4.0,1.0
31,3264.0,0,0.0,4.0,1.0
32,3309.0,0,0.0,4.0,1.0
33,3680.0,0,0.0,4.0,1.0
34,3906.0,0,0.0,4.0,1.0
35,2152.0,0,0.0,4.0,1.0
36,2762.0,0,0.0,4.0,1.0
37,3235.0,0,0.0,4.0,1.0
38,2371.0,0,0.0,4.0,1.0
39,1813.0,1,0.0,4.0,1.0
40,1902.0,0,0.0,4.0,1.0
41,1834.0,0,0.0,4.0,1.0
42,5090.0,0,0.0,4.0,1.0
43,4480.0,0,0.0,4.0,1.0
44,4927.0,0,0.0,4.0,1.0
45,4653.0,0,0.0,4.0,1.0
46,4864.0,0,0.0,4.0,1.0
47,3780.0,0,0.0,4.0,1.0
48,4941.0,0,0.0,4.0,1.0
49,4769.0,0,0.0,4.0,1.0
50,4454.0,0,0.0,4.0,1.0
51,5050.0,0,0.0,4.0,1.0
52,3682.0,0,0.0,4.0,1.0
53,3622.0,0,0.0,4.0,1.0
54,3720.0,0,0.0,4.0,1.0
55,2402.0,0,0.0,4.0,1.0
56,3125.0,0,0.0,4.0,1.0
57,3004.0,0,0.0,4.0,1.0
58,3153.0,0,0.0,4.0,1.0
59,3447.0,0,0.0,4.0,1.0
60,3191.0,0,0.0,4.0,1.0
61,3456.0,0,0.0,4.0,1.0
62,2610.0,0,0.0,4.0,1.0
63,2952.0,0,0.0,4.0,1.0
64,3255.0,0,0.0,4.0,1.0
65,3102.0,0,0.0,4.0,1.0
66,1825.0,0,0.0,4.0,1.0
67,1807.0,0,0.0,4.0,1.0
68,1947.0,0,0.0,4.0,1.0
69,2284.0,1,0.0,4.0,1.0
70,3176.0,0,0.0,4.0,1.0
71,3057.0,0,0.0,4.0,1.0
72,3595.0,0,0.0,4.0,1.0
73,3075.0,0,0.0,4.0,1.0
74,3824.0,1,0.0,4.0,1.0
75,4867.0,0,0.0,4.0,1.0
76,3176.0,0,0.0,4.0,1.0
77,3127.0,1,0.0,4.0,1.0
78,3202.0,0,0.0,4.0,1.0
79,3191.0,0,0.0,4.0,1.0
80,3360.0,0,0.0,4.0,1.0
81,3311.0,0,0.0,4.0,1.0
82,4549.0,0,0.0,4.0,1.0
83,4701.0,0,0.0,4.0,1.0
84,4358.0,0,0.0,4.0,1.0
85,1230.0,0,0.0,4.0,1.0
86,1466.0,0,0.0,4.0,1.0
87,3253.0,0,0.0,4.0,1.0
88,3289.0,0,0.0,4.0,1.0
89,3348.0,0,0.0,4.0,1.0
90,3176.0,0,0.0,4.0,1.0
91,3264.0,0,0.0,4.0,1.0
