time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.5,20.3,20.3,22.6,5.1,1352607,5,1,1,cubic
0.005,24696,17,110,23.0,27.9,20.3,27.9,5.4,1073552,9,1,1,cubic
0.005,24696,17,5815,22.9,22.4,20.3,27.9,4.2,1077204,13,1,1,cubic
0.005,25842,17,0,24.1,25.1,20.3,27.9,2.3,1073529,16,1,1,cubic
0.007,26103,18,0,24.3,26.0,20.3,27.9,2.2,1073534,17,1,1,cubic
0.032,17846,12,15840,25.0,25.2,20.3,27.9,1.4,713583,36,1,1,cubic
0.041,17885,12,15840,25.8,31.3,20.3,31.3,2.6,693243,38,1,1,cubic
0.044,17901,12,15840,26.6,32.3,20.3,32.3,3.6,672565,40,1,1,cubic
0.047,17916,12,15840,27.4,33.0,20.3,33.0,4.3,653558,42,1,1,cubic
0.051,17931,12,15840,28.2,33.7,20.3,33.7,4.8,635828,44,1,1,cubic
0.054,17947,12,15840,29.0,34.4,20.3,34.4,5.2,619267,46,1,1,cubic
0.058,17961,12,15840,28.5,25.2,20.3,34.4,4.8,629945,48,1,1,cubic
0.063,17977,12,15840,27.5,20.3,20.3,34.4,5.7,653946,50,1,1,cubic
0.065,17992,12,14400,26.6,20.2,20.2,34.4,6.1,677027,51,1,1,cubic
0.070,18007,12,14400,25.8,20.3,20.2,34.4,6.1,698324,53,1,1,cubic
0.071,18022,12,12960,25.1,20.2,20.2,34.4,6.0,718208,54,1,1,cubic
0.075,18181,12,12960,24.5,20.3,20.2,34.4,5.7,742324,56,1,1,cubic
0.079,18407,12,12960,24.0,20.5,20.2,34.4,5.3,767342,58,1,1,cubic
0.085,18630,12,14400,23.5,20.4,20.2,34.4,4.9,791519,61,1,1,cubic
0.088,18850,13,14400,23.1,20.4,20.2,34.4,4.4,814430,63,1,1,cubic
0.093,19067,13,15840,22.8,20.7,20.2,34.4,3.9,834734,66,1,1,cubic
0.097,19282,13,15840,22.6,20.7,20.2,34.4,3.5,854395,68,1,1,cubic
0.100,19495,13,15840,22.3,20.7,20.2,34.4,3.1,873079,70,1,1,cubic
0.105,19706,13,17280,22.1,20.5,20.2,34.4,2.8,891593,73,1,1,cubic
0.108,19914,13,17280,21.9,20.6,20.2,34.4,2.5,908983,75,1,1,cubic
0.111,20120,13,17280,21.7,20.5,20.2,34.4,2.2,925866,77,1,1,cubic
0.114,20323,14,17280,21.6,20.6,20.2,34.4,1.9,941097,79,1,1,cubic
0.119,20525,14,18720,21.5,20.6,20.2,34.4,1.7,955896,82,1,1,cubic
0.122,20725,14,18720,21.4,20.6,20.2,34.4,1.5,970180,84,1,1,cubic
0.125,20923,14,18720,21.2,20.5,20.2,34.4,1.3,984658,86,1,1,cubic
0.128,21119,14,18720,21.1,20.5,20.2,34.4,1.2,998534,88,1,1,cubic
0.131,21313,14,18720,21.1,20.4,20.2,34.4,1.1,1012205,90,1,1,cubic
0.134,21505,14,18720,21.0,20.4,20.2,34.4,1.0,1025365,92,1,1,cubic
0.136,21696,15,18720,20.9,20.3,20.2,34.4,0.9,1038433,94,1,1,cubic
0.141,21885,15,20160,20.8,20.5,20.2,34.4,0.8,1049841,97,1,1,cubic
0.143,22073,15,20160,20.9,20.9,20.2,34.4,0.6,1058606,99,1,1,cubic
0.146,22258,15,20160,20.9,21.2,20.2,34.4,0.5,1065485,101,1,1,cubic
0.150,22443,15,20160,20.9,21.3,20.2,34.4,0.5,1071622,103,1,1,cubic
0.153,22625,15,20160,21.1,22.4,20.2,34.4,0.7,1071158,105,1,1,cubic
0.157,22807,15,20160,21.3,22.9,20.2,34.4,1.0,1068343,107,1,1,cubic
0.160,22986,15,20160,21.6,23.5,20.2,34.4,1.3,1063575,109,1,1,cubic
0.163,23165,16,20160,21.9,24.1,20.2,34.4,1.6,1056460,111,1,1,cubic
0.167,23342,16,21600,22.2,24.5,20.2,34.4,1.8,1049361,114,1,1,cubic
0.170,23518,16,21600,22.6,25.4,20.2,34.4,2.2,1038735,116,1,1,cubic
0.173,23692,16,21600,23.0,25.7,20.2,34.4,2.4,1028879,118,1,1,cubic
0.177,23865,16,21600,23.5,26.9,20.2,34.4,2.8,1015186,120,1,1,cubic
0.179,24037,16,21600,23.7,25.4,20.2,34.4,2.5,1012382,122,1,1,cubic
0.182,24208,16,21600,23.9,25.3,20.2,34.4,2.3,1011321,124,1,1,cubic
0.185,24377,16,21600,24.1,25.3,20.2,34.4,2.1,1010990,126,1,1,cubic
0.189,24545,17,21600,24.3,25.4,20.2,34.4,1.9,1011205,128,1,1,cubic
0.194,24712,17,23040,24.6,27.1,20.2,34.4,2.1,1003370,131,1,1,cubic
0.197,24878,17,23040,25.0,27.3,20.2,34.4,2.2,996794,133,1,1,cubic
0.201,25043,17,23040,25.2,27.1,20.2,34.4,2.2,992903,135,1,1,cubic
0.204,25207,17,23040,25.4,27.0,20.2,34.4,2.1,990724,137,1,1,cubic
0.208,25369,17,23040,25.9,28.9,20.2,34.4,2.4,980596,139,1,1,cubic
0.213,25612,17,21600,26.2,28.8,20.2,34.4,2.6,976290,141,1,1,cubic
0.218,26012,18,18720,26.5,28.7,20.2,34.4,2.5,979920,144,1,1,cubic
0.228,26328,18,21600,26.8,28.6,20.2,34.4,2.4,982314,150,1,1,cubic
0.235,26639,18,21600,27.0,28.7,20.2,34.4,2.3,984987,154,1,1,cubic
0.239,27024,18,20160,27.0,26.8,20.2,34.4,1.8,1000555,158,1,1,cubic
0.250,27328,18,21600,27.0,27.0,20.2,34.4,1.4,1011623,163,1,1,cubic
0.255,27703,19,20160,27.0,27.0,20.2,34.4,1.0,1025733,167,1,1,cubic
0.005,27703,19,55,27.4,28.8,20.2,34.4,1.0,1011095,170,1,1,cubic
0.007,27703,19,0,27.2,26.1,20.2,34.4,1.0,1016997,171,1,1,cubic
0.032,28073,19,21600,27.0,25.1,20.2,34.4,1.3,1040627,193,1,1,cubic
0.038,28292,19,24480,26.7,25.1,20.2,34.4,1.4,1057723,198,1,1,cubic
