time_hms,kb_per_sec_in,kb_per_sec_out
01:00:53,8.0,230.31
01:00:54,13.62,843.17
01:00:55,12.92,776.03
01:00:56,12.14,726.1
01:00:57,10.98,678.23
01:00:58,7.24,424.29
01:00:59,10.22,623.28
01:01:00,6.57,380.41
01:01:01,13.16,840.77
01:01:02,5.88,342.16
01:01:03,4.35,270.5
01:01:04,4.88,288.2
01:01:05,8.33,506.58
01:01:06,4.12,243.7
01:01:07,8.61,520.19
01:01:08,3.74,197.33
01:01:09,9.46,603.93
01:01:10,2.79,151.86
01:01:11,11.04,724.03
01:01:12,1.28,65.24
01:01:13,11.92,746.79
01:01:14,0.96,20.61
01:01:15,7.07,439.05
01:01:16,0.61,13.91
01:01:17,10.7,649.9
01:01:18,0.26,2.59
01:01:19,12.09,748.21
01:01:20,0.16,0.0
01:01:21,10.99,671.99
01:01:22,2.5,157.26
01:01:23,9.95,332.37
01:01:24,3.44,89.71
01:01:25,9.61,288.76
01:01:26,12.58,422.58
01:01:27,12.43,395.14
01:01:28,8.15,215.82
01:01:29,7.22,215.62
01:01:30,11.88,388.51
01:01:31,12.04,374.52
01:01:32,7.29,253.88
01:01:33,5.16,181.25
01:01:34,6.53,211.39
01:01:35,5.07,160.7
01:01:36,8.23,275.27
01:01:37,4.49,133.3
01:01:38,4.92,154.36
01:01:39,3.36,113.96
01:01:40,7.8,253.74
01:01:41,2.79,93.2
01:01:42,10.41,356.44
01:01:43,2.2,69.79
01:01:44,9.94,336.27
01:01:45,1.37,44.16
01:01:46,10.89,351.47
01:01:47,1.25,22.59
01:01:48,5.2,174.33
01:01:49,0.42,2.59
01:01:50,6.66,203.22
01:01:51,0.16,0.07
01:01:52,6.04,202.98
01:01:53,0.0,0.0
01:01:54,6.67,203.27
01:01:55,0.0,0.0
01:01:56,6.67,203.04
01:01:57,0.0,0.0
01:01:58,8.19,214.97
01:01:59,0.0,0.0
01:02:00,6.48,208.16
01:02:01,0.0,0.0
01:02:02,2.41,73.27
01:02:03,0.0,0.0
01:02:04,3.26,99.37
01:02:05,0.0,0.0
01:02:06,6.39,203.53
01:02:07,0.04,0.04
01:02:08,6.76,219.4
01:02:09,0.38,9.94
01:02:10,5.72,196.37
01:02:11,0.47,12.85
01:02:12,5.63,177.61
01:02:13,1.23,36.32
01:02:14,4.02,149.56
01:02:15,2.08,60.77
01:02:16,4.02,126.83
01:02:17,2.37,78.55
01:02:18,3.55,104.67
01:02:19,2.84,103.88
